"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",2,0.575905124928758,0.575905124928758,0.0120548641002989,0.0170481523032072,-0.00373447394879017,-0.00617260686840261,4.79709115042877,6,1.01344756026224,0.895131830126557,0.707699209548465,0.659717489883311,-0.222531904689576,-0.28282805985845,0.333467213821784,1,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",36,0.941688196524415,0.779751381064932,0.620428182970117,0.918816247283401,0.0124210855628158,0.03055604384149,1.55847742946084,65,2.26032416975042,1.46072731181428,2.34846482364375,2.88621509209745,-0.107259569763161,-0.302214457826983,0.261017286361137,5,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",83,0.596623373424311,0.448468026271713,0.560157214854138,0.58870220088645,0.0137514349058618,-0.0059994430431158,1.08971017380426,31,0.652141223599021,0.590613242698007,0.479035091465817,0.648284378817656,-0.0649478941171125,0.0236362257537385,2.3574178174933,8,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",8,1.17047451510407,1.65762701274361,0.827444858324259,1.50601363654208,-0.854794762992329,-0.698709636951375,0.751255791519437,1,1.15471698113208,1.15471698113208,NA,0,0,0,1,0,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",13,2.44790403480004,2.69865425699323,1.54720712035011,1.73612606518067,-0.084423296202589,-0.21700580642198,0.740003316779558,2,1.25490275720841,1.25490275720841,0.274310912975975,0.38793421343757,0.031867594182956,0.0369461155654828,0.766097428744569,0,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,1.95121951219512,1.95121951219512,NA,0,0,0,1,8,0.599748923171111,0.236314183792645,0.625970895721287,1.08754356993076,-0.22412515860474,-0.371809511602683,3.41932557215651,0,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",7,0.0504986669444309,0.0428987768969826,0.0412106928805736,0.0241177517704311,-0.00635567234684788,-0.011410522676641,4.81606866646856,NA,NA,NA,NA,NA,NA,NA,NA,2,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",58,0.66866647136876,0.611107867794376,0.988715894193876,0.367358546954988,0.2229590857193,-0.00995161152042004,1.4794923720411,16,0.678998468610217,0.597268412465057,2.25168552115402,3.62671384343211,-0.814868578837739,-0.568703962409446,1.07142857142857,10,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",5,-1.15658731092809,0.000507625111953034,2.67482892799447,1.31031466141775,0.499275147908205,0.499275147908205,0.666666666666667,7,0.135419754788649,0.15547263681592,0.0849472326529337,0.143835914307492,-0.0431003384085994,-0.0420151050554349,0.292222222222222,4,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",1,0.605183300201072,0.605183300201072,NA,0,0,0,1,4,0.0196206408801775,0.0211567549648493,0.00759855581437029,0.0058672024389814,0.00222891742100495,0.0020140199562199,0.552227660497085,4,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Guatemala","Guatemala2010",2,1.57371271413969,1.57371271413969,1.13410548170789,1.60386735339297,-0.0729145354430324,-0.0729030615178623,1.09108418470553,3,1.68034564765044,0.709823963657013,1.81206616941295,3.05306628123064,-1.04527033340201,-0.882014590977851,3.70485635020925,0,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",33,1.51795575356079,1.11618408041553,1.19286907790144,0.861297539149889,0.39438540008895,0.412082600641129,0.28575088697811,40,1.58463902481606,1.51774377514059,1.06475479229864,0.919040397580896,-0.228702050563161,-0.0933979220222575,1.24787147036697,4,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",10,0.521043028273669,0.4581474010789,0.402337129969654,0.333379212583435,0.0923647947694866,0.0493366743969269,0.220538129924043,NA,NA,NA,NA,NA,NA,NA,NA,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,6,0.527473847079755,0.531734247687303,0.466263488505226,0.90794424991401,0.0367020141090934,0.0232196791741285,0.911982750870955,0,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",NA,NA,NA,NA,NA,NA,NA,NA,4,0.22007521729687,0.220598323374404,0.261630586392633,0.311962134251291,0.112626442509318,0.106489645301569,0.439858490507149,1,"2013","Middle East and North Africa","Lebanon","Upper middle income"
