"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",73,1.51142051550894,1.08539304330675,1.28307349505885,1.51884432945235,-0.570465004001955,-0.431570739171509,2.38990978353916,73,1.51142051550894,1.08539304330675,1.28307349505885,1.51884432945235,-0.570465004001955,-0.431570739171509,2.38990978353916,-73,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",5,1.78332047719311,0.793271297476093,2.12772427373873,0.0113554864929476,0.989887438658294,0.978656175279764,0.275,5,1.78332047719311,0.793271297476093,2.12772427373873,0.0113554864929476,0.989887438658294,0.978656175279764,0.275,-4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",102,1.63888860308169,1.19582723980145,1.39931997238735,1.58108981638393,-0.424835438791453,-0.24971798254324,2.52004994492077,102,1.63888860308169,1.19582723980145,1.39931997238735,1.58108981638393,-0.424835438791453,-0.24971798254324,2.52004994492077,-95,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",2,0.248966388188404,0.248966388188404,0.256923522538255,0.36334473006627,-0.0904169303738461,-0.0978235811716881,2.30917600224596,2,0.248966388188404,0.248966388188404,0.256923522538255,0.36334473006627,-0.0904169303738461,-0.0978235811716881,2.30917600224596,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",5,1.23307736264401,0.645024200198405,1.72758619591938,0.857438908557119,0.781098386036692,0.746683027586197,0.355787431869104,5,1.23307736264401,0.645024200198405,1.72758619591938,0.857438908557119,0.781098386036692,0.746683027586197,0.355787431869104,-5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",103,0.653909687245618,0.654039935223364,0.468707470595815,0.292886610125005,0.062278229293857,0.0481238464073076,0.162332534519523,103,0.653909687245618,0.654039935223364,0.468707470595815,0.292886610125005,0.062278229293857,0.0481238464073076,0.162332534519523,-91,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",5,0.433473341850369,0.212780640830338,0.479964974782148,0.953907128044959,-0.0404123576752809,0.0336367990518121,1.99019867308454,5,0.433473341850369,0.212780640830338,0.479964974782148,0.953907128044959,-0.0404123576752809,0.0336367990518121,1.99019867308454,-5,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",64,0.871081046872129,0.573990579962335,0.886435951335156,0.792472841551376,-0.315399051308037,-0.184436074257216,0.978506989570987,64,0.871081046872129,0.573990579962335,0.886435951335156,0.792472841551376,-0.315399051308037,-0.184436074257216,0.978506989570987,-61,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",111,0.94355245785225,0.578722873240833,1.09251815645629,0.707908163265306,-0.134399836006318,-0.182466698191543,1.89136304754197,111,0.94355245785225,0.578722873240833,1.09251815645629,0.707908163265306,-0.134399836006318,-0.182466698191543,1.89136304754197,-105,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",80,0.749160822645366,0.257606008521475,0.825892114480593,0.857946554149086,-0.389252159980713,-0.216766220395086,6.69696153843438,80,0.749160822645366,0.257606008521475,0.825892114480593,0.857946554149086,-0.389252159980713,-0.216766220395086,6.69696153843438,-75,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
