"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",4,0.00233747256740216,0.00199465219950472,0.00248056996912413,0.00467127255173749,-0.00158971190867808,-0.00164172121108206,6.32421066301453,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",2,0.599202214303434,0.599202214303434,0.111648439134718,0.157894736842105,0.0284763534103329,0.0338345864661655,0.776968414353051,1,2,0.599202214303434,0.599202214303434,0.111648439134718,0.157894736842105,0.0284763534103329,0.0338345864661655,0.776968414353051,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",35,4.55662175389067,2.66350127324406,5.94449984383336,7.35726789943656,3.82320096157319,4.04038491211208,0.194936416398704,-32,35,4.55662175389067,2.66350127324406,5.94449984383336,7.35726789943656,3.82320096157319,4.04038491211208,0.194936416398704,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",6,1.06943152892683,1.29941917593004,0.957423798963706,1.10693400167084,0.335061318274219,0.428886768660856,0.758091035955161,-5,6,1.06943152892683,1.29941917593004,0.957423798963706,1.10693400167084,0.335061318274219,0.428886768660856,0.758091035955161,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",5,0.385529224025107,0.456536011518584,0.266345843422031,0.531417579735912,0.0728942573078606,0.0740685998940107,0.692126164947134,-5,5,0.385529224025107,0.456536011518584,0.266345843422031,0.531417579735912,0.0728942573078606,0.0740685998940107,0.692126164947134,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",12,1.30751178958161,1.09059555028726,1.84566855756763,0.405624483043838,-0.388906773493551,-0.58091957368,0.483321699218872,-11,12,1.30751178958161,1.09059555028726,1.84566855756763,0.405624483043838,-0.388906773493551,-0.58091957368,0.483321699218872,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",71,1.10475866884546,0.678193220672641,1.02369196293191,1.63726507552173,-0.144902347682231,-0.171258544069311,0.8,-70,71,1.10475866884546,0.678193220672641,1.02369196293191,1.63726507552173,-0.144902347682231,-0.171258544069311,0.8,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",13,1.10152546136071,0.650522301068727,1.53841820763947,0.92502012851753,1.58521360180671,1.25721400089605,0.0173249971692007,-12,13,1.10152546136071,0.650522301068727,1.53841820763947,0.92502012851753,1.58521360180671,1.25721400089605,0.0173249971692007,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",56,1.71683578562767,1.81320491699852,1.19817666857121,1.26915163026274,-0.166073391025728,0.368860787984948,1.14449071102707,-53,56,1.71683578562767,1.81320491699852,1.19817666857121,1.26915163026274,-0.166073391025728,0.368860787984948,1.14449071102707,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",11,1.9018811629986,0.831663103851907,2.53036437193795,3.03503777453965,-0.0531962626367079,-0.0531962626367079,0.9,-10,11,1.9018811629986,0.831663103851907,2.53036437193795,3.03503777453965,-0.0531962626367079,-0.0531962626367079,0.9,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Ghana","Ghana2013",8,0.680952692329549,0.447830920597296,0.676615452101486,0.286303899207125,-0.216735705613659,-0.242613897746227,3.4,-8,8,0.680952692329549,0.447830920597296,0.676615452101486,0.286303899207125,-0.216735705613659,-0.242613897746227,3.4,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",7,0.367292827140702,0.314880989872981,0.456926553037652,0.143651529193698,0.860169546392382,1.17133818455697,1.013197375772,-5,7,0.367292827140702,0.314880989872981,0.456926553037652,0.143651529193698,0.860169546392382,1.17133818455697,1.013197375772,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",475,1.96719137553011,1.74721993102656,1.40080625167016,1.40498090940645,0.286511018894198,0.122639314565268,0.64,-431,475,1.96719137553011,1.74721993102656,1.40080625167016,1.40498090940645,0.286511018894198,0.122639314565268,0.64,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",8,0.989545321498151,0.994296913413518,1.3978012575883,1.45327145327145,-0.102855646768185,0.263612403458539,0.0888888888888889,-8,8,0.989545321498151,0.994296913413518,1.3978012575883,1.45327145327145,-0.102855646768185,0.263612403458539,0.0888888888888889,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",7,0.146936393433174,0.0873216182279989,0.164459337137442,0.249192110186978,-0.00629821300368178,-0.00734288896544947,1.25420492418199,-7,7,0.146936393433174,0.0873216182279989,0.164459337137442,0.249192110186978,-0.00629821300368178,-0.00734288896544947,1.25420492418199,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",2,1.99059259176936,1.99059259176936,0.330580366848145,0,-0.442567771685082,-0.233425843975036,1,8,2,1.99059259176936,1.99059259176936,0.330580366848145,0,-0.442567771685082,-0.233425843975036,1,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",5,0.3424365420862,0.358861645217078,0.187185899356196,0,0.0193442614626206,0.0631195635546302,0.893556586457343,6,NA,NA,NA,NA,NA,NA,NA,NA,"2014","East Asia and Pacific","Myanmar","Lower middle income"
