"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",5,2.25440922937959,2.06475793110176,2.95402743106881,1.87140828064131,0.272855128674846,-0.254987084441632,1.10054157776147,5,2.25440922937959,2.06475793110176,2.95402743106881,1.87140828064131,0.272855128674846,-0.254987084441632,1.10054157776147,-5,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",19,1.09929728484908,0.193908395827293,2.17248882118722,0.735051546391753,1.5888462384556,1.39455068189786,0.260106410428984,19,1.09929728484908,0.193908395827293,2.17248882118722,0.735051546391753,1.5888462384556,1.39455068189786,0.260106410428984,-17,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",32,0.650915299877372,0.744487320335547,0.233028187824712,0.345122524911261,-0.0833537269623364,0.0446490513823477,0.977972962961888,32,0.650915299877372,0.744487320335547,0.233028187824712,0.345122524911261,-0.0833537269623364,0.0446490513823477,0.977972962961888,16,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",97,1.15229599530483,0.697977833156224,1.10189571564047,1.61955675647266,0.247562889506491,0.101023670158387,0.199814424920284,97,1.15229599530483,0.697977833156224,1.10189571564047,1.61955675647266,0.247562889506491,0.101023670158387,0.199814424920284,-94,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",4,1.10031048910537,1.14502940981818,0.270475649719241,0,-0.0761208874988037,-0.0471260464292871,2.05236492671949,4,1.10031048910537,1.14502940981818,0.270475649719241,0,-0.0761208874988037,-0.0471260464292871,2.05236492671949,-3,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",7,3.31677600493363,2.86565506230416,2.27697386286537,3.94638694638695,0.533860358393621,0.524391228575557,0.857919607923361,7,3.31677600493363,2.86565506230416,2.27697386286537,3.94638694638695,0.533860358393621,0.524391228575557,0.857919607923361,-5,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",406,1.64077515454225,1.43532470473563,1.26066532249824,1.23047875064004,0.33162956531557,0.219868557641919,0.914528808209586,406,1.64077515454225,1.43532470473563,1.26066532249824,1.23047875064004,0.33162956531557,0.219868557641919,0.914528808209586,-392,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",4,1.14819370027737,1.1996395201607,1.00384363746461,1.42988400964387,-0.229673092429346,-0.179984239894285,0.700440876291066,4,1.14819370027737,1.1996395201607,1.00384363746461,1.42988400964387,-0.229673092429346,-0.179984239894285,0.700440876291066,-3,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",10,0.489675453442676,0.0802888375465345,0.844363315924252,0.484367701034368,-0.234056138013755,-0.21067230219643,0.696950350087125,10,0.489675453442676,0.0802888375465345,0.844363315924252,0.484367701034368,-0.234056138013755,-0.21067230219643,0.696950350087125,-8,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Peru","Peru2010",5,1.80998338829734,0.976157135203039,1.61684403570743,2.94549247907568,-0.736544496386188,-0.715805366494257,0.999716864933143,5,1.80998338829734,0.976157135203039,1.61684403570743,2.94549247907568,-0.736544496386188,-0.715805366494257,0.999716864933143,-5,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",5,-2.32661892260719,-1.45918286704048,2.84084811957171,4.31126397248495,0.432665772815386,0.28677748160843,1.17090676891301,5,-2.32661892260719,-1.45918286704048,2.84084811957171,4.31126397248495,0.432665772815386,0.28677748160843,1.17090676891301,1,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,6,1.75349122740396,0.513641064555806,2.39600361505175,2.70237528302045,0.256732072776062,0.342753592140067,1.28650732898263,0,"2012","Europe and Central Asia","Russian Federation","High income"
