"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",67,22148.2304243116,17231.4167642826,15313.8432597489,22610.9092597361,2031.27977474864,2620.41155102641,0.902625102232946,67,22148.2304243116,17231.4167642826,15313.8432597489,22610.9092597361,2031.27977474864,2620.41155102641,0.902625102232946,-39,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",171,3110.94346854345,2210.00223994463,2436.69628583331,2692.27362684901,-245.773188158395,-193.431321588717,1.53949047441337,171,3110.94346854345,2210.00223994463,2436.69628583331,2692.27362684901,-245.773188158395,-193.431321588717,1.53949047441337,-150,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",9,5059.72480538241,4144.32964522491,1515.75389095979,1860.18526684548,30.0547330871674,2664.76359397292,0.831073294842383,9,5059.72480538241,4144.32964522491,1515.75389095979,1860.18526684548,30.0547330871674,2664.76359397292,0.831073294842383,-6,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Brazil","Brazil2009",139,19634.0967736865,10356.1597643087,20023.2082457975,24701.7670488736,10049.8853697036,7267.69942957155,1.43767944858662,139,19634.0967736865,10356.1597643087,20023.2082457975,24701.7670488736,10049.8853697036,7267.69942957155,1.43767944858662,-116,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",12,4820.49990543706,4202.44736673626,2200.65796226971,1036.64685910731,1012.65125256168,715.997922754034,1.09700631960307,12,4820.49990543706,4202.44736673626,2200.65796226971,1036.64685910731,1012.65125256168,715.997922754034,1.09700631960307,-7,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",6,5401.54302438582,4291.77171472249,3420.28413698022,2723.04261564215,185.475477544526,472.143526272812,1.00577478733692,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",38,25921.0069768494,30624.6044410509,15198.5702919994,22103.8141096742,-5800.58688676233,-1260.85227962296,0.370236665542499,38,25921.0069768494,30624.6044410509,15198.5702919994,22103.8141096742,-5800.58688676233,-1260.85227962296,0.370236665542499,-25,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",96,19175.8232552813,15864.6237005765,12972.0699649218,13475.5902838682,-1634.39482855198,715.768451201179,0.674355053082612,96,19175.8232552813,15864.6237005765,12972.0699649218,13475.5902838682,-1634.39482855198,715.768451201179,0.674355053082612,-161,96,19175.8232552813,15864.6237005765,12972.0699649218,13475.5902838682,-1634.39482855198,715.768451201179,0.674355053082612,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",84,10584.2573926253,11886.5611844431,7534.2380041224,8106.81678708432,1748.94241804414,857.002520671773,2.06772946201066,84,10584.2573926253,11886.5611844431,7534.2380041224,8106.81678708432,1748.94241804414,857.002520671773,2.06772946201066,-54,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",5,6305.22765638393,5369.67815843151,6483.43691614443,11137.1544819798,3044.6528133824,3476.40332671499,1.38610651104008,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",30,1789.01406314612,1515.33811269872,1388.1476533963,1136.07551095878,-294.693393124511,-253.725246860569,1.15076483963212,30,1789.01406314612,1515.33811269872,1388.1476533963,1136.07551095878,-294.693393124511,-253.725246860569,1.15076483963212,-19,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Dominicanrepublic","Dominicanrepublic2010",6,16732.2363159087,6352.82805283702,18128.7828081031,32366.7728041818,-11424.206884264,-4631.04271582857,0.197887008695472,6,16732.2363159087,6352.82805283702,18128.7828081031,32366.7728041818,-11424.206884264,-4631.04271582857,0.197887008695472,-1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",31,713.59136200276,319.080142814787,962.685877405166,488.795663069987,-52.2188357375549,-45.0850910710934,0.914735036650093,31,713.59136200276,319.080142814787,962.685877405166,488.795663069987,-52.2188357375549,-45.0850910710934,0.914735036650093,-22,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",6,12106.5669355847,11789.9600257008,3431.37485550627,3563.74956217163,1127.90973299425,2086.70350083657,6.85896965541497,6,12106.5669355847,11789.9600257008,3431.37485550627,3563.74956217163,1127.90973299425,2086.70350083657,6.85896965541497,-2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",133,9467.53261131017,5073.2932206133,11294.8193462172,11022.8649323061,140.795116600375,-282.580213733342,1.03196717185515,133,9467.53261131017,5073.2932206133,11294.8193462172,11022.8649323061,140.795116600375,-282.580213733342,1.03196717185515,-60,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",9,15309.1288785383,16471.2871635069,6432.23713031262,0,-3157.75880896967,1259.40894397803,0.515568422683198,9,15309.1288785383,16471.2871635069,6432.23713031262,0,-3157.75880896967,1259.40894397803,0.515568422683198,3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Estonia","Estonia2013",NA,NA,NA,NA,NA,NA,NA,NA,5,10986.9162131333,10027.1333686131,5595.15257007692,4793.44858552028,6188.69280701915,5605.23347979388,5.72676467986269,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Estonia","High income"
"Fyrom","Fyrom2013",9,4851.25264644019,4416.60619085745,2976.27844700429,5261.80464061033,1370.03146139904,899.111717578292,1.72484319652203,9,4851.25264644019,4416.60619085745,2976.27844700429,5261.80464061033,1370.03146139904,899.111717578292,1.72484319652203,-5,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Ghana","Ghana2013",10,7287.67267583481,2551.80562864266,10886.2256663477,6682.67192217716,-3226.64858679677,-3505.70994119495,1,10,7287.67267583481,2551.80562864266,10886.2256663477,6682.67192217716,-3226.64858679677,-3505.70994119495,1,5,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",20,5124.43089003252,4610.51817914369,4463.54682896059,8555.0141679659,707.797728085486,472.335938492713,1.42697018109525,20,5124.43089003252,4610.51817914369,4463.54682896059,8555.0141679659,707.797728085486,472.335938492713,1.42697018109525,4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",6,18692.8619336435,9475.76115212169,41948.7319514756,21079.539139777,68942.0627269527,69639.5159206211,0.184848484848485,6,18692.8619336435,9475.76115212169,41948.7319514756,21079.539139777,68942.0627269527,69639.5159206211,0.184848484848485,-1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",194,9054.39778459982,5646.11786462295,9278.99757977516,9035.18046817805,1664.89215056433,996.844773894081,1.18318066020166,194,9054.39778459982,5646.11786462295,9278.99757977516,9035.18046817805,1664.89215056433,996.844773894081,1.18318066020166,-141,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",93,1787.52339777734,1581.01253922524,2071.14500973863,1564.98155471889,2278.45235084892,1988.44194787579,1.0692337139871,93,1787.52339777734,1581.01253922524,2071.14500973863,1564.98155471889,2278.45235084892,1988.44194787579,1.0692337139871,-42,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Jamaica","Jamaica2010",7,8012.35723067874,6094.06789712122,5295.62982303249,5811.18773212086,5251.84208290538,6034.6839178356,1.21386985330733,7,8012.35723067874,6094.06789712122,5295.62982303249,5811.18773212086,5251.84208290538,6034.6839178356,1.21386985330733,-4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",49,20104.3648748901,7815.89282177472,25877.4577145371,22950.6934364441,-2423.76514687071,-1677.05744571416,0.329117531015738,49,20104.3648748901,7815.89282177472,25877.4577145371,22950.6934364441,-2423.76514687071,-1677.05744571416,0.329117531015738,-32,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Laos","Laos2012",17,1854.00245517895,2034.68260059861,1221.57518920691,1151.63889648798,103.607665397644,101.046625147917,0.137012994307522,17,1854.00245517895,2034.68260059861,1221.57518920691,1151.63889648798,103.607665397644,101.046625147917,0.137012994307522,-8,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Lebanon","Lebanon2013",6,31561.2692554092,23170.7655443424,23674.80338017,39503.4811475121,12688.2397273115,7821.34628382734,0.921046294817468,6,31561.2692554092,23170.7655443424,23674.80338017,39503.4811475121,12688.2397273115,7821.34628382734,0.921046294817468,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mauritius","Mauritius2009",7,2572.9797384817,2810.25860584646,1108.94815372165,628.031803547653,-82.7126182117066,-519.717709890023,0.618388674965999,7,2572.9797384817,2810.25860584646,1108.94815372165,628.031803547653,-82.7126182117066,-519.717709890023,0.618388674965999,2,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",105,9337.29620258109,7535.50964928036,6322.21028715253,8409.71285657053,3487.53825305957,3078.54477696502,1.03489026200768,105,9337.29620258109,7535.50964928036,6322.21028715253,8409.71285657053,3487.53825305957,3078.54477696502,1.03489026200768,-87,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Moldova","Moldova2013",5,8517.02580795363,6678.89895486356,7153.35126502915,14325.7192732962,234.938426331471,307.572848027193,0.958308498587447,5,8517.02580795363,6678.89895486356,7153.35126502915,14325.7192732962,234.938426331471,307.572848027193,0.958308498587447,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Moldova","Lower middle income"
"Morocco","Morocco2013",22,7127.5581087854,8350.87969647283,4416.94457623562,5377.48139585232,-1245.58807237399,-417.824747279172,1.20017022978902,22,7127.5581087854,8350.87969647283,4416.94457623562,5377.48139585232,-1245.58807237399,-417.824747279172,1.20017022978902,-6,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Myanmar","Myanmar2014",39,2261.17858823359,2213.86270937058,1057.8502202299,473.163834701573,-385.326484257622,-430.461500324592,0.0639667862547128,39,2261.17858823359,2213.86270937058,1057.8502202299,473.163834701573,-385.326484257622,-430.461500324592,0.0639667862547128,-13,NA,NA,NA,NA,NA,NA,NA,NA,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",14,1552.25179116649,1437.72668991604,687.400857606962,744.752249893043,121.211282456229,-104.995416656369,1.17749282764738,14,1552.25179116649,1437.72668991604,687.400857606962,744.752249893043,121.211282456229,-104.995416656369,1.17749282764738,-9,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Nepal","Low income"
"Nigeria","Nigeria2014",44,48.3470307447561,-20.2536854065737,259.156134721995,103.075417780009,-60.7257318507566,-36.324074008695,1.15768636156958,44,48.3470307447561,-20.2536854065737,259.156134721995,103.075417780009,-60.7257318507566,-36.324074008695,1.15768636156958,76,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",26,7743.19493043664,2354.15333893591,12009.5728495353,8282.81154839146,-1924.68574910187,-3741.15462717189,0.834520983084465,26,7743.19493043664,2354.15333893591,12009.5728495353,8282.81154839146,-1924.68574910187,-3741.15462717189,0.834520983084465,34,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Pakistan","Lower middle income"
"Paraguay","Paraguay2010",5,19260.5215037587,5825.16476330955,23938.9396401708,25335.6426509937,8303.01243986773,1264.25268857648,1.64358785632074,5,19260.5215037587,5825.16476330955,23938.9396401708,25335.6426509937,8303.01243986773,1264.25268857648,1.64358785632074,-3,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",84,10744.3034948814,8835.20688599376,9209.34724156147,13308.7018963366,1580.23506509998,-484.23454471399,0.859408591039663,84,10744.3034948814,8835.20688599376,9209.34724156147,13308.7018963366,1580.23506509998,-484.23454471399,0.859408591039663,-55,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",63,5562.97517220242,6250.52690630467,6306.31876178471,4294.61130824443,43.8723428696667,-907.601699225123,0.600583006906692,63,5562.97517220242,6250.52690630467,6306.31876178471,4294.61130824443,43.8723428696667,-907.601699225123,0.600583006906692,4,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Romania","Romania2013",20,9514.49301938087,9348.86337683863,5548.50073072126,6183.18423460919,-1563.98555894577,-814.640914839635,1.63393073230231,20,9514.49301938087,9348.86337683863,5548.50073072126,6183.18423460919,-1563.98555894577,-814.640914839635,1.63393073230231,-9,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Romania","Upper middle income"
"Russia","Russia2012",8,3021.30104698068,2653.69968356449,803.958228150103,842.766488305805,-58.9816263184359,-114.689497068604,0.987816810411098,8,3021.30104698068,2653.69968356449,803.958228150103,842.766488305805,-58.9816263184359,-114.689497068604,0.987816810411098,21,NA,NA,NA,NA,NA,NA,NA,NA,"2012","Europe and Central Asia","Russian Federation","High income"
"Senegal","Senegal2014",11,4653.55374265972,2819.16561748532,5380.01351592527,11117.4069043367,417.694187912352,731.130747235346,2.15400899270484,11,4653.55374265972,2819.16561748532,5380.01351592527,11117.4069043367,417.694187912352,731.130747235346,2.15400899270484,0,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Senegal","Lower middle income"
"Serbia","Serbia2013",8,8337.9530292588,5434.58386535098,7191.19036324888,195.838951181715,417.509665606821,4434.7286478507,2.42886011171865,8,8337.9530292588,5434.58386535098,7191.19036324888,195.838951181715,417.509665606821,4434.7286478507,2.42886011171865,-2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Serbia","Upper middle income"
"SriLanka","SriLanka2011",81,2119.50353281442,1569.30755392706,1588.54435113165,1504.28735180429,-181.63749652375,-443.17617144698,0.935970937263881,81,2119.50353281442,1569.30755392706,1588.54435113165,1504.28735180429,-181.63749652375,-443.17617144698,0.935970937263881,-49,NA,NA,NA,NA,NA,NA,NA,NA,"2011","South Asia","Sri Lanka","Lower middle income"
"Stlucia","Stlucia2010",7,9805.63538670878,8340.48947001239,4336.42348773627,8625.89343729694,1720.72441361607,1612.10948316948,0.767857118021875,7,9805.63538670878,8340.48947001239,4336.42348773627,8625.89343729694,1720.72441361607,1612.10948316948,0.767857118021875,-7,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","St. Lucia","Upper middle income"
"Tajikistan","Tajikistan2013",6,2738.93519843566,549.962504517318,4025.7461291047,2514.19708627743,2655.29626074842,2380.60022430889,2.2146858163948,6,2738.93519843566,549.962504517318,4025.7461291047,2514.19708627743,2655.29626074842,2380.60022430889,2.2146858163948,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Tajikistan","Lower middle income"
"Tanzania","Tanzania2013",16,2812.77885281224,3187.7703659734,2598.77888060707,2577.7210148795,-348.751964544885,-488.60032012334,1.05905190769945,16,2812.77885281224,3187.7703659734,2598.77888060707,2577.7210148795,-348.751964544885,-488.60032012334,1.05905190769945,25,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Tanzania","Low income"
