"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",47,60711.0728989145,54591.1054321548,38936.609486169,64392.9603156646,14032.4265418821,11644.2787863634,2.78653479876081,24,47494.3089876827,31363.8691704736,35396.9870191616,51211.4633564883,-4740.46230773777,-8333.89585293996,0.483588334149756,39,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",3,292609.523809524,230000,303370.542384053,596971.428571429,110217.636684303,110217.636684303,10.7142857142857,3,52385.5089355089,53119.3181818182,32474.7020983085,36954.5454545455,-21236.2335731901,-23286.3519113519,0.146367521367521,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",10,7960.79724639555,2821.47065757728,10307.571142396,1298.84863496697,-936.09739945715,-1617.91524244646,0.917680805275832,93,4554.28271263684,3199.19236758699,4077.80547212549,3732.82728479482,-368.936228000677,-331.203260686362,1.02090188639154,16,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",1,21743.1807621335,21743.1807621335,NA,0,0,0,1,1,17187.0034361384,17187.0034361384,NA,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",3,42137.8341228036,48160.0069578061,17671.6127085227,12870.3703703704,-4600.10414608484,-5436.19420702754,0.555555555555556,2,28700.3418803419,28700.3418803419,2797.48364850965,3956.23931623932,359.65811965812,359.65811965812,1.22222222222222,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",36,90048.9320929353,65733.7144422693,86494.4218379548,112697.602648782,9143.13009392537,-12392.6618788396,0.96458429300116,78,86966.4266628732,128593.240569355,68358.9079251759,103954.886479737,-11694.8167921986,52158.4551249047,0.560364984554407,23,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",1,95864.930014675,95864.930014675,Inf,0,0,0,1,4,22122.4087714742,16457.7838133272,17154.0095189348,30452.6058020214,-4597.37675871792,-4298.7260091707,0.847267053162523,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",31,100217.175021099,99486.9218321762,68779.6812245406,100487.039357214,49481.656491345,29630.4061998612,2.16618971578048,30,30308.3667565411,28430.3047761759,13913.0789154496,16459.4552332229,1380.64013364034,852.855214839096,2.20812019017849,19,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",34,35804.2866454978,26490.7161931565,24716.1771932856,42673.766287445,-6380.71415623986,-12140.9768525116,0.413770456147314,79,31717.6789405663,19780.0519446603,27492.6811259119,48534.5358926032,-9532.61307812366,-762.611930499383,0.458584868591181,32,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",32,52986.2226084773,52294.8508449457,31744.8854172505,0,891.606472180882,12919.1626392677,1,43,11344.2865418627,10046.6145187907,7093.35880469982,6636.01670329217,4409.33673292656,3119.02244018198,1.06423305048479,35,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",3,30530.9731856109,30684.2466936641,1794.26740501835,0,-479.535473250338,-495.894714336761,0.403440811033356,5,26944.8007318448,30392.4054617291,17923.1861567913,36996.1451227797,1809.04109144386,2703.56391882459,1,12,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",2,17523.444945549,17523.444945549,7892.30587759732,11161.406010495,617.969736774518,620.078111694168,1.10802801510793,13,33450.8178893,18251.7053327392,39879.7689194952,49921.9170705732,50324.3868479754,40827.4414677082,4.63571949443404,6,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Dominica","Dominica2010",2,29845.9729570841,29845.9729570841,29548.0011797412,41787.1840094062,-14396.7524470363,-13114.0630667817,0.537254901960784,3,10574.9559082892,10222.2222222222,723.714630164778,1312.16931216931,145.582812249479,145.582812249479,1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",1,13996.113301881,13996.113301881,Inf,0,0,0,1,5,7192.06118106258,7121.86179620449,1204.05883086849,706.48888457277,528.793128368184,860.662073404042,1.08705466719649,8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",1,26722.4606229677,26722.4606229677,NA,0,0,0,1,10,3585.09570274417,3012.02701850343,3346.37103139073,4666.53121900132,3077.14286707906,3021.72811022367,1.27352685881311,10,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",2,41658.1375138797,41658.1375138797,28467.9136699571,40259.7096045198,12517.7774984133,16984.5649894068,7.95949692390344,8,18073.3738152951,18093.2163492388,10007.2569372178,20922.02,-6890.30972316747,-876.986662878466,0.160864310586115,8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",35,7753.18232640581,4239.01860951307,9738.86658758606,2803.58373645045,3621.35770186425,-1217.57107948367,1.01869738745416,81,16120.2091451345,8115.59017446822,19305.5733276359,14380.1560783541,-2886.93894519677,-1010.33548012779,1.02722539229702,57,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",10,29895.6304993256,13995.0802576859,30982.5462082335,66127.14,1244.6971190068,3229.89541282825,3.15526686989367,1,7122,7122,NA,0,0,0,1,9,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Ethiopia","Ethiopia2011",1,1216.7887644117,1216.7887644117,NA,0,0,0,1,9,5220.19975703905,6666.47734771309,7593.99370782779,11668.679179735,1253.93915101952,1243.79324613141,0.785321100917431,14,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Georgia","Georgia2013",1,-1575.22756819136,-1575.22756819136,NA,0,0,0,1,3,2775.85614146567,1380.68504355771,3102.92161798649,5761.70788888233,182.063957484008,192.782419404797,0.882352941176471,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",8,9954.53907157756,9401.78386829973,8637.33224073069,7336.93207026769,-5325.61589320592,-5576.95170123646,0.471531192585167,7,234855.953958704,5837.73676627185,381691.933642387,755763.324964567,385144.344774989,376622.368636185,5.78917992574068,11,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",6,29354.0714130168,27512.8276323362,21600.9325575193,41146.8039660998,3790.66738422414,1560.26423436575,0.921248711437071,5,8079.86223703884,5902.79094134263,12482.9764135167,18056.7972892999,-1193.79148820244,586.15387504147,37.3435314091133,8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",2,31302.2000809355,31302.2000809355,1437.83328213136,2033.4033280216,14.8923108427305,15.025147744002,1.0134754738756,1,15647.7958130238,15647.7958130238,NA,0,0,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",72,13629.4777996217,9749.88794747237,11235.6382628025,12778.1334001172,-4371.75563925614,-3814.21166244245,1.01226114924701,307,10086.7027261295,6298.84082693065,10516.3069601189,12146.3160333761,372.816698316544,938.952003471464,1,189,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",22,14229.1963347437,3018.54509207797,17968.6797442625,28708.3357000838,-11504.4239626676,-7782.85443961828,0.00383699508082743,46,1197.07439150281,871.794081600953,1342.01523096381,1546.27659589754,508.499999752542,338.352727982475,0.859812202700706,70,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",3,11860.1359767101,11840.3844503752,7252.3501896652,14530.9762314488,625.158621392416,627.771757823653,1.08244060895612,31,22861.7732173042,18917.979633194,18808.1538691597,26393.2985033154,-3696.38951736998,-5041.35347056746,0.469150000876056,0,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",7,79736.5719322711,93750.5192012765,77099.0617547446,71905.4065291718,-16534.5506997426,-25255.2572794256,1.81797886992045,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Israel","High income"
"Jordan","Jordan2013",20,29280.4601025172,22686.4604097768,31660.2598822672,35679.1135806903,5702.87450319469,223.245839708801,1.01818526431055,12,15065.8830403858,17019.5498851246,8467.09440699057,13824.6202558675,-6740.201814985,-7657.44760853972,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",17,34894.1026325201,24733.5137394859,32091.9504155007,45629.9979788698,-13443.9656084802,-16297.6772252536,0.919554120530395,8,6226.07506851699,5603.69152281487,12449.1544308855,11660.6274502095,-1793.61547198588,-781.442234999127,0.265708574735071,12,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",2,67311.7417935741,67311.7417935741,56552.5746815257,79977.418101731,-22060.2865337504,-24278.8590665969,0.672613804462397,1,11605.186146931,11605.186146931,NA,0,0,0,1,9,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Madagascar","Madagascar2013",6,-2017.44685951336,5694.05159236974,18441.5326525737,37065.3247844516,-15404.4578898865,-8074.28489759428,0.0834802619635784,7,5408.39151906556,4705.1701597335,5240.03502502447,3687.54353331582,813.172795750948,855.272586597247,0.748184241555087,6,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mexico","Mexico2010",58,73780.2322565224,38520.7461824329,82067.974959026,79574.4806968471,69025.1764591524,37333.3149129001,1.76284871168514,78,19117.9214155947,15340.1223876382,15656.8057816511,12245.5672332,7732.238348144,8282.25942104121,1.14285714285714,18,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",1,6450.96668088525,6450.96668088525,NA,0,0,0,1,6,4125.46948485451,4097.55470764809,2565.77489670679,5737.44013493076,-337.42737243095,-346.618364523689,0.651131719769753,10,NA,NA,NA,NA,NA,NA,NA,NA,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,5,4132.91818501687,4029.07655656941,2747.71497037181,3158.31498581016,1473.08875578589,3409.8892548094,1.0908638004658,5,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Nepal","Low income"
"Nicaragua","Nicaragua2010",2,17460.539619732,17460.539619732,11404.9270979279,16129.002579766,-1534.46503906356,-1612.9002579766,0.777449058836581,5,6478.09578657741,7739.69016357848,6589.82201032939,11195.9941838226,484.985678989941,1236.27851613247,0.852186732716695,5,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Nicaragua","Lower middle income"
"Nigeria","Nigeria2014",4,221.121180762788,167.818274736376,152.584702834163,230.636781210428,-0.605130644315127,-32.826191069661,1.02050159513941,1,54.5917953427453,54.5917953427453,NA,0,0,0,1,34,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",5,15957.8608939601,2208.7045049113,26578.6244565217,16642.8260544734,38590.7808305665,37673.607723417,0.971032120421853,14,4894.44217091709,2446.08565012506,6232.63355349799,10142.2642138881,-2632.47628151822,-1585.57592850774,0.565387130540608,92,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Pakistan","Lower middle income"
"Paraguay","Paraguay2010",7,58637.6956239369,64781.162762012,30164.5912946336,19721.6921644501,-17033.7847854137,-3681.36658050431,0.306842448717961,6,11414.8442813241,13041.1847231958,7812.02747132928,16145.3611078012,2869.37049058297,961.501450159458,6.29750411252177,11,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Paraguay","Upper middle income"
"Peru","Peru2010",28,27488.7879582201,21350.1317215635,17520.6170734396,13357.4893454356,8126.58378891345,7328.67453789237,1.54356173811484,50,21472.2686655265,15944.9203572471,15600.557008117,21579.1248413329,9206.70494921182,8441.81384078049,1.26725232312283,33,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",21,69226.0818915591,32887.7115256933,74642.1272028861,166749.437904351,52525.0686085265,16842.3438740347,0.782961927933089,60,17223.4545888053,15243.4563195828,15783.1339712453,13425.5040981866,602.73757757199,816.861738468632,0.47008404135,49,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",1,35645.3033753199,35645.3033753199,NA,0,0,0,1,25,16076.4402599357,16499.9881555947,9845.12890717553,11712.485285215,-2248.21327918146,-2281.32247791037,0.205688658146838,86,NA,NA,NA,NA,NA,NA,NA,NA,"2012","Europe and Central Asia","Russian Federation","High income"
"Senegal","Senegal2014",3,128102.263186047,110745.878196344,105404.62530544,208377.914075469,25563.4681380525,25538.0183034161,1.00309665340213,3,37519.584623748,38588.5399612125,35053.6967590113,69487.694355528,11394.8896736604,10828.495445529,3.52200658576667,6,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Senegal","Lower middle income"
"Serbia","Serbia2013",2,33218.4000270814,33218.4000270814,3330.83276874177,4710.50887555133,-115.053884608097,-123.96075988293,0.962236924878775,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Serbia","Upper middle income"
"SriLanka","SriLanka2011",1,61491.4444709128,61491.4444709128,NA,0,0,0,1,1,31105.1092299513,31105.1092299513,NA,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"2011","South Asia","Sri Lanka","Lower middle income"
"Stlucia","Stlucia2010",5,33285.1263876625,28988.5435466918,23707.8453083414,14891.975308642,7108.21466462468,7823.49868722418,2.72268904357397,3,11290.869624203,12037.037037037,5259.62735360505,10439.5604395604,826.682710740682,826.682710740682,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","St. Lucia","Upper middle income"
