"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",5,29313.2044574588,13903.7091985657,31702.0261136168,42782.9627559778,15071.5004525162,14887.1540554435,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",1,11551.4578999598,11551.4578999598,NA,0,0,0,1,8,1,58527.3866931295,58527.3866931295,NA,0,0,0,1,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",34,2631.19291434244,2544.77892820127,2030.43762268336,2396.4874532924,-174.908483781,-185.540664703423,0.611761586292666,5,1,1541.57953376718,1541.57953376718,NA,0,0,0,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",5,7040.03461886494,2574.85284395747,10184.6153278918,19466.074261033,-5142.0685415243,-4940.07908130854,0.198241543791775,8,1,52631.1185073222,52631.1185073222,Inf,0,0,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",2,22829.0101362666,22829.0101362666,22774.3647855329,32207.8155541329,6877.63564599236,7924.14509665174,2.17021500628675,5,3,98806.8847769073,11816.249394834,154218.24331924,269129.995276183,-21294.9147050349,-21294.9147050349,0.511111111111111,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",2,67627.2579272904,67627.2579272904,87464.2307235678,123693.101311799,19411.6910817787,19411.6910817787,1.45744680851064,17,1,23030.1128418573,23030.1128418573,NA,3.63797880709171e-12,0,0,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",54,31835.8368536846,23068.566755966,27094.6494891769,40334.4851325132,3376.46141853168,1655.98060530696,2.35398158866848,12,15,25329.4861307279,17418.9000834708,20621.1042045883,27615.2521351895,-4429.16194903857,-2542.85181016215,0.760456273764259,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",6,20627.9718058749,13166.9777093599,21103.5310466709,26919.8846714622,16151.0090593021,14429.1216244117,3.48395968459323,1,8,19742.1106333535,20531.6571298884,10773.3717148579,9410.35158374844,2318.43805752186,5024.46067427752,0.319534383937156,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",38,6299.70277070223,3740.51161042403,4697.01098076278,6278.27285606336,20.8002033817119,95.1429377759672,0.309916919295935,51,1,32342.1419836923,32342.1419836923,NA,0,0,0,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",8,3227.57424778209,2644.32904927641,2694.6024024242,1602.14104024222,-935.329406807453,-935.329406807453,0.31875,15,1,10271.2487045885,10271.2487045885,NA,0,0,0,1,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Ghana","Ghana2013",5,112006.565016092,62305.7980565766,112235.65243376,186327.219084402,77503.0254643488,102839.308259142,4.5603519700795,3,2,12130.9077945087,12130.9077945087,9212.72616879673,13028.7622943419,406.378529715957,407.148821698183,NA,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",5,2962.3498526338,2788.39274195734,1586.67112153866,2764.99582672482,-88.9403630782513,-276.284234535044,0.964143000884552,1,4,8460.32488184544,7138.62094875223,6501.56940413339,5582.40540988927,920.514013654117,977.827052019024,2.49443565165087,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",389,8741.88356270377,6015.99121161007,9022.50489205886,8273.58222977591,1050.23249403202,989.671736284952,0.799994611136566,227,58,16954.279074662,8482.72385299868,18870.4702331522,19428.6288629481,1294.36100887341,1600.05680076942,2.71075171756731,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",5,1967.00961586437,1559.86494562599,2196.35788006584,1813.58926138137,112.371231356576,10.2060787219619,1.08647637254359,7,1,2922.13023364509,2922.13023364509,NA,0,0,0,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",1,11023.2298082367,11023.2298082367,NA,0,0,0,1,4,6,601794.984421302,229700.246722013,668265.073535691,861466.438760177,275675.775676514,240675.10765496,0.658430682431834,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",1,925.002636257513,925.002636257513,NA,0,0,0,1,12,1,42606.7096644167,42606.7096644167,NA,0,0,0,1,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",8,4512.26920034163,5461.03382142406,1949.53741251694,1988.71825591708,2.24634793348706,556.628421715715,1,6,NA,NA,NA,NA,NA,NA,NA,NA,"2014","East Asia and Pacific","Myanmar","Lower middle income"
