"countryOnly","country","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",4,30819.830375387,35179.0578762153,13922.9381213913,9611.30993295617,5074.76104561647,5145.67316911211,1.12492991390712,1,6810.91729255321,6810.91729255321,Inf,0,0,0,1,3,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",1,4848.46707701645,4848.46707701645,NA,0,0,0,1,19,3440.66909359816,1537.8265911769,4121.5005218887,3451.48394928946,3860.10469894907,3919.63802442499,1.03539195281931,3,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",16,84788.1025927429,87572.9465124929,21593.3233484981,0,-9845.90909587078,-10609.1166247962,2.48863738187698,1,18853.9879832412,18853.9879832412,NA,0,0,0,1,90,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",32,29435.4438054419,27608.3295288332,26331.8365374965,29933.910408542,5005.64567090355,-4559.67269554559,1.96411758624338,64,22136.0761154777,20044.097268681,14980.3242374256,20838.6572135834,-140.884722207542,-713.427266438842,1.48532137545707,31,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",2,15787.438962231,15787.438962231,9046.92313090027,12794.281389466,-3198.57034736651,-3198.57034736651,0.666666666666667,1,12705.1906095043,12705.1906095043,NA,1.81898940354586e-12,0,0,NA,5,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",1,22961.3508015291,22961.3508015291,NA,0,0,0,1,7,9463.7880255704,7067.65819532407,8519.94038494251,13047.3727641551,-2452.03230513714,-3301.72755363012,3.95771432976661,12,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",74,11034.5035869832,10017.2317622973,7406.12289952988,9938.17376883041,33.718022505739,-546.429921202093,0.653123483359192,327,10844.4978315576,7792.40801455992,10217.5782231948,9273.06312193299,149.242406256865,772.308864969652,1.01415647998564,149,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",1,49038.167043283,49038.167043283,NA,0,0,0,1,3,12611.3091965116,12451.5322899365,8298.3673940734,10619.8888228706,-2418.99313968658,-3594.26558359132,0.74539974892429,2,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",4,9493.87667476638,4386.44568744644,11939.3883390827,24686.9730832933,10126.4263676814,9879.42416444613,3.85133889546083,8,12450.7442713714,12630.7110383968,6349.56929796168,6011.39728273055,1722.88574445612,2353.88980121952,1.09065843524211,3,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Peru","Peru2010",1,30261.6905703399,30261.6905703399,Inf,0,0,0,1,4,17602.7634465758,12797.609259678,12693.0714186879,24196.2914486373,-2140.26016713389,-2226.44944342893,1.19966023791977,2,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",5,25385.2135799299,26970.2450818726,6830.28320357131,8539.8797678476,-820.239621992652,-1263.69255995033,0.381160980903974,1,-3789.88747093829,-3789.88747093829,NA,0,0,0,1,6,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,5,8598.53473756369,7436.48825838,6822.0872748946,13651.2612961307,-2780.71362408166,-2076.24895849571,0.998552264710912,9,"2012","Europe and Central Asia","Russian Federation","High income"
