"countryOnly","country","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",7,12044.4086641396,10422.1255866067,9078.16956630808,14282.7966823145,1293.22711134094,1219.06929484209,1.54751208927707,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",5,26887.521797603,1855.16283623513,44715.9536108954,24987.521696341,-15033.0726245028,-15033.0726245028,0.14018691588785,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",8,19171.3579222085,13475.0870295093,11247.5285585773,11567.9012345679,1546.5249823646,1707.15916415381,1.05042017173543,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Armenia","Armenia2013",5,16560.2598656457,13737.6372216873,12730.2713589688,25534.2609420388,4984.57799048827,4977.98619670659,1.03847298631152,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",70,1985.24231795227,1573.84023019342,1418.76369229952,1192.60658436494,-117.269704433674,-108.882241248082,0.801039787313843,14,4,4698.71900763525,4789.88945790827,383.454803575161,498.10865322067,353.317363032755,332.615197478974,18.3978475821232,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",10,18413.0103294362,17715.2623128846,6263.76270522729,10296.6666666667,-318.300452229393,-502.251474926254,0.833333333333333,0,2,18426.0108432282,18426.0108432282,8692.30862701912,12292.7807486631,-736.355729031023,-787.998765939942,0.849679763934581,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",6,8710.46535283921,7812.25239919116,7248.43783171684,7621.84267865876,-2239.92604004348,-1641.17799049797,0.853648192211433,2,2,9586.59452272718,9586.59452272718,3017.61630152208,4267.55389965066,-1771.22578875833,-2072.46152023265,0.580469875331061,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",1,11793.5703805499,11793.5703805499,NA,0,0,0,1,2,5,17520.4902270543,12620.0974810173,10241.4725593034,6844.50359479423,2173.15009686983,2616.53899816123,0.947325894716605,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",6,13849.9209104506,11088.47088987,12324.722378862,19613.2294171512,5166.38247281677,7907.11822047304,3.54148806199282,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",117,13912.7488998489,10221.9317774878,12771.6729147884,16176.4402868153,2028.89153114212,1907.79712912868,0.859723960042423,32,24,47509.8567924429,46782.3424613752,38611.0370819339,38831.3752009618,-5984.38555392817,3595.7428096059,0.993836054904714,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
