"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,4,15,0.135417152853463,-0.0299877948142924,0.458385508977931,0.207266534254236,-0.0108958655011711,-0.0459420530219587,0.884388093660842,11,0.951720745936973,0.927492872404597,0.445182638098536,0.580751693785338,0.00194693242546671,-0.0189960726154357,0.65226601467495,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,2,106,-4.19928237487082,-4.35121409643748,0.596545576964484,0.797910405529968,-0.362672914042069,0.0289279747239866,0.0329983446462553,39,-3.74997280234874,-4.03022838771779,0.655075857244762,1.0146809865544,-0.108629182466011,-0.0664489710595675,1.72646569895386,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,2,90,0.297454770492601,0.172685960468474,1.05126963786445,1.30178041112333,0.914847845997733,1.69197950771278,0.579245022136566,29,0.196584505695671,0.358300720597068,0.557365898025677,0.623484040333372,-0.306435046460958,-0.266034550768277,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,0,34,-4.2182577391734,-4.35482257005298,0.877347201191622,0.858134957690257,0.10752255563823,0.200271713645008,1.22535265295959,18,-3.88201567210429,-3.98624747992169,1.03075538817812,1.23122589317597,-0.236768645477058,-0.388925478874697,2.16891305146477,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",5,-1.29543616440772,-1.63724132412373,1.25301037623369,2.33918408920827,-0.92377987236677,-0.829592229509206,0.111111111111111,3,69,-0.973950546286138,-0.88049225664896,0.513194853367564,0.677522164643522,0.0327740022895911,0.155428983728858,6,51,-0.860758009959028,-0.929716507640033,0.669742392286092,0.841268233200157,0.499228552554678,0.60808232337266,0.762113983940294,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,1,15,-7.3048109975477,-7.39125855830957,0.536305362645073,0.613558504157242,0.220720559953315,0.160285915355638,0.523519169062492,27,-7.20634861080004,-7.16861411399097,0.492432903225241,0.51115359757322,0.135677817219663,0.101791730085744,0.179575263602393,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,4,99,-0.99196758420237,-1.02859350632601,0.828400045609482,0.897131421137368,-0.103587750209254,-0.136628137119389,1.2,46,-1.23083225940718,-1.11839558384462,0.523175225594666,0.691684966097144,0.0688408801450549,0.05596787899807,2.54555931851784,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",NA,NA,NA,NA,NA,NA,NA,NA,0,15,-1.67577199675665,-1.88492480063157,0.946620762664212,1.0780977721106,-0.58088473186418,-0.545495560462139,0.105944850392021,20,-1.68414267975032,-1.69788112501246,0.542207330849435,0.90163765532983,-0.205265000078108,-0.184583183349036,2.25,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,1,138,-3.16512360095371,-3.23530252912014,0.812346279097748,0.946654501868684,-0.0748418231324596,-0.0311479801704222,1.22080147320054,64,-2.6625641044114,-2.74133989948044,0.983306568525232,1.78557467403839,-0.463979189027482,-0.538799345281274,0.54753421596352,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,3,65,-8.73775336458532,-8.84636882553978,0.487827202434356,0.532521290400622,0.188203132019815,0.197790628151496,0.748608812197151,20,-8.88208740766732,-9.11559645637949,0.664574488467091,0.805348194429579,0.42281533254245,0.22809422410538,0.426149263168806,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,0,10,-3.42524410475917,-3.35417505685563,0.976643913528436,1.31826570494488,0.377937165989846,0.28560556115561,1.03732611551521,14,-2.7645311389441,-2.96627192236481,1.21592558922018,1.73900172203645,0.142614970631918,0.256504920723113,0.121573973447084,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Madagascar","Madagascar2013",NA,NA,NA,NA,NA,NA,NA,NA,0,5,-6.63023034825236,-6.75198706473616,0.494837743837448,1.06354554616387,0.206996155798605,0.243581870153209,4.68536900212243,20,-6.60443637644755,-6.63516659170894,0.992837593405097,0.759254976810034,-0.0850785002898009,-0.122734269022426,1.24760718690456,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mauritius","Mauritius2009",NA,NA,NA,NA,NA,NA,NA,NA,1,12,-2.87242464007289,-2.85942942268312,0.638661200006835,0.466486220694525,-0.0422711964149166,-0.0696597955245052,2.36109998090869,17,-2.30795827742999,-2.03115170738593,0.93269687359642,1.02284452796243,-0.977231414230206,-0.656311725683174,0.0719232696102312,"2009","Sub-Saharan Africa","Mauritius","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,9,-2.35469567021824,-2.37997599176667,0.318069676040405,0.408421067351668,-0.033139694013083,0.0175166570640335,4.03585336587161,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,0,13,-2.30077313450323,-2.48998578450991,0.782226303727654,1.20789200870742,-0.0174660839478258,0.724746063132451,0.702900457689897,4,-3.67044852141245,-3.64462066220727,0.0792415983322706,0.0458195707363096,-0.00645433899254183,-0.00645433899254183,0.94,"2013","South Asia","Nepal","Low income"
"Pakistan","Pakistan2013",NA,NA,NA,NA,NA,NA,NA,NA,1,15,-2.53991723631001,-2.85408145720565,1.88196177422843,3.9927011863985,-0.784787128377861,-0.249165020300488,0.121109462790792,2,-3.52408506127385,-3.52408506127385,0.457335991323353,0.64677076149083,0.0610986755196757,0.0610037330817922,1.19057960870432,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",NA,NA,NA,NA,NA,NA,NA,NA,1,8,-0.767597289753301,-0.588715230808854,0.79603974195304,1.40500936312554,-0.058295608940141,-0.0620384670572011,1.82820467880637,24,-0.675987631817386,-0.785676975120316,0.721274187486431,0.722090193334143,0.0916284504344347,0.140717432707518,3.71605960703216,"2010","Latin America and Caribbean","Peru","Upper middle income"
