"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Exporter","mean_Exporter","median_Exporter","sd_Exporter","iqr_Exporter","OPcov_Exporter","OPcovNoWeights_Exporter","indAlloc_Exporter","N_NonExporter","mean_NonExporter","median_NonExporter","sd_NonExporter","iqr_NonExporter","OPcov_NonExporter","OPcovNoWeights_NonExporter","indAlloc_NonExporter","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,1,46,2.91303352815672,2.96531299652086,0.551994156591291,0.570458581262987,0.0596002415561601,0.090540577374472,1.61606446675124,22,2.5733254136577,2.37632905529858,1.31914760349321,0.722704055280428,0.352238503011338,0.347339205823018,4.49088319057951,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,0,3,1.04386467280012,1.31901823761195,1.2616202749454,2.19461842826938,-0.148699125923947,-0.0972869524049157,0.845979265548713,24,-0.132923742871738,-0.22464657570355,0.594362560046971,0.776246781918523,0.161982635060265,0.0656523145562379,2.38912541302692,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,3,46,0.240394833314816,0.128038230731801,1.11520297626162,1.21754551343117,0.235688043353836,-0.415720415108763,2.60150111201487,84,0.011881460968452,-0.201549887655464,0.891850437505894,0.958147996868455,-0.249855655211796,-0.277233550630459,0.315675148603615,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,8,3.33084961659532,3.41199854844945,0.485980245080833,0.673247141797908,0.35228729939101,0.411562102020001,12.7949604093404,7,2.79193081819203,2.8873163653629,0.345127270319827,0.218534474522205,0.0664025992261522,0.0284697983418453,0.857682162265522,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,4,46,0.0974646757669371,0.0105952332801371,0.507395442847708,0.529160180861977,0.0233897947437621,-0.235406461360494,0.496184142392027,75,0.293012276652407,0.191870308794669,0.814948434380701,1.06756131344934,-0.608412264358278,-1.03438547343932,1.11111111111111,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,0,10,-1.31359534833249,-1.57803128936991,0.567323290885057,0.425727338037859,0.333670261861859,0.0937666173786608,1.29151429824422,7,-0.554819084438724,-0.525223604810607,0.295947953026505,0.250713982270085,-0.0266625678463195,0.00957962615437848,0.825,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,3,7,-0.846349548941133,-0.817171613419756,0.481489870162709,0.924278037439532,-0.0235565436219544,-0.0673864223876092,0.912688802563124,5,-0.493417359106966,-0.536013004690456,0.161795333908259,0.00554085572141361,0.115148283356098,0.105631637148987,1.43332541224344,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,3,11,1.90998233413553,2.16133212521453,0.930142050272462,0,0.061412563915501,0.172098563716653,2.12054990435214,29,0.346698943996059,1.00418413397119,1.1408846640456,0.764946883822528,-1.31926825289437,-0.345071441374131,0.0473827706845418,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,70,0.310793403704752,0.132334756993185,0.718437663336438,0.909526363666629,-0.0970210003761978,-0.0596322153527806,1.03607958290183,230,0.464351494030562,0.342482687037393,0.843730089769651,1.10548789261441,-0.201045630281926,-0.214757624870016,1.79711972310435,"2014","South Asia","India","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,0,10,0.204199490616887,0.208316649833467,0.516503984829865,0.794584917698824,0.186619952724148,0.263253450079328,1.17513941005442,6,-0.67077340629355,-0.668457001442585,0.29986088480052,0.39512703350465,0.000481658615537991,0.0573898499760028,2.21399867865881,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,0,41,-0.232242528572326,-0.340154321367663,0.827534030045979,0.89509044578687,-0.210493803844158,-0.141351097188061,0.609345838832091,54,-0.0998454937684464,-0.295497566622715,1.0035278587932,1.07644989097775,0.0958896383362317,0.557258680407714,0.308682638323768,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,23,-0.412662899614127,-0.852635612605581,0.850680020997586,0.910992424518064,0.112177989341079,0.00909797920584914,1.07518020203242,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Peru","Peru2010",NA,NA,NA,NA,NA,NA,NA,NA,0,10,-0.0244128795548587,-0.0105318937787462,0.492448375378672,0.296357305237379,-0.237562024294702,-0.244095730293984,0.133128011965262,9,0.0950956638445688,-0.0230096918043535,0.56501700635801,0.85375271292021,-0.0834066396907573,-0.0847590085740164,0.974898217107413,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,2,14,2.86576503751723,2.95420583414277,0.421115800832864,0.355717159344589,0.00782109081447454,0.084184651300824,0.306441686989152,19,2.58817590773075,2.32309544474515,0.565034199887615,0.952922383351257,0.148744932591869,0.0634456847580737,1.01194393126949,"2012","Europe and Central Asia","Russian Federation","High income"
"Sweden","Sweden2014",NA,NA,NA,NA,NA,NA,NA,NA,0,82,2.8889395830236,2.68303738664458,0.41139851725009,0.694786484952775,0.243287811928538,0.248327161333577,0.746381713456499,6,3.33496662979988,3.3189425927741,0.697502555175032,0.835375029391187,0.134839284809743,0.246649932000332,2.1940232389082,"2014","Europe and Central Asia","Sweden","High income"
"Turkey","Turkey2013",NA,NA,NA,NA,NA,NA,NA,NA,4,9,-0.41595191104083,-0.389367952854205,0.667337300079593,0.908426763942259,-0.305316919055332,-0.162395351007655,0.365696721087042,2,-0.664916011192967,-0.664916011192967,0.0473270866285986,0,0.00234725939579796,0.00304230035353502,1.04856712276708,"2013","Europe and Central Asia","Turkey","Upper middle income"
"Ukraine","Ukraine2013",NA,NA,NA,NA,NA,NA,NA,NA,0,10,-0.387580497450445,-1.0301011909878,1.19114485112306,1.31329906740268,0.0925765011740542,-0.244198929368869,3.46951534684955,17,0.490790959742151,-0.221164282752326,1.67617750513217,3.22283457172181,-0.366251747838406,-0.551854789685509,0.351664596505063,"2013","Europe and Central Asia","Ukraine","Lower middle income"
"Vietnam","Vietnam2009",NA,NA,NA,NA,NA,NA,NA,NA,0,9,-1.01457074038812,-1.3863071176364,0.866820248093456,1.06922701503593,0.158850828036793,0.00421809826051573,0.972878463601138,15,-0.406396995050558,-0.474779822012951,0.784381679140904,0.909114664980621,-0.0234009907688864,-0.046490563983749,4.47668338308728,"2009","East Asia and Pacific","Vietnam","Lower middle income"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
