"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",13,7269.40133797198,4710.96417241408,7602.34502942887,9254.02888602639,-2524.53662521156,186.308253845545,0.118191372004655,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",24,14658.6715362862,8160.01284911098,18845.8715886568,14270.0056408437,15306.1922365241,11173.5897709992,0.613557268086709,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",25,685397.464658542,18925.8876984297,1628784.69540207,178966.277215533,-295076.524258887,-318639.364658596,0.194165452640022,-20,25,685397.464658542,18925.8876984297,1628784.69540207,178966.277215533,-295076.524258887,-318639.364658596,0.194165452640022,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",9,31191.5328777913,31936.6638905627,13227.7228454118,20634.9206349206,4467.61731763868,4745.90110392579,0.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",150,108855.642543235,76679.1599103998,104688.962080759,118756.68818352,66500.4777513001,40039.7823734303,1.92307692307692,-126,150,108855.642543235,76679.1599103998,104688.962080759,118756.68818352,66500.4777513001,40039.7823734303,1.92307692307692,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",14,17962.41519518,11722.1823117667,19275.1566425605,23403.843261568,8996.56242039105,25810.9767263607,9.36604844481195,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",29,12958.4841785781,9321.033744379,8921.99338462054,10651.7697046128,1623.78696844395,1136.47617422363,1.66576475300704,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",16,91710.0629266367,31800,191514.301387318,20600,2658.58649865069,3352.06748553905,1.31147540983607,-12,16,91710.0629266367,31800,191514.301387318,20600,2658.58649865069,3352.06748553905,1.31147540983607,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",141,9683.98959884407,4884.94305640674,11842.3967281417,6968.78419374204,5018.81840532952,2923.21850843988,0.8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",17,50899.4920082904,41510.8884237707,45042.0538212515,23333.3333333333,30468.2177542502,25397.1357752289,2.23799597836241,-15,17,50899.4920082904,41510.8884237707,45042.0538212515,23333.3333333333,30468.2177542502,25397.1357752289,2.23799597836241,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",9,75912.1642189858,77740.6121298164,30670.9654661863,52041.6130190422,-9200.11785622164,-2428.74578995811,4.47241651221748,-7,9,75912.1642189858,77740.6121298164,30670.9654661863,52041.6130190422,-9200.11785622164,-2428.74578995811,4.47241651221748,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",24,41109.1457698688,43717.1398251323,17592.6589863645,22222.2222222222,16431.4789811905,19308.6360889112,1.13335454232973,-22,24,41109.1457698688,43717.1398251323,17592.6589863645,22222.2222222222,16431.4789811905,19308.6360889112,1.13335454232973,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",8,57849.0735573558,16499.1191928827,76603.4559020342,141098.013823366,3107.08689105578,-9190.51173596456,1.64552389316458,-8,8,57849.0735573558,16499.1191928827,76603.4559020342,141098.013823366,3107.08689105578,-9190.51173596456,1.64552389316458,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",12,56872.9044477232,59136.1611229016,30150.5850282832,15605.7902798767,13787.1455758099,12973.6468481129,3.76826782439173,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",20,13816.6982374581,3589.63846175331,63785.1712831575,3347.57834757835,45613.3784836683,62392.9587118002,1.26818824806281,10,20,13816.6982374581,3589.63846175331,63785.1712831575,3347.57834757835,45613.3784836683,62392.9587118002,1.26818824806281,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",8,38535.2956573025,21742.8600022366,44369.862274203,25879.9316680946,29471.8222730249,30826.5446049965,1.17330928657384,-7,8,38535.2956573025,21742.8600022366,44369.862274203,25879.9316680946,29471.8222730249,30826.5446049965,1.17330928657384,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
