"countryOnly","country","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",12,25556.3024170543,7310.98878130053,44226.3462466331,6235.63271700737,-16041.9057152621,-7660.03430018556,1.3986013986014,12,25556.3024170543,7310.98878130053,44226.3462466331,6235.63271700737,-16041.9057152621,-7660.03430018556,1.3986013986014,-12,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",88,51076.714348439,39592.7614357945,33252.917325036,36399.6874324277,6749.90338470271,8702.13557604684,1.42387389230076,88,51076.714348439,39592.7614357945,33252.917325036,36399.6874324277,6749.90338470271,8702.13557604684,1.42387389230076,-81,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",183,8341.99439545496,6233.31688357223,6766.66674498465,7964.32479284808,-1280.80173670341,-687.907486997188,0.839710462572634,183,8341.99439545496,6233.31688357223,6766.66674498465,7964.32479284808,-1280.80173670341,-687.907486997188,0.839710462572634,-174,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",NA,NA,NA,NA,NA,NA,NA,NA,2,29166.6666666667,29166.6666666667,0,0,0,0,1,3,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",9,7709.07423633716,6952.31237940215,2185.55702801379,2172.34030575782,-117.550205018805,1073.97128821359,0.903094228747879,9,7709.07423633716,6952.31237940215,2185.55702801379,2172.34030575782,-117.550205018805,1073.97128821359,0.903094228747879,-6,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,2,13487.2889287993,13487.2889287993,3.81537223094175,5.39575115449952,0.0252943765009031,0.0267116393787105,NA,6,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",5,17222.6674214928,11990.2586885057,10833.2403049101,18993.3523266857,2630.72994133486,30.0944603349905,1.24049664764576,5,17222.6674214928,11990.2586885057,10833.2403049101,18993.3523266857,2630.72994133486,30.0944603349905,1.24049664764576,-1,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",5,6841.77036099946,6474.61793688991,6111.90578866831,10513.0362850077,-4336.08552725452,-4026.05366154668,0.0316700878902698,5,6841.77036099946,6474.61793688991,6111.90578866831,10513.0362850077,-4336.08552725452,-4026.05366154668,0.0316700878902698,-2,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",146,27496.3101949491,19306.6955589996,26362.853425429,34310.1947700199,10838.7026616217,7603.51328192439,1.33896816576964,146,27496.3101949491,19306.6955589996,26362.853425429,34310.1947700199,10838.7026616217,7603.51328192439,1.33896816576964,-130,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",14,6617.69301561529,5295.72112242997,4026.91169795475,3342.64785600309,25.3886745876081,-356.24072116781,1.98490774612792,14,6617.69301561529,5295.72112242997,4026.91169795475,3342.64785600309,25.3886745876081,-356.24072116781,1.98490774612792,-11,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",NA,NA,NA,NA,NA,NA,NA,NA,5,45306.8247014044,12358.6959703404,59064.7745612901,108443.500939602,-30250.6987471845,-19649.2068243296,1,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,14,4678.91847142361,3885.31376528806,3740.81007813607,6591.37721344481,134.604296363592,206.281552627429,1.4,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",49,37548.3041967663,43436.1747442203,19480.9883293874,20294.6881589529,-728.082368687543,1538.65071316967,0.861069461694067,49,37548.3041967663,43436.1747442203,19480.9883293874,20294.6881589529,-728.082368687543,1538.65071316967,0.861069461694067,-47,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",122,33887.5780560159,29959.5900571625,19511.5494644673,24566.8638468732,-2658.4727596756,35.5279126022365,0.659029250717366,122,33887.5780560159,29959.5900571625,19511.5494644673,24566.8638468732,-2658.4727596756,35.5279126022365,0.659029250717366,-117,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",89,17194.478714372,16474.3365302433,11152.3600092435,10425.0844252651,4037.62783096201,-1055.81159436508,3.48429083010588,89,17194.478714372,16474.3365302433,11152.3600092435,10425.0844252651,4037.62783096201,-1055.81159436508,3.48429083010588,-64,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,5,11470.7481838346,4142.20207820904,11192.1481708393,18066.2139078606,3203.31603241421,2844.95178186062,0.990076079314344,3,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",34,1691.60033412784,1342.72846236379,1008.15003355798,1142.50612705854,-101.010292824959,242.097471128133,1.29641968439618,34,1691.60033412784,1342.72846236379,1008.15003355798,1142.50612705854,-101.010292824959,242.097471128133,1.29641968439618,-27,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",NA,NA,NA,NA,NA,NA,NA,NA,6,38736.7704825666,29263.0358307046,25519.4932371036,46287.7512625454,-3756.84684466453,-3606.92477132549,1.23854793264182,1,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",6,58180.1856743047,23434.6150876765,100571.67976785,63080.2733981091,-26160.2390455064,-43814.6731886687,0.883553774798113,6,58180.1856743047,23434.6150876765,100571.67976785,63080.2733981091,-26160.2390455064,-43814.6731886687,0.883553774798113,-6,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominicanrepublic","Dominicanrepublic2010",11,29477.9173709002,19671.7728914439,26436.6018820474,39711.5874095563,2436.02917719278,10330.8589799625,0.216955573989676,11,29477.9173709002,19671.7728914439,26436.6018820474,39711.5874095563,2436.02917719278,10330.8589799625,0.216955573989676,-11,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",36,893.052286248335,447.313832517208,1065.1670680636,1007.91492032408,-63.459579855936,-57.2867908665497,0.922700683696527,36,893.052286248335,447.313832517208,1065.1670680636,1007.91492032408,-63.459579855936,-57.2867908665497,0.922700683696527,-32,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",NA,NA,NA,NA,NA,NA,NA,NA,9,14796.8165738252,13349.6533201678,3279.19586374281,4274.08056042032,1356.90754493196,-562.553441266667,6.45063542180903,1,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
