"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",5,14823.6546026735,15039.4519608853,3384.71621433332,142.410380747597,-30.4064386971052,161.667020386186,2.18572407231,5,14823.6546026735,15039.4519608853,3384.71621433332,142.410380747597,-30.4064386971052,161.667020386186,2.18572407231,0,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",8,2427186.21083574,679969.89129911,3777791.36226972,4008270.49660797,-1095925.62139378,-1059990.0673418,0.764645123162982,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",19,11030.4498319188,8130.24822603237,9879.63352333481,17034.805806925,-1993.85194678721,-941.103390519957,0.610692805400678,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",11,5596.96838978496,3242.5805355132,5511.61644913237,9094.57138610998,-1495.05206651863,-1265.89339008408,0.630013924394603,NA,NA,NA,NA,NA,NA,NA,NA,3,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",16,8666.91336494105,9099.87725089563,4916.17706377793,7059.65108272115,1824.00178744059,2029.00240714098,0.883652733411088,NA,NA,NA,NA,NA,NA,NA,NA,0,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",20,44663.2444684523,45355.243497971,18630.7654566542,10249.8833484156,-7421.96139470018,-4834.60456346708,1.75457324712924,20,44663.2444684523,45355.243497971,18630.7654566542,10249.8833484156,-7421.96139470018,-4834.60456346708,1.75457324712924,-15,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",4,8081.44484997327,9980.03623572328,4717.18353814001,5035.61253561254,2751.18140871793,3890.42194189253,4.28571428571429,NA,NA,NA,NA,NA,NA,NA,NA,2,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Brazil","Brazil2009",16,186816.049657016,15438.2750553921,553637.28822312,23812.7867669325,-138403.639439809,-85196.1470215688,0.840088107544669,16,186816.049657016,15438.2750553921,553637.28822312,23812.7867669325,-138403.639439809,-85196.1470215688,0.840088107544669,-15,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",5,21858.481418093,20069.2653768205,12357.1083581589,6776.43748451129,16936.5234939383,16584.9006378304,1.13769522437322,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",11,8789.23580138619,3710.94617901726,10391.2187757291,6502.06315906209,5120.79041509263,4801.63395947416,0.814200252347179,11,8789.23580138619,3710.94617901726,10391.2187757291,6502.06315906209,5120.79041509263,4801.63395947416,0.814200252347179,-10,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",17,28982.2168515219,20688.7327638197,18259.7984632868,18402.3433634123,6685.64375437621,12740.4541641515,0.490426255421915,NA,NA,NA,NA,NA,NA,NA,NA,3,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",11,15559.735209109,14064.27605011,10577.7900208405,16454.7906903318,9072.44244957489,11316.6723099988,0.900584670706405,11,15559.735209109,14064.27605011,10577.7900208405,16454.7906903318,9072.44244957489,11316.6723099988,0.900584670706405,-7,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",14,2381.51107330895,2143.53869992222,1995.08429201146,1028.89857596267,999.388925460006,2535.09348462518,0.961069144046425,14,2381.51107330895,2143.53869992222,1995.08429201146,1028.89857596267,999.388925460006,2535.09348462518,0.961069144046425,-6,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",11,61496.7758397381,66052.4790952645,27035.5118580121,34499.7333265988,-1330.03183188692,-3011.36607202694,1.11113729454036,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","Europe and Central Asia","Croatia","High income"
"Drc","Drc2013",11,3094.23863898634,2695.36879365957,2680.56935007312,5000.13034619859,-814.50622230531,-856.005393914201,0.827667597077649,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",63,7750.4096164589,5233.35630804083,6062.41775084276,4822.16402669476,3662.60367508606,4559.91643281772,1.14285714285714,63,7750.4096164589,5233.35630804083,6062.41775084276,4822.16402669476,3662.60367508606,4559.91643281772,1.14285714285714,-48,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
