"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",6,38404.7933273833,35989.6840127204,35200.9521830119,64920.1943824072,7503.24818412837,7625.77935313558,0.633176597981031,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",7,183433.330913018,145515.919371943,169522.502107694,286752.14561614,155582.643335062,158104.527836876,8.41484217389424,-4,7,183433.330913018,145515.919371943,169522.502107694,286752.14561614,155582.643335062,158104.527836876,8.41484217389424,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",37,13000.6113225086,11435.5376082944,10158.5759675642,10136.4133727156,7662.80279125143,5976.11163701255,1.17503313854979,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",2,109115.754895558,109115.754895558,27981.8201488424,0,22770.8720147141,17901.7409888851,1,10,2,109115.754895558,109115.754895558,27981.8201488424,0,22770.8720147141,17901.7409888851,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",9,63492.5386491064,49539.18401863,70595.1717352833,63429.2175307106,7421.09503729969,10875.2289511521,1.40042386417325,-8,9,63492.5386491064,49539.18401863,70595.1717352833,63429.2175307106,7421.09503729969,10875.2289511521,1.40042386417325,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",6,186050.000876005,54345.8270292752,512655.650687803,0,251318.680273522,-12374.4616111528,NA,8,6,186050.000876005,54345.8270292752,512655.650687803,0,251318.680273522,-12374.4616111528,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",75,55834.3611393169,46304.3162632197,34816.0067418837,42505.1683935993,-10966.4859447851,-4918.3583207567,0.800330421354832,-69,75,55834.3611393169,46304.3162632197,34816.0067418837,42505.1683935993,-10966.4859447851,-4918.3583207567,0.800330421354832,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",13,51789.4612398685,26967.3463055617,88681.6643453404,8487.49297652892,76477.0819482142,48156.7288993111,1.09208419148889,-11,13,51789.4612398685,26967.3463055617,88681.6643453404,8487.49297652892,76477.0819482142,48156.7288993111,1.09208419148889,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",7,23079.4958937063,20524.4856725071,11792.8749339156,21300.8808542282,7697.07830152241,7339.42812615591,0.317349211991028,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",5,10866.5337927145,11431.8291948249,10233.5721230589,11146.4012395956,4819.05088507279,5599.66866287508,3.33333333333333,-5,5,10866.5337927145,11431.8291948249,10233.5721230589,11146.4012395956,4819.05088507279,5599.66866287508,3.33333333333333,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Djibouti","Djibouti2013",5,148904.820599406,115123.249788362,151566.150197654,304537.815317965,-39316.8811015657,-27897.0033976286,1.14631151016161,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Djibouti","Lower middle income"
"Egypt","Egypt2013",62,19055.606727498,15679.2550526448,15852.8127068202,13822.2175430019,-483.642422166094,-1019.57756882293,2.27410664199964,28,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",18,6503.26306575229,4495.34202003974,5005.55458766423,5318.45059160822,644.718295196116,644.718295196116,0.446808510638298,-12,18,6503.26306575229,4495.34202003974,5005.55458766423,5318.45059160822,644.718295196116,644.718295196116,0.446808510638298,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Ghana","Ghana2013",8,135256.369816894,77081.6939156485,141993.284710936,266022.064439638,123064.055675567,113282.66314114,2.125,-6,8,135256.369816894,77081.6939156485,141993.284710936,266022.064439638,123064.055675567,113282.66314114,2.125,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",8,5899.5721022969,5789.187552848,4198.73089925919,4901.02657617397,3945.99180155522,3036.34739084104,0.965596709146869,-6,8,5899.5721022969,5789.187552848,4198.73089925919,4901.02657617397,3945.99180155522,3036.34739084104,0.965596709146869,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Hungary","Hungary2013",5,408493.805654566,421998.870639399,259231.040433466,190561.036250411,-171338.324344136,-112393.905807135,0.176242852923714,-4,5,408493.805654566,421998.870639399,259231.040433466,190561.036250411,-171338.324344136,-112393.905807135,0.176242852923714,"2013","Europe and Central Asia","Hungary","High income"
"India","India2014",572,30691.3531166192,19985.0498317521,30380.0130025472,30377.2757442632,4636.98481190208,5559.82518331712,0.853380904908311,-470,572,30691.3531166192,19985.0498317521,30380.0130025472,30377.2757442632,4636.98481190208,5559.82518331712,0.853380904908311,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",8,5119.74593292457,2560.30429271613,5171.49400574401,9095.16251683207,4522.26226720315,1986.41605738309,0.461547197545947,5,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
