"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",10,0.205457721686392,0.0911479256701274,0.231174592150362,0.345032623434633,-0.0168373023673607,-0.0258920562643533,0.400189957774481,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",23,0.418260617439979,0.460330042882186,0.278641942699974,0.343333333333333,-0.186972590540206,-0.125674461658912,1.79384590725983,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",26,0.0668259672726008,0.00686786571632388,0.0926890954790028,0.176388971730351,0.0288381066140567,0.032671373928247,1.24721961262887,0,3,0.00894979989501767,0.00766769283259309,0.00675157917013215,0.00472802117024405,-0.00238067576043823,-0.00364672815730168,4.83864687132321,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",10,0.203731487797499,0.241896968172444,0.0825301481825726,0.158157894736842,-0.0330449413756148,-0.0341266261145534,1.25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",124,0.206996635474398,0.161085062396087,0.154952177074979,0.161611499926744,-0.0649347893371668,-0.0662594923855333,2.15384615384615,2,19,0.169038395319243,0.159759504631975,0.0596882306803853,0.1077755325,0.0230618812372787,0.0117455336749901,0.464665377102786,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",13,0.170152834896655,0.111323643228248,0.152570543964068,0.167590592334495,-0.0669563445189627,-0.0796946743134983,9.50585704696892,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",30,0.297194081679706,0.299283074572133,0.14277254209333,0.142887427466151,-0.00165114627063854,0.00370196779414361,0.774396552374718,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",16,0.257211097357898,0.26331480081877,0.10509721840224,0.136078431372549,-0.0504768958593243,-0.0446390517206482,NA,0,2,0.0755102040816327,0.0755102040816326,0.065419402885286,0.0925170068027211,0.0281301709873138,0.0258186995728524,0.552238805970149,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",157,0.136289133839822,0.102076137804178,0.113434373987043,0.163333333333333,0.00888592240337302,0.0291726144880239,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",11,0.297113526936175,0.288440977820769,0.0220089019463768,0.014285714285714,-0.0109525790468862,-0.0105631154471647,NA,6,1,0.0849162011173184,0.0849162011173184,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
