"countryOnly","country","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",5,0.971088267799609,0.88238913167753,0.826633398876631,1.34568375,0.0580863449018121,0.00829545306417527,1.05463207443829,5,0.971088267799609,0.88238913167753,0.826633398876631,1.34568375,0.0580863449018121,0.00829545306417527,1.05463207443829,-4,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",49,0.264978939840041,0.25769403982178,0.160362820837191,0.275283303959095,-0.0562886517610743,-0.0279034447926861,0.662328852234097,49,0.264978939840041,0.25769403982178,0.160362820837191,0.275283303959095,-0.0562886517610743,-0.0279034447926861,0.662328852234097,-48,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",160,0.246242635540321,0.187603099244788,0.175520371354553,0.227144754316069,-0.0937867957076475,-0.0741506215376769,1.2,160,0.246242635540321,0.187603099244788,0.175520371354553,0.227144754316069,-0.0937867957076475,-0.0741506215376769,1.2,-160,"2013","South Asia","Bangladesh","Lower middle income"
"Bolivia","Bolivia2010",NA,NA,NA,NA,NA,NA,NA,NA,10,0.225130360700197,0.126698637516478,0.223350843742551,0.3576085572843,0.217759614530918,0.231528826314214,0.125248716161592,0,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",10,0.248588127572164,0.241010729703645,0.16051338542873,0.225020920502092,-0.0837035734960574,-0.0794920154098376,1.23937996247824,10,0.248588127572164,0.241010729703645,0.16051338542873,0.225020920502092,-0.0837035734960574,-0.0794920154098376,1.23937996247824,-10,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",51,0.202432520584271,0.2,0.0793871606920257,0,0.000107187628607199,-0.00697711460607292,1,51,0.202432520584271,0.2,0.0793871606920257,0,0.000107187628607199,-0.00697711460607292,1,32,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",10,0.394491352079343,0.34060897649879,0.376266191755794,0.371794871794872,0.229199500055737,0.24880013339729,0.0129630287387663,10,0.394491352079343,0.34060897649879,0.376266191755794,0.371794871794872,0.229199500055737,0.24880013339729,0.0129630287387663,-10,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",56,0.250019886052694,0.241793836066274,0.157530515324967,0.206895161257084,-0.0121978963399172,-0.0064538514645579,1.21908725437404,56,0.250019886052694,0.241793836066274,0.157530515324967,0.206895161257084,-0.0121978963399172,-0.0064538514645579,1.21908725437404,-56,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",153,0.18369737101797,0.147995330220037,0.120027318851812,0.135294117647059,0.0125509619098216,-0.0177382932545214,1.17659493818036,153,0.18369737101797,0.147995330220037,0.120027318851812,0.135294117647059,0.0125509619098216,-0.0177382932545214,1.17659493818036,-152,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",48,0.263274732845506,0.299738740740387,0.121081291942104,0.132048872180451,-0.0937285894493162,-0.0620304737420763,0.299068139053825,48,0.263274732845506,0.299738740740387,0.121081291942104,0.132048872180451,-0.0937285894493162,-0.0620304737420763,0.299068139053825,-46,"2010","Latin America and Caribbean","Colombia","Upper middle income"
