"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",9,0.230368175186375,0.224604167175292,0.0870040268366623,0.131216765558877,-0.0586844302211254,-0.0635627411350539,2.69844918040696,9,0.230368175186375,0.224604167175292,0.0870040268366623,0.131216765558877,-0.0586844302211254,-0.0635627411350539,2.69844918040696,-9,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",28,0.206626271284192,0.11941721795417,0.217853910763145,0.328947368421053,0.147817021966468,0.194414103354423,1.69519918669762,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",4,0.356532478353309,0.353171639321194,0.0382408839383419,0.00416666666666671,0.00954465909311902,0.0030195147679325,0.26125068202617,4,0.356532478353309,0.353171639321194,0.0382408839383419,0.00416666666666671,0.00954465909311902,0.0030195147679325,0.26125068202617,-2,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",17,0.154086229276166,0.129797192526944,0.0959277816047542,0.0666666666666667,-0.0028520839211887,-0.0105397833331178,0.70732711053337,NA,NA,NA,NA,NA,NA,NA,NA,0,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",60,0.132267954379972,0.0827177002632071,0.108106842243413,0.0979059113572388,0.00512162249286846,0.00144651757151406,1.19948627067039,60,0.132267954379972,0.0827177002632071,0.108106842243413,0.0979059113572388,0.00512162249286846,0.00144651757151406,1.19948627067039,-51,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",3,0.180426259904386,0.183031416558644,0.106927890061188,0,-0.0991939958860718,-0.0583511957787185,1.73211781206171,3,0.180426259904386,0.183031416558644,0.106927890061188,0,-0.0991939958860718,-0.0583511957787185,1.73211781206171,0,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Guatemala","Guatemala2010",6,0.191680764810544,0.201440131279876,0.123764630982683,0.207353414186517,-0.037327682345279,-0.0114574229593205,1.64382438687502,6,0.191680764810544,0.201440131279876,0.123764630982683,0.207353414186517,-0.037327682345279,-0.0114574229593205,1.64382438687502,-5,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",6,0.229735178411437,0.254444109726252,0.123063073537981,0.188888888888889,-0.0110213020619374,-0.0116094621195808,0.35644759270788,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",166,0.136435174375411,0.101341328319455,0.0932724016164871,0.120833333333333,0.000413971580716167,-0.0175695964626794,0.478142778285072,NA,NA,NA,NA,NA,NA,NA,NA,0,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",6,0.15834567569444,0.152046460176991,0.0619018385004591,0.055,0.016905199286608,0.0184308282320779,0.453754884741472,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Kenya","Kenya2013",4,0.0287885847162744,0.029726049658381,0.0181292765476892,0.0186274509803922,-0.00289529249071864,-0.00393694732795079,1.91145392955169,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",6,0.151728601619749,0.141656321204916,0.0342541329362483,0.0627892800840777,0.0272053961714898,0.0300607694113523,0.163823470486412,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",6,0.301912807797545,0.280642187329288,0.196011714257749,0.279066518811346,-0.196310011933917,-0.113717064626107,3.53635351925263,6,0.301912807797545,0.280642187329288,0.196011714257749,0.279066518811346,-0.196310011933917,-0.113717064626107,3.53635351925263,-6,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",5,0.0651119876631673,0.059998489436278,0.0214418184405836,0.0225,0.0015187824540848,-0.0068984126984127,0.839527496426015,NA,NA,NA,NA,NA,NA,NA,NA,1,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nigeria","Nigeria2014",4,0.240747333660314,0.175765186375286,0.193562940851658,0.38,-0.0865529899467848,-0.105138888888889,1.57896773255871,4,0.240747333660314,0.175765186375286,0.193562940851658,0.38,-0.0865529899467848,-0.105138888888889,1.57896773255871,-2,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
