"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",100,0.199792442333843,0.189136175880637,0.126610571049545,0.176666666666667,0.0221818014363888,0.0214492464798714,0.776933950283217,100,0.199792442333843,0.189136175880637,0.126610571049545,0.176666666666667,0.0221818014363888,0.0214492464798714,0.776933950283217,-100,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",5,0.28650208985455,0.364944003576787,0.172268839713874,0.241052631578947,-0.0949857086180445,-0.0948206548760566,2.7396753402444,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",6,0.207529178338002,0.185,0.178255265058061,0.312605042016807,-0.0824230399230399,-0.0428887734305192,3.91666666666667,6,0.207529178338002,0.185,0.178255265058061,0.312605042016807,-0.0824230399230399,-0.0428887734305192,3.91666666666667,-6,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",111,0.153477618196542,0.100872162383555,0.126271816426873,0.177812128418549,0.0357531612872869,0.0312404474130613,0.235017507970236,111,0.153477618196542,0.100872162383555,0.126271816426873,0.177812128418549,0.0357531612872869,0.0312404474130613,0.235017507970236,-111,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",6,0.188499806401958,0.201674231179713,0.0757923094499068,0.15,0.0370089331540587,0.0200946811473127,0.473999145353703,6,0.188499806401958,0.201674231179713,0.0757923094499068,0.15,0.0370089331540587,0.0200946811473127,0.473999145353703,-6,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",5,0.216075689730133,0.226651660558245,0.110835523506423,0.1475,0.0387609856251186,0.0651522493734336,0.699793392342867,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",5,0.106605275981575,0.1,0.052884765427694,0.0482894736842105,0.00328437171685239,0.00289790728417468,0.513915179366484,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",91,0.103222042332595,0.0338225044782645,0.132285072232948,0.117982456140351,0.0548659953590513,0.0074515991634275,0.835445609119042,91,0.103222042332595,0.0338225044782645,0.132285072232948,0.117982456140351,0.0548659953590513,0.0074515991634275,0.835445609119042,-61,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",7,0.123141718694833,0.164053346822273,0.0931339598506868,0.137503174159111,-0.0387178954808367,-0.0278600183515165,1.11513772089795,7,0.123141718694833,0.164053346822273,0.0931339598506868,0.137503174159111,-0.0387178954808367,-0.0278600183515165,1.11513772089795,-7,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",4,0.0600656327199871,0.062083678592746,0.0485853060213224,0.0831994187821629,0.0232968953507429,0.0201122406899945,2.66122848716496,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",5,0.177096357072956,0.21797992948329,0.0962613684778416,0.120319902656536,-0.0322877471222328,-0.0476951329057332,0.156418532891543,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",71,0.169791862523994,0.150833837506166,0.108590372540361,0.14,-0.0382279702534523,-0.0349636935828588,1.22487423343969,71,0.169791862523994,0.150833837506166,0.108590372540361,0.14,-0.0382279702534523,-0.0349636935828588,1.22487423343969,-71,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",140,0.148869266725101,0.160835963552173,0.0814337317634208,0.08,0.0060127389634761,0.00299026813436082,0.212618199796626,140,0.148869266725101,0.160835963552173,0.0814337317634208,0.08,0.0060127389634761,0.00299026813436082,0.212618199796626,-278,140,0.148869266725101,0.160835963552173,0.0814337317634208,0.08,0.0060127389634761,0.00299026813436082,0.212618199796626,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",3,0.229808317034181,0.3,0.190143947555555,0.27,0.0572555676572265,0.0576646706586826,0.77698862108121,3,0.229808317034181,0.3,0.190143947555555,0.27,0.0572555676572265,0.0576646706586826,0.77698862108121,92,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",11,0.185314897693322,0.184138764767573,0.0367384896125721,0.00642857142857145,0.00572954100180817,0.00342080070947938,0.209957623889541,11,0.185314897693322,0.184138764767573,0.0367384896125721,0.00642857142857145,0.00572954100180817,0.00342080070947938,0.209957623889541,-8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",21,0.139339681382713,0.133027276745028,0.0768143623086555,0.072,-0.0703110195321268,-0.0661076814881966,1.18345448296479,21,0.139339681382713,0.133027276745028,0.0768143623086555,0.072,-0.0703110195321268,-0.0661076814881966,1.18345448296479,-21,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Dominica","Dominica2010",5,0.28528796667314,0.325111607142857,0.133617073304968,0.249113475177305,0.0622172132773229,0.0644527371614363,0.0980392156862746,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",13,0.200424842771233,0.22923293173894,0.067526982074031,0.116766915254237,-0.00730838182660944,-0.000646785685960736,0.687126513994208,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",19,0.201695941756098,0.165844091281856,0.135745913622202,0.212623816619916,-0.0216853954032682,-0.0309743240388903,1.15033469034423,19,0.201695941756098,0.165844091281856,0.135745913622202,0.212623816619916,-0.0216853954032682,-0.0309743240388903,1.15033469034423,-19,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",9,0.11032787700736,0.0853760761842703,0.0407943417541315,0.0528534370946822,0.0151584685293602,0.00414198853370087,0.903935785913,9,0.11032787700736,0.0853760761842703,0.0407943417541315,0.0528534370946822,0.0151584685293602,0.00414198853370087,0.903935785913,-4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",147,0.151866643339125,0.110803104529679,0.142816201450954,0.178,-0.0119445903238568,0.0315799469064382,0.88859531066458,147,0.151866643339125,0.110803104529679,0.142816201450954,0.178,-0.0119445903238568,0.0315799469064382,0.88859531066458,-140,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",15,0.307100753973318,0.190838994699271,0.217685074081117,0.450323693507346,-0.110203972977606,-0.0518879818578113,3.1708399427956,15,0.307100753973318,0.190838994699271,0.217685074081117,0.450323693507346,-0.110203972977606,-0.0518879818578113,3.1708399427956,-14,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Ethiopia","Ethiopia2011",15,0.121361760285192,0.0985833333333335,0.0683147167507077,0.0771563860579757,-0.0179402070228432,-0.0209855997164934,0.26855365307996,15,0.121361760285192,0.0985833333333335,0.0683147167507077,0.0771563860579757,-0.0179402070228432,-0.0209855997164934,0.26855365307996,-14,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Georgia","Georgia2013",5,0.141358831225831,0.115611130182398,0.119446929580932,0.125986394557823,0.00703345942969373,0.00616542681588763,0.976445650108214,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",19,0.136081539667199,0.0956873192177138,0.150462729863791,0.160806142034549,-0.0432908127108804,0.00827763499194223,0.714825194531828,19,0.136081539667199,0.0956873192177138,0.150462729863791,0.160806142034549,-0.0432908127108804,0.00827763499194223,0.714825194531828,-18,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",2,0.141625626280008,0.141625626280008,0.188561808316413,0,0.0234533076783013,0.0821548821548821,1,2,0.141625626280008,0.141625626280008,0.188561808316413,0,0.0234533076783013,0.0821548821548821,1,9,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",3,0.247605719942038,0.249133657283192,0.0143720515108477,0,0.00211412055396623,0.00707486552967603,0.890928267163157,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",534,0.140058467535668,0.119460808992472,0.108278437546369,0.146666666666667,0.012438399562181,0.015462760701305,0.8,534,0.140058467535668,0.119460808992472,0.108278437546369,0.146666666666667,0.012438399562181,0.015462760701305,0.8,-531,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",104,0.283959486578285,0.291768165313725,0.189051122407554,0.286666666666667,0.0939508006690327,-0.00370074674193456,1,104,0.283959486578285,0.291768165313725,0.189051122407554,0.286666666666667,0.0939508006690327,-0.00370074674193456,1,-104,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",34,0.221828178854367,0.210168291929331,0.0962995511249592,0.165,0.00575501880805571,0.0174493801717933,1.625,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",9,0.157416991784199,0.151278425263471,0.049878201743826,0.0166666666666667,0.00726783438053436,-0.0081965877914952,0.289291692569811,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Israel","High income"
"Jordan","Jordan2013",45,0.130097276480415,0.0847491228534644,0.119160308741362,0.166666666666667,0.0377716730491688,0.00340616848648837,0.946268656716418,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",28,0.0975279302940068,0.098169707640697,0.0668008448184755,0.0946078431372547,-0.0372348458617764,-0.0383734718286063,0.941105472443691,28,0.0975279302940068,0.098169707640697,0.0668008448184755,0.0946078431372547,-0.0372348458617764,-0.0383734718286063,0.941105472443691,-27,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",8,0.110560695569009,0.124800313179616,0.126908659251653,0.171371428571429,0.00763866688488632,-0.0150617787385822,0.910182284913004,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Madagascar","Madagascar2013",10,0.154520957956205,0.096003304547184,0.188809886603057,0.0370629370629371,0.16883304442979,0.0636187264189565,0.0481931305599699,10,0.154520957956205,0.096003304547184,0.188809886603057,0.0370629370629371,0.16883304442979,0.0636187264189565,0.0481931305599699,-6,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Madagascar","Low income"
