"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",13,0.278186011217699,0.17653056565508,0.220489560698721,0.378260869565217,-0.0392227342600762,-0.0239147145054512,0.944211983289233,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",6,0.157180886345378,0.114608104118432,0.172646607183874,0.235037974683544,-0.0504734397976686,-0.0468951734653478,0.860690900809174,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",7,0.187524059959255,0.171019605686233,0.0593620965611963,0.108333333333333,-0.0112984840581656,-0.0117027417027417,NA,0,1,0.238095238095238,0.238095238095238,NA,0,0,0,1,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",1,0.346666666666667,0.346666666666667,NA,0,0,0,NA,3,1,0.133333333333333,0.133333333333333,NA,0,0,0,1,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",5,0.0182317621824312,0.0172433586040385,0.0078739049806821,0.008,-0.00147025306930548,-0.000922988505747127,1.45950001993478,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",3,0.385127933189044,0.4,0.0310366972035533,0.0562500000000001,0.0104807006944618,0.0103280141843972,0.981798922859067,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",86,0.251992765136069,0.25,0.180744291888359,0.206349206349206,-0.0908446206698934,-0.0880148829409341,3.25418605154386,1,1,0.008,0.008,NA,0,0,0,1,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",8,0.293347263193928,0.265348645524706,0.15467764374064,0.2,0.00609442192565969,0.00694601975498867,1.10894182163013,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",1,0.42,0.42,NA,5.55111512312578e-17,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",12,0.21108514390602,0.200397456616956,0.0569348350240118,0.08030303030303,0.0049769379891383,0.00783524807243644,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",10,0.198818348272486,0.0961302134908465,0.202266456787095,0.207985555230167,-0.027544631317233,-0.0784126080232976,0.660996549380826,0,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",5,0.228222891244488,0.241807021353482,0.0376358256099808,0.0580048076923077,0.0176793222486847,0.0144748249643318,NA,0,1,0.0945454545454545,0.0945454545454545,NA,0,0,0,1,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",6,0.215852109634467,0.233264922890839,0.13304446828719,0.24,-0.044310625467794,-0.0554739691108112,4.93847630077879,0,2,0.175,0.175,0.176776695296637,0.25,-0.0576923076923077,-0.0576923076923077,1.85714285714286,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",101,0.272926229282829,0.25,0.1351205763242,0.211111111111111,-0.070185370192344,-0.0601348833087478,1.37767480472333,1,52,0.235251835443304,0.220580403706432,0.155310059739121,0.179310344827586,-0.0212770147242011,-0.0255000879724269,0.463578880793696,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",6,0.284433510455481,0.20543417881548,0.171510228112237,0.330220713073005,-0.0556169342264303,-0.0682668251497036,1.84511521790051,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
