"countryOnly","country","N_Foreign Ownership","mean_Foreign Ownership","median_Foreign Ownership","sd_Foreign Ownership","iqr_Foreign Ownership","OPcov_Foreign Ownership","OPcovNoWeights_Foreign Ownership","indAlloc_Foreign Ownership","outliersOut","N_Local Ownership","mean_Local Ownership","median_Local Ownership","sd_Local Ownership","iqr_Local Ownership","OPcov_Local Ownership","OPcovNoWeights_Local Ownership","indAlloc_Local Ownership","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",24,0.198124713924983,0.0533418034704946,0.400709976110981,0.391211840888067,0.0025308146461999,-0.00948951051743121,1.15014631877491,1,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",32,0.426665560726893,0.346383726516926,0.496971527969996,0.667309122534656,-0.152558172921517,-0.0905200194775819,1.38612145904418,4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",71,0.0774299688889819,0.012909340492416,0.120433489974026,0.113157788793803,-0.00544039871208529,0.000132598240967959,1.06666666666667,4,31,0.0287507376151249,0.0071602725464555,0.0492444777006271,0.0251491370421216,0.00588751718014964,0.00514664501448343,0.906784209830667,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",29,0.417988228639276,0.437634448143059,0.173623661140314,0.238675958188154,-0.0371641780545506,-0.0386704015493275,0.909090909090909,0,2,0.360512129380054,0.360512129380054,0.0962503839620503,0.136118598382749,-0.0309360450869885,-0.0309360450869885,1,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",478,0.492718958037499,0.483460903614393,0.297154106827953,0.336739048089634,-0.0444421952717756,-0.0235054558363953,1.22926603117118,25,56,0.387406511781514,0.351475945938091,0.196956632659849,0.195585368867845,-0.0234027996957446,-0.0344036713860827,1.29069689143747,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",62,0.466702940000224,0.304618174120785,0.544535199652364,0.599872503253661,0.0222523682781572,-0.0525498321901052,0.210671192571204,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",48,0.577578234424474,0.635466413814175,0.250329445346967,0.351170468187275,-0.0395236991209331,-0.0366719556354125,1.14473170685968,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",27,0.543502871115573,0.517723455207332,0.272624315562597,0.423201082994897,0.0434652134575521,0.0391426533568004,0.3671875,1,6,0.200518683159685,0.160552885510972,0.136353272253379,0.156045641095025,0.0102308767848972,0.00373543877640218,7.1,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",1066,0.410794354289512,0.38560411311054,0.261915010512209,0.374493927125506,-0.0466691166371102,0.00584066559764277,0.6,20,17,0.230834845189078,0.057239798935291,0.345346021497721,0.301196571525558,0.112045123731113,0.110940774581982,0.576401138641978,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",37,0.46528467744706,0.509432512308787,0.187036983339642,0.272291593925918,0.0186662325887181,0.0130105143807182,0.794998817010694,0,2,-0.193323331207098,-0.193323331207098,1.17267218382578,1.65840890658409,-0.504745401790222,-0.471508414617045,1,"2010","Latin America and Caribbean","Barbados","High income"
