"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",17,0.4683657103649,0.486889208662836,0.142319596690497,0.198837362927731,-0.044526393111382,-0.0617167945935534,0.532242578733165,17,0.4683657103649,0.486889208662836,0.142319596690497,0.198837362927731,-0.044526393111382,-0.0617167945935534,0.532242578733165,-17,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",13,0.219010773672515,0.188325666606893,0.378744338077202,0.320888685295465,0.0296413913797667,0.0214706280659736,0.867317462471478,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",53,0.451663234470202,0.463947932864574,0.171242860894393,0.197488287350338,-0.00501575611950242,-0.00812499058073619,0.722229455095816,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",5,0.500494706549766,0.470230357134717,0.219228770614819,0.460475555867293,-0.0547162490404157,-0.0748595195074067,1.01676028011759,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",8,0.471878773116017,0.422043200684302,0.22780355283551,0.420875105406165,0.0638037962234847,0.00615375167187625,0.528889208454429,8,0.471878773116017,0.422043200684302,0.22780355283551,0.420875105406165,0.0638037962234847,0.00615375167187625,0.528889208454429,-8,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",7,0.436405293829724,0.383877159309021,0.192267998799464,0.2301830974095,-0.0147908967386109,-0.0157330256540345,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",12,0.767072385496052,0.750434457600185,0.294349391855558,0.238725656412436,-0.0406405886868722,-0.124327574613412,0.860838918830139,NA,NA,NA,NA,NA,NA,NA,NA,0,"2015","South Asia","Bhutan","Lower middle income"
"Botswana","Botswana2010",9,0.366783587595591,0.395880099862247,0.0785975566462556,0.116038960545994,0.00870024445482081,0.0142607000779382,0.326332707243959,9,0.366783587595591,0.395880099862247,0.0785975566462556,0.116038960545994,0.00870024445482081,0.0142607000779382,0.326332707243959,-9,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Burkinafaso","Burkinafaso2009",1,0.23696682464455,0.23696682464455,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",11,0.322717158811845,0.283445247870104,0.178611393617053,0.357630757986927,-0.0124599948755381,-0.0143619875503684,0.9715378830529,11,0.322717158811845,0.283445247870104,0.178611393617053,0.357630757986927,-0.0124599948755381,-0.0143619875503684,0.9715378830529,-11,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",11,0.282275804027543,0.256779032036682,0.18802192563192,0.339482481138339,-0.0425843600761693,-0.0513110215815443,1.16777801925037,NA,NA,NA,NA,NA,NA,NA,NA,0,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",23,0.469988791096215,0.507905639735861,0.22076034759257,0.214204169921288,-0.127392070363861,-0.0401831280840371,2.58946010292408,NA,NA,NA,NA,NA,NA,NA,NA,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",23,0.28084407002399,0.216788058174136,0.179709926056153,0.324004884004884,0.0142144104412656,-0.0325750638979351,0.262708161587066,NA,NA,NA,NA,NA,NA,NA,NA,0,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",14,0.392138311606803,0.316424707113552,0.231045149487535,0.342960010969482,-0.114262138654761,-0.166876093661823,3.17888987204871,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",11,0.46154586335673,0.482107116083337,0.214091929991873,0.21284965034965,-0.0202254048066811,-0.0401524090525771,0.252297891703291,11,0.46154586335673,0.482107116083337,0.214091929991873,0.21284965034965,-0.0202254048066811,-0.0401524090525771,0.252297891703291,-10,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",8,0.450888255355733,0.404147983755279,0.173705968900415,0.28862569183354,0.0183765286842938,-0.00505023211902007,0.318181818181818,8,0.450888255355733,0.404147983755279,0.173705968900415,0.28862569183354,0.0183765286842938,-0.00505023211902007,0.318181818181818,-8,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Dominicanrepublic","Dominicanrepublic2010",13,0.601971945781096,0.490349701766836,0.399732895366467,0.643946395563771,-0.227834253773685,-0.177516561818479,0.644162053736958,13,0.601971945781096,0.490349701766836,0.399732895366467,0.643946395563771,-0.227834253773685,-0.177516561818479,0.644162053736958,-13,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
