"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",4,0.360253269861838,0.373334023433496,0.0436617936321888,0.0336392042083614,-0.00922046478389005,-0.0095022325983379,1.32621412443772,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",6,0.186479248340074,0.127538072402798,0.219490679730352,0.255730420079632,-0.063260397854053,-0.0589784108489994,0.860690900809174,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",7,0.44654706094232,0.444100596928477,0.179148402228968,0.365437477794192,-0.0208358145283324,-0.0224832042682089,0.904889231419899,0,1,0.428571428571429,0.428571428571429,NA,0,0,0,1,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Armenia","Armenia2013",4,0.0366848268244839,0.025447457160954,0.0312526637074629,0.0648976040690671,-0.00689088432847319,-0.0049284703823746,0.977966830218919,1,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",82,0.413275214825678,0.421738947436194,0.218374687788783,0.337204370569345,-0.166102204417689,-0.182739469869734,0.570785968152705,3,1,0.0226415094339623,0.0226415094339623,NA,0,0,0,1,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",12,0.453594376998259,0.403241504233809,0.206719664357511,0.242028529473463,0.0265478427936258,0.0280251535054386,0.816581288667954,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",10,0.320633974614426,0.201683405166675,0.342538077207313,0.477091173327779,-0.00545775892664026,-0.0913024921293125,0.32258064516129,0,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",4,0.482950430034593,0.487964328382265,0.0734036254182824,0.0993886107899924,-0.0296376519465996,-0.0128356671589569,5.50567626488537,0,1,0.312312312312312,0.312312312312312,NA,0,0,0,1,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",5,0.291753827306387,0.299714556926491,0.163811638916949,0.219559585492228,-0.0714048031234674,-0.10169273154276,4.93847630077879,0,1,0.313545150501672,0.313545150501672,NA,0,0,0,1,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",92,0.464409791820532,0.439882560079712,0.252983114169472,0.351667824488695,-0.0884205316032723,-0.09630783257166,0.964702844782029,3,48,0.347543391435653,0.294265635303646,0.251406301579284,0.276645124561597,-0.00877932808266105,-0.0278974453212464,0.599509163156521,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",6,0.574504439816362,0.535753787669354,0.192574731776736,0.196492405012939,-0.0307970241280615,-0.0378386613072357,1.84511521790051,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"China","China2012",14,0.225508248340916,0.139599165031532,0.179140368604692,0.158751828376402,0.126454715341475,0.0702249781674898,0.153666977648312,0,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",8,0.522560112347013,0.493963326724476,0.253409288171775,0.412593324862166,-0.126779750107075,-0.0390498110700219,1.86415333886031,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",8,0.543687541247659,0.47333707248067,0.610971758941217,0.280237876196765,-0.334232923030972,-0.312478156622419,1.25,1,1,0.446030330062444,0.446030330062444,NA,0,0,0,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Drc","Drc2013",39,0.338905625196895,0.301018598711629,0.21847678310364,0.377389101274408,-0.0555448465691866,-0.0538515354436114,0.723325975109847,0,5,0.472543761157015,0.571277171382975,0.34863043114203,0.438836312653347,-0.309188979494557,-0.196163618682121,1.29359459823556,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",92,0.406558328442594,0.38506023200334,0.240720272513842,0.415389874184102,-0.0206824705817528,0.0844980062789753,2.23607323458238,9,1,0.935897435897435,0.935897435897435,NA,0,0,0,1,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Estonia","Estonia2013",5,0.474588395843657,0.577591538512148,0.361706047153592,0.692896061799432,0.00332400650568446,0.0679371869497211,1.02912367433963,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Estonia","High income"
"Fyrom","Fyrom2013",1,0.526315789473684,0.526315789473684,NA,0,0,0,1,3,1,-4.14285714285714,-4.14285714285714,NA,0,0,0,1,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Ghana","Ghana2013",15,0.39392362541213,0.248706251144859,0.349042900953289,0.470428730036724,0.0557207694679819,-0.00753150388258123,0.804764715648797,0,1,0.728155339805825,0.728155339805825,NA,0,0,0,1,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",10,0.311574392874549,0.601145644210958,0.579099981381778,1.18021135368927,0.0185422492434765,0.00204352258000214,0.592914985477885,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",1,0.112781954887218,0.112781954887218,NA,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",66,0.532183448488192,0.507123783146161,0.308008159490263,0.572916666666666,-0.0991836574762869,-0.046541254280672,0.822112462814464,0,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",16,0.704344944631003,0.80895461092933,0.264248328266097,0.425825839877921,-0.140329815384599,-0.128088118454885,0.301017500528061,1,1,0.602230483271376,0.602230483271376,NA,0,0,0,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",22,0.286693405641892,0.235712581063728,0.203532132838345,0.359254653235502,-0.0299173629279678,-0.0312278944165721,1.2,0,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",5,0.35691146662892,0.33492814839319,0.0987716255202117,0.0718626144667272,0.0494233829343167,0.0441728608897988,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Israel","High income"
"Jamaica","Jamaica2010",11,0.496776543081295,0.493880589128636,0.0940416215667446,0.147651427645574,-0.0126014466747405,-0.000608280994939271,1.31522135668096,0,1,0.324675324675325,0.324675324675325,NA,0,0,0,1,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",6,1.56879599128404,0.556263592596183,2.02859233348785,3.99669694467382,-1.02331088634413,-0.706438558470673,1.73982320942883,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kenya","Kenya2013",6,0.26679270415241,0.287401873431737,0.179802196560733,0.246762458707415,-0.0504707482827606,-0.0522775636821571,1.12000591934603,1,1,0.270422535211268,0.270422535211268,NA,0,0,0,NA,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Kosovo","Kosovo2013",6,0.962808169142351,1.1041546643041,0.710668562399131,1.21926060406008,-0.0972042090539524,0.110490160282807,0.799594774929818,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Kosovo","Lower middle income"
