"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",7,0.0283369695300058,0.000276821084519401,0.0511103570331152,0.0968768639974881,-0.0163148164839489,-0.0162410702109215,2.42064875781417,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",18,0.39795921509356,0.401211314480047,0.290247058406444,0.371428571428571,0.0407691168356061,0.0487197612589072,1.05024625043396,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",10,0.203902485155667,0.205174130069517,0.169740540135657,0.193496240601504,-0.0508289757233882,-0.0806398830812208,2.84833646721548,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",16,0.465728831188686,0.490291257438643,0.226939486305707,0.3153445,0.0129944505088795,0.0300048772904733,0.703178939526538,0,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",17,0.437664006501396,0.495729354696742,0.157157606135244,0.233333333333333,0.0198131202162119,0.00275110705124348,0.372493662737312,0,2,0.433461544393821,0.433461544393821,0.150465463995628,0.212790299851378,0.0593500831690433,0.065019258287921,0.668964461777181,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",5,0.65494497288498,0.776391448250798,0.555585416642625,0.863888888888889,0.0741339683794878,0.119645593869732,0.919391577050156,0,1,0.5625,0.5625,NA,0,0,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",7,0.205571876765429,0.264584780700872,0.148000567521241,0.288011695906433,-0.0714117488113303,-0.0908176055229031,0.593487830822759,0,3,0.0399249936933088,0.0381580949676975,0.0379324950219707,0.0409722222222222,0.00346812849541072,0.00314573688271605,0.950609762393146,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",18,0.371801314254865,0.420352643003561,0.184021085861991,0.359111935567192,0.0334336649590993,0.0303344162795859,0.102595063976266,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",9,0.242481207278557,0.153309721547334,0.197218105344619,0.296816037994872,0.106176112249037,0.0641150821810126,2.33450618340891,1,1,0.6,0.6,NA,0,0,0,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",9,0.147223425432155,0.126553411384695,0.148790152859842,0.18,-0.0590720046490199,-0.111359238466177,1.2,1,3,0.490139401960837,0.495974843309267,0.13561682263688,0.155555555555556,0.00961292710533449,0.0185185185185185,1,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",10,0.36983097217452,0.433614240885889,0.216261167268776,0.270705628968216,0.119938477314629,0.125751791863449,0.207858311800341,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Croatia","High income"
"Drc","Drc2013",13,0.204269179168998,0.212426899750341,0.141586744360299,0.211,-0.073803884350715,-0.070814753547247,1.50594295669058,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",61,0.468540133253033,0.5,0.241235566049105,0.253846153846154,0.053460236569746,0.0630873561264516,0.184314224496817,1,1,0.333333333333333,0.333333333333333,NA,0,0,0,1,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Estonia","Estonia2013",7,0.279734791316674,0.224879525536869,0.197372920179736,0.373726981310387,0.0168547715053176,0.041477278651469,0.817677229005546,0,1,0.6,0.6,NA,0,0,0,NA,"2013","Europe and Central Asia","Estonia","High income"
"Ethiopia","Ethiopia2011",5,0.156183557132714,0.13935734610313,0.13724257864918,0.0918461538461539,-0.0092371480556365,-0.0092371480556365,1.71428571428571,0,1,0.319921025209777,0.319921025209777,NA,0,0,0,NA,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",7,0.475285380826286,0.462273615875764,0.15578538815673,0.2689018,-0.0165058626854909,0.0173203293609107,1.22938600197378,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Ghana","Ghana2013",9,0.432315698775287,0.447204443022964,0.279198835775832,0.483284600071083,-0.0607625753180723,-0.0524839563644463,0.714816630916153,0,1,0.32301170627333,0.32301170627333,NA,0,0,0,1,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",9,0.228135389800873,0.231667729891308,0.109166167989927,0.13,0.0205302255575013,0.0385441073704115,1.19572089024106,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Guyana","Guyana2010",9,0.383685878921456,0.342288677868911,0.220095354361533,0.234848484848485,-0.0421854325934825,-0.0420489265342596,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Guyana","Lower middle income"
"Honduras","Honduras2010",1,0.0186925356405904,0.0186925356405904,NA,0,0,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",139,0.546684817984986,0.583333333333333,0.17513600822367,0.230236363636364,0.0362391519448845,0.0564467857236218,2.02468099232813,0,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",28,0.369225620711949,0.284838517799457,0.302110576956599,0.333333333333333,0.142035116511195,0.117419333702495,0.158794512726614,1,1,2.6,2.6,NA,0,0,0,1,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",8,0.181500474127218,0.137428703458858,0.195735685259701,0.166335650446872,-0.0104080493205379,-0.0159731822253572,0.744753920495773,0,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Jordan","Jordan2013",1,0.285714285714286,0.285714285714286,NA,0,0,0,1,4,1,0.25,0.25,NA,0,0,0,1,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Laos","Laos2012",10,0.245591722116401,0.296382211481792,0.15956628330213,0.115918367346939,-0.100271201093207,-0.0934787205137392,0.34655633247993,3,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Latvia","Latvia2013",4,0.56526749029818,0.571986735654265,0.362826751406141,0.702898550724638,0.174206259839188,0.147364953886693,0.390583701851773,0,1,0.571428571428571,0.571428571428571,NA,0,0,0,1,"2013","Europe and Central Asia","Latvia","High income"
"Lithuania","Lithuania2013",12,0.366067824219355,0.410120680921621,0.22478835041643,0.2289125,0.101002781142026,0.187922773453055,1.28546542639474,0,2,0.237749124345451,0.237749124345451,0.0376438840331572,0.053236491340091,0.00128399682926026,0.00140096029842345,0.934296668504371,"2013","Europe and Central Asia","Lithuania","High income"
"Madagascar","Madagascar2013",22,0.317658589303055,0.297181582885844,0.187773135244833,0.24,-0.0932492982264439,-0.0792140597848113,0.736842105263158,5,1,0.658857142857143,0.658857142857143,NA,0,0,0,1,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mexico","Mexico2010",6,0.43818941821712,0.45200132441725,0.132039879977886,0.2,-0.0632096107374406,-0.0257704771710107,1.29923416561776,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Mexico","Upper middle income"
