"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",38,1.1698984828642,1.15312331087415,1.47594692161242,1.40856152489737,0.429963663672558,0.564347432205816,1.42614514369836,38,1.1698984828642,1.15312331087415,1.47594692161242,1.40856152489737,0.429963663672558,0.564347432205816,1.42614514369836,-34,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",143,0.912842705678643,0.748659919443712,0.696415786457424,0.912464916154955,0.446362577929275,0.572383218708569,0.078714799467703,143,0.912842705678643,0.748659919443712,0.696415786457424,0.912464916154955,0.446362577929275,0.572383218708569,0.078714799467703,-128,"2013","South Asia","Bangladesh","Lower middle income"
"Bolivia","Bolivia2010",6,0.319172844469877,0.252592929424797,0.44449963191101,0.499912608609998,0.111284936820824,-0.101563532579554,0.938922142774175,NA,NA,NA,NA,NA,NA,NA,NA,2,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",10,0.992779264505232,1.05795364532493,0.754027193570428,1.38078526287481,-0.312625652196611,-0.360810622871484,0.271521656240686,10,0.992779264505232,1.05795364532493,0.754027193570428,1.38078526287481,-0.312625652196611,-0.360810622871484,0.271521656240686,-10,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",121,0.703162343016422,0.44954121538123,0.664544963700237,0.817091454272864,0.162764865647242,0.0647284944391602,0.377128353043712,121,0.703162343016422,0.44954121538123,0.664544963700237,0.817091454272864,0.162764865647242,0.0647284944391602,0.377128353043712,-114,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",8,4.19131955098236,1.37641588520512,5.60043253870113,2.7077762221748,-1.36995530702452,-0.14675031989169,0.938663392116632,8,4.19131955098236,1.37641588520512,5.60043253870113,2.7077762221748,-1.36995530702452,-0.14675031989169,0.938663392116632,-8,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",50,0.699075055105124,0.519537528815713,0.571273573552384,0.720673612724755,0.0759093389179319,0.192045193248699,0.984598271424016,50,0.699075055105124,0.519537528815713,0.571273573552384,0.720673612724755,0.0759093389179319,0.192045193248699,0.984598271424016,-44,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",131,0.685146878884875,0.614125157559604,0.478613473852053,0.552742616033756,-0.159604871996496,-0.158059973229124,1.37074379004311,131,0.685146878884875,0.614125157559604,0.478613473852053,0.552742616033756,-0.159604871996496,-0.158059973229124,1.37074379004311,-120,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",47,1.30185738172554,1.74146493447042,0.949550638664613,1.14660198246588,-0.544319527132057,-0.224655476784049,1.32454570415354,47,1.30185738172554,1.74146493447042,0.949550638664613,1.14660198246588,-0.544319527132057,-0.224655476784049,1.32454570415354,-46,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",3,1.1152573101602,1.14846865696447,0.495219995727793,0.501019432433751,-0.367086550304039,-0.213161773284482,4.42384764316834,3,1.1152573101602,1.14846865696447,0.495219995727793,0.501019432433751,-0.367086550304039,-0.213161773284482,4.42384764316834,-1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",5,0.412103024343379,0.247047030224689,0.514967392181726,0.492320750359324,0.863379124291242,0.748529953980664,0.231984019849545,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",9,0.690890018406205,0.499369848047482,0.413697419825368,0.500606050332567,-0.106757620727581,-0.0912535121475048,3.71780233502225,9,0.690890018406205,0.499369848047482,0.413697419825368,0.500606050332567,-0.106757620727581,-0.0912535121475048,3.71780233502225,-9,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Ecuador","Ecuador2010",10,1.24465382947278,1.31695857442614,0.309014458149072,0.256617106495767,0.0336093350079082,0.0284295767989927,0.47635470993264,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
