"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",4,0.00233747256740216,0.00199465219950472,0.00248056996912413,0.00467127255173749,-0.00158971190867808,-0.00164172121108206,6.32421066301453,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",3,0.556737637870881,0.563225225367268,0.143794203170498,0.157894736842105,-0.0744321233106896,-0.0808250200665061,0.913680972310485,-1,3,0.556737637870881,0.563225225367268,0.143794203170498,0.157894736842105,-0.0744321233106896,-0.0808250200665061,0.913680972310485,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",35,4.55662175389067,2.66350127324406,5.94449984383336,7.35726789943656,3.82320096157319,4.04038491211208,0.194936416398704,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",5,1.18602668677496,1.36335733407486,0.978389435634633,0.451127819548872,0.228235983294657,0.370645174122308,0.935646165207011,-3,5,1.18602668677496,1.36335733407486,0.978389435634633,0.451127819548872,0.228235983294657,0.370645174122308,0.935646165207011,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",5,0.385529224025107,0.456536011518584,0.266345843422031,0.531417579735912,0.0728942573078606,0.0740685998940107,0.692126164947134,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",5,0.985361475545417,0.98670293206585,0.610371769169786,0,-0.468302654505247,-0.186271826380709,1.51528797813562,3,5,0.985361475545417,0.98670293206585,0.610371769169786,0,-0.468302654505247,-0.186271826380709,1.51528797813562,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",69,1.09746814696878,0.678972926175326,1.00179906181047,1.63726507552173,-0.140819374034778,-0.152344441677109,0.836879682818341,-66,69,1.09746814696878,0.678972926175326,1.00179906181047,1.63726507552173,-0.140819374034778,-0.152344441677109,0.836879682818341,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",13,1.10152546136071,0.650522301068727,1.53841820763947,0.92502012851753,1.58521360180671,1.25721400089605,0.0173249971692007,-12,13,1.10152546136071,0.650522301068727,1.53841820763947,0.92502012851753,1.58521360180671,1.25721400089605,0.0173249971692007,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",57,1.71978406926813,1.81322072946666,1.20264293620068,1.26915163026274,-0.1464468024505,0.394464796100531,1.11724269761266,2,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",11,1.9018811629986,0.831663103851907,2.53036437193795,3.03503777453965,-0.0531962626367079,-0.0531962626367079,0.9,-10,11,1.9018811629986,0.831663103851907,2.53036437193795,3.03503777453965,-0.0531962626367079,-0.0531962626367079,0.9,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Ghana","Ghana2013",8,0.680952692329549,0.447830920597296,0.676615452101486,0.286303899207125,-0.216735705613659,-0.242613897746227,3.4,-8,8,0.680952692329549,0.447830920597296,0.676615452101486,0.286303899207125,-0.216735705613659,-0.242613897746227,3.4,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
