"countryOnly","country","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",1,1.98314505366105,1.98314505366105,NA,0,0,0,1,4,2.25898917321243,1.63486277261102,3.00632745898874,1.87140828064131,0.280278454495479,-0.149327998421539,1.05731031991488,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",1,0.133084908171413,0.133084908171413,NA,0,0,0,1,18,1.15229365030134,0.230317083186744,2.22785150694525,0.735051546391753,1.66069994703667,1.44563901227621,0.251952522596882,2,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",1,0.401146131805158,0.401146131805158,NA,0,0,0,1,1,0.746268656716418,0.746268656716418,Inf,0,1.94116810904865e-32,0,1,78,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",7,1.659346633285,1.73948071291723,1.19775808529351,1.13128162881017,0.159900612908135,0.126581088432852,0.9439101795304,91,1.00010283565842,0.585118373699788,0.895169113867099,1.40342701975572,-0.0657866813323113,-0.030752544683662,0.564641391619172,2,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,1,1.15163147792706,1.15163147792706,NA,0,0,0,1,4,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",1,5.12820512820513,5.12820512820513,NA,0,0,0,1,7,1.45504815565084,1.35987245198946,0.612804328679782,0.926178465190957,0.190325925127598,0.292390179388333,0.159560175107786,1,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",1,2.45721807810443,2.45721807810443,NA,0,0,0,NA,404,1.63708879936766,1.43485972244836,1.25494516939806,1.23047875064004,0.326747442477315,0.214415687168954,0.9,15,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",1,1.29291768424077,1.29291768424077,NA,0,0,0,1,4,1.34014488983061,1.41418590469068,1.33909967527683,1.78072541708905,-0.326275313172469,-0.467637543856042,0.613087090629966,0,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",NA,NA,NA,NA,NA,NA,NA,NA,10,0.381929015739596,0.0796582950349109,0.549538411332298,0.484367701034368,-0.251847703441616,-0.30030922436224,1.22542984234659,2,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Peru","Peru2010",1,1.2019005820591,1.2019005820591,NA,0,0,0,NA,4,1.82039787320463,0.97230029055612,1.63942091634913,2.94549247907568,-0.752354527029203,-0.886156191319509,0.995313399170542,0,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",2,1.42939407537419,1.42939407537419,1.32992967912835,1.8808045892258,0.30315953156854,0.296969145667232,0.704115962558661,7,-1.85638470640189,-1.17975939206756,4.19482802619597,4.31126397248495,-0.0753671172980153,-0.964905553045133,1.12458238807611,2,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,6,1.75349122740396,0.513641064555806,2.39600361505175,2.70237528302045,0.256732072776062,0.342753592140067,1.28650732898263,0,"2012","Europe and Central Asia","Russian Federation","High income"
