"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",61,49304.3040088075,39669.3797265203,34286.6041844227,48693.8654267747,16314.2321896999,19787.1724716082,0.953894077406031,9,100606.048410387,113053.650157176,28044.287705487,28439.9227124868,-9759.01868959765,-6737.53819740107,0.830557865738793,40,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",4,43399.8630998631,39271.4285714286,28804.6000795588,23071.4285714286,-12777.4946788105,-17443.9043930979,0.0769230769230769,2,426200,426200,277468.700937601,392400,-6329.03225806452,-6329.03225806451,0.96875,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",100,4430.28934348757,3075.92429438543,3964.07797968151,3251.98117542662,-875.546425809959,-795.951079055336,0.981413162180194,1,188253.961900393,188253.961900393,NA,0,0,0,1,18,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",3,19583.5278331444,19690.0086692879,3788.41921835129,4556.17732599518,804.959743687328,-3206.96316259792,2.03660116897469,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",5,37623.6217804739,38101.539355505,14846.2327109816,25444.4444444444,-5375.41948191431,-4360.69230769231,0.85652529894414,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",84,55161.6353900913,29740.3431983881,65804.8444242863,70865.7690654743,25520.3674354995,11712.1224981286,0.896676982582676,1,133607.707132484,133607.707132484,NA,0,0,0,1,52,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",5,29130.2808997271,20495.7707592105,29722.997792111,28513.6327393249,17928.9738591482,22562.0215193036,0.233900394025093,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",51,71202.0285786168,35290.7549933378,70130.3876505248,111146.296202267,82114.6693631714,64838.1111029857,2.4199997304912,15,93505.610628915,60588.8680544363,80730.737995819,92820.4347254899,30505.8985707713,17946.7339669418,6.63289631554786,14,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",110,32415.8255704573,21511.6223322314,27162.4974949033,45463.677911744,-7539.24149945537,-5016.7465837902,0.887347675029982,2,54547.2289067532,54547.2289067532,22705.4288906963,32110.3254767206,-2219.65412570426,-2214.50520529108,0.86440525591723,32,1,15978.4480304866,15978.4480304866,NA,0,0,0,1,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",74,42474.0566003583,51729.818544042,27888.1577859756,31865.456468125,9908.79679637507,33465.518420232,32.5758978495695,1,257684.920138274,257684.920138274,NA,0,0,0,1,35,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",11,26602.8532174399,29828.4622628691,16230.1659885748,16816.8700871477,-1475.4577826373,-1014.36783359158,1.95413698452309,1,45255.5197431388,45255.5197431388,NA,0,0,0,1,8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",11,31120.6894520247,18368.0770275343,35845.8103767322,31484.2170341354,43449.3359033304,37290.8535146924,5,4,35207.8276867038,17233.3937507628,54831.1474995805,58678.7830261126,-6256.17638150221,-21429.1801591406,1.13586332844536,6,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Dominica","Dominica2010",5,19334.5091122869,10518.5185185185,18878.3484819866,36465.6084656085,-4342.5677203455,-4250.67607289829,0.0980392156862746,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominica","Upper middle income"
"Dominicanrepublic","Dominicanrepublic2010",6,6767.66274639291,6998.85702919173,1744.34278846988,706.48888457277,638.315977628034,1000.09479110509,1.25648266240261,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",8,2486.22549262413,1827.01326047967,2421.54923754396,5124.22796871772,-548.997633396166,-417.232058167249,1.27352685881311,3,35469.5630052389,11904.9615895713,54850.4412192879,100752.813929113,-12232.5523551599,-10695.8699499627,8.03122622800297,10,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",10,20663.3314067822,18207.8194731262,14429.2739929559,20922.02,7793.39460107866,12166.8351055134,0.174848107079859,2,152370.49082809,152370.49082809,10763.4057478719,15221.7543859649,-1473.33363318302,-1570.49846839321,0.766736455587481,6,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",112,14083.1064685468,7007.4825482231,18218.6496931492,10296.8902038857,-1761.86592870577,555.248747600763,1,1,15595.4017979617,15595.4017979617,NA,0,0,0,1,60,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",9,29967.9324598304,14502.2191337572,32450.2015496155,66127.14,7846.56808866832,12815.2471979853,2.83521161480968,2,20757.6720361281,20757.6720361281,9052.77002960014,12802.5501529052,-4209.86844377264,-4091.04046239452,1,9,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Ethiopia","Ethiopia2011",8,3685.08831396312,934.888857149975,7540.37130952713,11668.679179735,2473.23584905742,2528.04475489342,0.903276539973788,2,9704.34010772114,9704.34010772114,4463.30876696589,6312.07179130189,-411.656855954471,-411.656855954471,0.884615384615385,14,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Sub-Saharan Africa","Ethiopia","Low income"
