"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","outliersOut","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",5,29313.2044574588,13903.7091985657,31702.0261136168,42782.9627559778,15071.5004525162,14887.1540554435,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",4,58544.6125953412,44025.2857070926,60864.9318526088,46975.9287931697,25195.5718420414,20040.0077832083,2.90610849449941,2,4,58544.6125953412,44025.2857070926,60864.9318526088,46975.9287931697,25195.5718420414,20040.0077832083,2.90610849449941,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",35,2596.373908959,2282.98775023602,2005.37547640435,2396.4874532924,-177.354634559084,-195.657987754627,1.15586726095681,5,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",5,39701.0254807819,39362.0851361587,34410.1165455489,40114.5562112339,9877.23601400821,18830.5831887141,2.87171086800703,4,5,39701.0254807819,39362.0851361587,34410.1165455489,40114.5562112339,9877.23601400821,18830.5831887141,2.87171086800703,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",4,18595.3126720717,11543.682028782,17055.5098014598,32207.8155541329,4580.8139315099,3330.0432673153,2.71644427360185,6,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Chile","Chile2010",6,120687.716308668,80260.6858793327,371475.036759999,0,179554.353260647,-7944.15986428421,1.57780869566311,8,6,120687.716308668,80260.6858793327,371475.036759999,0,179554.353260647,-7944.15986428421,1.57780869566311,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",70,32035.1505258362,20339.054079037,29046.4773208313,31187.9332495061,2.87892523134385,1961.36643368689,3.39980022735392,-59,70,32035.1505258362,20339.054079037,29046.4773208313,31187.9332495061,2.87892523134385,1961.36643368689,3.39980022735392,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",14,20083.03037261,17014.0435132448,14869.3675520128,16464.1238561044,12953.8277793175,13307.5983728975,0.454347355849561,-13,14,20083.03037261,17014.0435132448,14869.3675520128,16464.1238561044,12953.8277793175,13307.5983728975,0.454347355849561,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",51,8674.27327389536,5103.19045665019,9264.38432652397,9936.91225101469,1627.65587626429,-1232.42077644148,0.30832629372976,39,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",9,4010.2047429828,3103.62275389138,3444.686672532,1598.26258804227,-1084.70562711818,-1084.70562711818,0.3125,6,9,4010.2047429828,3103.62275389138,3444.686672532,1598.26258804227,-1084.70562711818,-1084.70562711818,0.3125,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Ghana","Ghana2013",8,88949.6253948344,28801.9155306215,98938.2264128586,186327.219084402,86655.3146593587,80743.0407323882,2.125,-6,8,88949.6253948344,28801.9155306215,98938.2264128586,186327.219084402,86655.3146593587,80743.0407323882,2.125,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",8,3058.05142059971,2887.64505480569,1769.9807855056,2764.99582672482,4778.05233233125,4950.12144793133,0.966045535135772,-6,8,3058.05142059971,2887.64505480569,1769.9807855056,2764.99582672482,4778.05233233125,4950.12144793133,0.966045535135772,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",447,9612.08028877143,6212.40585137389,10050.3189254011,9190.70049232334,1560.78328210667,1653.68995227992,0.857142857142857,-220,447,9612.08028877143,6212.40585137389,10050.3189254011,9190.70049232334,1560.78328210667,1653.68995227992,0.857142857142857,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",6,2037.87831410352,1679.73441126351,2097.89023193592,1813.58926138137,442.647291358136,273.491982237303,1.11246531581214,7,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
