"countryOnly","country","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",77,21970.7197286984,18442.2447065555,14152.6846528981,14675.5881938636,4794.14613468851,6175.75758916056,1.2776273882744,7,58685.5204891664,28294.0799890854,77337.7636794925,152210.881946944,19644.889670857,18674.1162223089,1.89764433450912,34,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",5,2677.27613488687,2438.86506047945,1134.35221672032,1653.08713118331,-68.6105194042053,74.5549161557523,1.05118321931184,NA,NA,NA,NA,NA,NA,NA,NA,4,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",25,1398.80267730104,968.059329996439,1089.01228575465,1256.65853532904,-89.9030287935894,-145.358760522203,1.80376298242174,1,1022.0883484155,1022.0883484155,Inf,0,0,0,NA,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",80,35982.1718668635,31169.9056197652,31784.5468120962,33150.4230255087,9832.06136632671,516.858678047725,0.627206954140236,49,36961.3357039753,22150.4416468066,38844.8943209431,38293.5420989734,-11862.8613924894,-22205.5328985077,0.995697804200541,32,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",9,10863.3636508368,11375.4143320021,7034.05535319383,8724.26994034631,925.21127910794,83.216571135522,1.22940499181189,NA,NA,NA,NA,NA,NA,NA,NA,5,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",16,26760.184976441,24652.9843736719,12351.1081646251,22407.0663564551,11071.9288611079,13184.259783207,1,NA,NA,NA,NA,NA,NA,NA,NA,5,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",110,21522.0299753924,13576.911435453,22709.1939629596,19723.396787632,5013.0670724354,1276.5708777531,1.1618446597282,2,38902.2210075278,38902.2210075278,5804.95055614612,8209.43980540708,682.77623830822,746.312709582462,1.13631804710775,41,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",18,20190.2183472305,11422.8184587556,15934.5627232203,14159.5813349378,3873.22341245327,-1322.3891657626,0.676824994209287,1,42148.7684082428,42148.7684082428,NA,0,0,0,1,5,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",10,24508.4573692613,24796.4264647802,10525.1142197355,11646.8520253723,1249.04493143657,1842.5304691689,0.75334180828851,3,21518.5637136411,16789.477906911,12738.9374451542,24145.7035535335,-7430.74984826416,-7871.4245706879,0.174388685194127,6,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",4,37635.1223622677,41005.77209115,10034.5044062476,18261.8597884052,-7604.86032474123,-5769.49704299149,0.325595409291565,1,9917.43905164015,9917.43905164015,NA,0,0,0,1,3,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",9,35371.8440104613,26663.3802679362,21547.4579332056,41494.2338627145,6877.20749776962,7596.2372794522,1.93868759313866,1,52359.9825001357,52359.9825001357,NA,0,0,0,1,4,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",8,33554.7919436805,29224.28701852,13149.8602304664,22756.0562707027,-4479.5824475363,-2518.85635368536,0.740043551504787,2,52601.9347353674,52601.9347353674,37944.2458109857,53661.2670399145,-14216.2728433861,-22087.0961020643,0.723751283553569,10,"2013","Europe and Central Asia","Czech Republic","High income"
"Egypt","Egypt2013",18,4012.85661461578,3265.80785106956,2399.73892154009,0,-1177.92536675823,-317.258552752899,0.061864074994481,1,62211.5231118353,62211.5231118353,NA,0,0,0,1,32,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",1,3135.840291129,3135.840291129,NA,0,0,0,1,4,11425.6869544158,3350.62387271318,17637.671863513,9895.15506194192,-6773.66766109959,-6773.66766109959,0.522222222222222,4,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"India","India2014",493,7769.39360684807,5980.22518026712,6356.37347182275,6163.38936811235,413.146079568039,1887.81446784116,1,2,17885.866804098,17885.866804098,21784.3150406107,30807.6737774398,-1531.94837335156,-1711.53743207999,0.927799502304597,225,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",2,439.117067087969,439.117067087969,552.752714360113,0,473.528529212555,354.326669966362,3.12936004074411,1,8863.17799680472,8863.17799680472,NA,0,0,0,1,6,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",2,7441.8278596217,7441.8278596217,6668.99263421454,0,1133.55865055986,2357.84495766812,1,NA,NA,NA,NA,NA,NA,NA,NA,4,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",7,63266.8592394055,69637.3470350267,23208.0388372166,30967.8623964818,7643.70007089926,30219.4269743876,0.850221787812614,1,850107.025311182,850107.025311182,NA,0,0,0,1,1,"2013","Middle East and North Africa","Israel","High income"
"Jordan","Jordan2013",7,73482.7620870162,46506.7277982966,68081.2844389835,135612.516426624,-33750.7216148314,-18375.6663802172,0.731531646181356,2,29610.3695072396,29610.3695072396,21042.9076100588,29759.1653339091,4959.86088898485,4959.86088898485,1,0,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",6,10229.9044599751,7045.51137567998,7052.35443360248,14146.7394204566,-815.070652653778,-748.479483195521,0.78477910950192,1,7472.86890353638,7472.86890353638,NA,0,0,0,1,16,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",16,22273.0206655364,16872.2905228112,24746.247347722,22409.6825374506,20653.6184874385,25041.6327156444,1.68337607356141,1,48453.7573988426,48453.7573988426,NA,-7.27595761418343e-12,0,0,1,4,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",7,22661.0816995922,19179.8814791917,15567.5736043662,12233.9867663151,10068.3049779998,15847.0964844323,2.72559645900782,NA,NA,NA,NA,NA,NA,NA,NA,2,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",85,19919.6346131786,15225.6310238476,16162.9719832603,19476.8555090382,432.556970317099,472.6200370225,1.07913707337504,13,52803.4671543684,48892.8210940292,31195.9270797753,51040.6864259563,7547.35290969965,10410.0729000366,0.198281429350234,12,"2010","Latin America and Caribbean","Mexico","Upper middle income"
