"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Foreign Ownership","mean_Foreign Ownership","median_Foreign Ownership","sd_Foreign Ownership","iqr_Foreign Ownership","OPcov_Foreign Ownership","OPcovNoWeights_Foreign Ownership","indAlloc_Foreign Ownership","N_Local Ownership","mean_Local Ownership","median_Local Ownership","sd_Local Ownership","iqr_Local Ownership","OPcov_Local Ownership","OPcovNoWeights_Local Ownership","indAlloc_Local Ownership","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,0,53,0.516353668925568,0.479732491370185,0.678654453549,1.00774734700027,0.242385509923833,0.146409991491592,3.29167675477583,7,0.998915319451722,0.851082410827445,0.4447700404612,0.804371984558594,-0.00716036322577314,-0.168786428089505,0.413121841377355,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,3,106,-1.63257510496688,-1.79730308550769,0.86860623912785,0.995713836674767,-0.000869173310102994,0.00174236078352593,7.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,30,75,2.24471013542231,2.26802306673241,0.995707928300472,1.05600597640198,0.274263857670216,0.170066652979553,1.23684136841868,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,49,-3.70362691615325,-3.82601789173622,0.748620990669407,1.31038806553762,0.536109879460793,0.487192552055385,1.2577330021135,13,-3.88383579923807,-4.16524491251282,0.693432861383929,0.430424825324037,0.0544459043541403,-0.0532506371295915,1.4404098910113,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,3,93,1.06908589897027,1.02792996211786,0.745587405423496,0.86596977984015,0.227621100552516,0.3155574970111,1.35835172357374,2,1.23917536728377,1.23917536728377,0.0782104884841837,0.110606333534157,-0.00764575883032086,-0.00762802300235568,0.86440525591723,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,11,65,-4.11090528313671,-3.97992140442445,0.543917911957739,0,0.133354846906263,0.470782428860263,30.1111845408561,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,6,97,1.37080479739904,1.27504325424577,1.35355915271018,1.5674243113559,0.15735818451497,0.539950381594736,1.09983959572656,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,176,-1.1175065479363,-1.12752022301059,0.953031150197211,1.15738413146629,-0.0253757330371192,0.0954956579895098,1.2,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,3,50,-6.27310439106973,-6.2747592452517,0.709227557707683,0.566292262349279,0.427861366004244,0.366837035105634,0.404022112890679,5,-5.59671037645055,-5.41031416538517,0.678576162768098,1.12901285118154,0.184421796788031,-0.123561141565744,1.49388110374447,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,0,34,-3.86031284659078,-3.9062471880015,0.41911709358427,0.580242733193765,-0.0644679592091828,-0.0695154036611049,0.554929256439722,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
