"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",NA,NA,NA,NA,NA,NA,NA,NA,1,372,1.90432612860794,1.82353053283888,0.731866151954583,0.866904649248753,0.210831440116613,0.260732413791711,2.77777777777778,40,1.86415460362251,1.8691524050081,0.550175617620185,0.610260286583067,0.34202993673411,0.493900671600405,0.613852176311306,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",NA,NA,NA,NA,NA,NA,NA,NA,0,14,1.96987462759489,1.92089381166219,0.238153696182586,0.393548971478202,0.00883710154401322,0.0109667444196025,0.571428571428571,2,2.98479357926348,2.98479357926348,0.462866471788147,0.654592041970581,-0.199031364112677,-0.182676848922023,0.552238805970149,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,2,1016,2.0878861017407,2.23919537338733,1.20204677750654,1.81164786224305,0.60010750681972,0.358295755197516,1.66666666666667,13,3.57033376743718,3.28438998053971,0.926797994428628,0.634588820125647,0.293247951339639,0.438413691435982,0.649901580975789,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,1,24,2.36509787905787,2.37741279110443,0.247985823981235,0.317891157316183,0.222062376056828,0.228742860429485,1.15648422686708,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",NA,NA,NA,NA,NA,NA,NA,NA,0,16,2.2048131939422,2.22327501073069,0.495309124762882,0.319212220628724,0.00690234112177283,0.00267880419299804,1.44007807412301,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",NA,NA,NA,NA,NA,NA,NA,NA,0,14,2.73472832769424,2.54912795095346,0.735701989439596,1.14869473399819,-0.132849924060234,0.0945979782711671,1,2,1.92763883337416,1.92763883337416,0.265195395985162,0.37504292568112,0.104604527775384,0.114596449513675,2.77142419879118,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,23,660,2.04468542309586,2.17420303253794,0.817251037039571,0.78438024266145,0.509837503320275,0.552961271134171,0.75,339,2.30548842570438,2.38341094187383,1.38206906328322,1.32499249662059,-0.0885280689177254,0.0279125103075991,0.914448019912541,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burundi","Burundi2014",NA,NA,NA,NA,NA,NA,NA,NA,1,14,2.56603282361639,2.42480248096752,0.554985659008965,1.17616798106781,0.0719424952331384,0.069790004391173,1.25357559207859,NA,NA,NA,NA,NA,NA,NA,NA,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",NA,NA,NA,NA,NA,NA,NA,NA,0,15,4.03027044324311,3.62873111051767,1.43560724791806,2.30293337282592,-0.292480738011501,-0.390602368771913,0.958800337112235,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,1,515,2.40288734699908,2.38658525045285,0.924064373321165,1.3536932972456,0.452266044527421,0.403145430489373,1.16887310366398,39,2.08631372900695,1.70701698184578,0.822507479486245,1.07730173011488,0.460954124208324,0.249642318808857,2.77915112942315,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",NA,NA,NA,NA,NA,NA,NA,NA,1,1147,1.80345579919879,1.68867194323766,1.28675522276974,1.82735525025795,0.156354466615003,-0.0867438554957694,1,40,2.60841731032727,2.9397415649848,1.14166117923729,1.37222040663008,-0.0868899841532416,0.0130124912952251,0.567293062435891,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",NA,NA,NA,NA,NA,NA,NA,NA,25,469,2.5703314525456,2.74383861031503,0.90992557764058,0.960269641043378,0.350573675472132,0.555269228841413,2.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",NA,NA,NA,NA,NA,NA,NA,NA,1,79,2.23690038673378,2.38024232779904,0.619786931890421,0.848947277196148,0.295627447116166,0.18092322462184,2.12409122598077,29,2.28886214520823,2.44620451697128,0.863513557701474,1.12697668872898,0.705523743879094,0.651242928326678,0.239201967761487,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",NA,NA,NA,NA,NA,NA,NA,NA,0,17,3.25674725025583,2.98305819615114,0.660161934343049,1.16889677848888,0.0595467512428129,0.0763888474969397,3.20602801344956,9,2.83687565458784,2.82792516406413,0.443146357803379,0.686179533173256,-0.0430364826262067,-0.173757751374849,2,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",NA,NA,NA,NA,NA,NA,NA,NA,1,17,2.36294093794751,2.36679679241037,0.492005382999278,0.701392785262385,0.496910516424347,0.503884829126633,1.99654375696842,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",NA,NA,NA,NA,NA,NA,NA,NA,7,7,2.50581012330691,2.49441373072491,0.0961824159381573,0.0488214843102615,0.0908061085189163,0.0800258661447791,0.257556687278117,3,2.09574033688416,2.17240793318092,0.163092434736075,0.273791421592172,-0.0352254005295058,-0.0258870016783909,0.883720930232558,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,0,78,3.20576930895066,2.31401342736928,2.4180151910459,3.99469753193351,-0.648865817574981,-0.650413465360992,1.32064892667208,11,1.85398775002499,1.99169599204345,1.63113129910094,2.9138985461753,1.36193411766361,1.41138719138526,0.0510630792378795,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",NA,NA,NA,NA,NA,NA,NA,NA,2,20,3.42200935267931,3.05368612103941,1.01778645165348,1.80199329771057,-0.443532894579151,0.317320785537773,1.71753694905567,2,2.32870341887356,2.32870341887356,0.00623112319517634,0,0.00128846649174091,0.00157359623775642,1.22427869111288,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,9,1310,2.09364795466259,2.0858803617603,0.991461650963944,1.17908472435682,0.071907499774199,0.0102438152591153,0.997039030808159,58,2.65178375150305,2.70198257315592,1.04233424635767,1.35416817243417,-0.0132232390916678,-0.0302104850370636,0.781728520415542,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",NA,NA,NA,NA,NA,NA,NA,NA,0,24,2.14367614617505,2.08151219366175,0.478210328744824,0.692578456481211,0.383790475376802,0.246054462567759,0.994387822718413,2,2.77274078101137,2.77274078101137,0.350904765552577,0.496254278545806,0.0705657124184354,0.0980967759916127,1.91951776843721,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Fyrom","Fyrom2013",NA,NA,NA,NA,NA,NA,NA,NA,1,19,2.49815378445577,2.58305174166235,0.400558669828071,0.488874512919464,0.054029453487586,0.141010881875937,1.58164542375987,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Georgia","Georgia2013",NA,NA,NA,NA,NA,NA,NA,NA,0,15,2.00215295019889,2.1568961820174,0.399948612688603,0.389370665085458,0.219966152293922,0.32971123745879,3.78459220023463,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,1,147,2.27099649572264,2.01110968566668,1.19584006664935,1.47241867354455,0.96165973571521,0.617285207598779,1.22802991178405,21,2.70389729571074,2.69482606940455,1.53452901883158,2.12076894997717,0.886341459188421,1.00831589536406,1.75928085925518,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",NA,NA,NA,NA,NA,NA,NA,NA,0,115,2.07061200841687,2.14050658316053,0.719339404233042,0.919177250636297,0.393708880306618,0.473480353929311,0.369526360352295,9,2.12417620681158,2.1925894802873,0.797244779009045,0.701280442257296,0.492375765747896,0.449343693388379,10,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
