"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Foreign","mean_Foreign","median_Foreign","sd_Foreign","iqr_Foreign","OPcov_Foreign","OPcovNoWeights_Foreign","indAlloc_Foreign","N_Domestic","mean_Domestic","median_Domestic","sd_Domestic","iqr_Domestic","OPcov_Domestic","OPcovNoWeights_Domestic","indAlloc_Domestic","yearOnly","region","countryDes","incomeLevel"
"Bangladesh","Bangladesh2013",NA,NA,NA,NA,NA,NA,NA,NA,2,86,2.73472709149823,2.57660917331759,0.832869217003572,0.95909810238532,0.656653290157382,0.655773666270182,0.754936595755873,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,3,90,2.32361015988013,2.18940594159439,0.683171178418285,0.736247469092744,0.528912987692218,0.579168092881017,1.20690763839327,46,2.43940242910917,2.30595233992439,0.66790948164154,0.679975888602064,0.347641017653885,0.388875907757639,2.07327616030063,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Drc","Drc2013",NA,NA,NA,NA,NA,NA,NA,NA,1,30,0.411158643569107,0.354761189563517,0.86934240111169,0.742644222792297,-0.0057451313980863,-0.00396354096200799,0.508332557765248,3,0.333838122082191,0.177856811848817,0.897077062607,0.448933309954667,0.970680899997898,0.779983235172988,1.36073843488991,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",NA,NA,NA,NA,NA,NA,NA,NA,3,101,2.48675690773604,2.42186218694222,0.887768531289821,1.16446351412385,-0.0211586665078004,-0.24183452264949,2.39931581318716,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ghana","Ghana2013",NA,NA,NA,NA,NA,NA,NA,NA,0,15,2.86805031267178,2.84828903618418,1.14025277822785,1.68500657118647,0.88002919703991,0.992721843814948,1.59289730891729,2,1.5622325530917,1.5622325530917,0.12290259726124,0.173810519897724,0.0144764404999504,0.0153362223439169,1.14265322034105,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"India","India2014",NA,NA,NA,NA,NA,NA,NA,NA,0,38,3.01534223088355,2.67819349179205,0.858240692454826,1.02205397058368,0.482442146039308,0.357348594042473,0.730816666845276,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,2,16,2.28692929833566,2.23206530237543,0.731784734433886,0.848325450954967,0.657476965367383,0.469444793096197,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",NA,NA,NA,NA,NA,NA,NA,NA,0,22,3.13780619448518,2.95163640146285,0.687453142349368,0.890792355918578,0.0148930954495987,0.0102023641310179,1,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Mexico","Mexico2010",NA,NA,NA,NA,NA,NA,NA,NA,6,104,2.47345890003344,2.19879332710254,0.56571186036802,0.50268174701559,0.419114726287169,0.327314692334247,0.66245638439944,2,3.02910793053053,3.02910793053053,0.926995201478519,1.3109691861857,0.441580877876816,0.613195264506215,19.7096774193548,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Nepal","Nepal2013",NA,NA,NA,NA,NA,NA,NA,NA,0,26,0.464989642825858,0.538143972425672,0.599001046946848,0.694259225956664,0.193066469711444,0.195887936852273,1.04938094005221,NA,NA,NA,NA,NA,NA,NA,NA,"2013","South Asia","Nepal","Low income"
