"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",2,1561.96047757279,1561.96047757279,1843.62005771731,2607.27248948688,-541.801787601013,-532.471142219152,0.696190476190476,3,871.988047469274,1068.04260220968,864.526606709487,1259.71160679232,-97.5466252470979,-60.5816641810791,0.848582342607346,1,4613.9416084559,4613.9416084559,NA,0,0,0,1,7,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",2,2591.2064596533,2591.2064596533,1355.25153199814,1916.61509697869,29.6383777883302,29.6383777883302,1.03191489361702,2,21311.2965288092,21311.2965288093,15828.1062842524,22384.3225738725,-10333.7729202418,-9925.12416011328,0.507917451429392,2,24215.7671480984,24215.7671480984,31532.8766753807,44594.2218549616,-2138.07913003241,-2138.07913003241,0.9125,0,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",9,24618.2290088487,22461.1681388107,12809.7314776573,12306.1808459019,-629.899988588845,150.316491410235,0.729605230134602,11,31806.4532377461,33765.0579032993,16754.6161687161,23093.0680097235,-2460.74467437425,-2548.12697630252,1.82064366093531,24,53481.5356588245,46345.4446817771,21802.6399486252,32355.3127039568,438.149420878156,-2030.11862505075,1.13371582980261,17,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",40,3590.5080522478,2378.34999555137,2776.91870682413,3907.49685149107,-301.302209979938,-283.78974372692,1.0315363173566,75,7277.16945849196,6903.07331434555,5485.34496026053,5392.51157849086,315.841842296391,451.170872516352,1.0430888009404,28,5608.45901321512,4293.38931875162,3106.11279712088,3077.8796855694,61.2295967165608,578.552360375523,1.08160838187724,19,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",1,7483.45577770901,7483.45577770901,NA,0,0,0,1,1,14268.4556828319,14268.4556828319,Inf,0,2.40359988099338e-28,0,1,1,42562.15473572,42562.15473572,NA,0,0,0,1,2,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bolivia","Bolivia2010",2,16649.1596885264,16649.1596885264,6688.30345737703,9458.68945868946,3224.2219870839,4278.93094559761,12.9829054104767,3,30418.5323338738,29519.5583216226,9800.19697830365,18937.4895257248,226.24228471486,38.2219164468911,0.885092453550505,8,18274.6472362316,9546.511682883,17873.4798155166,26929.8602631936,-2454.38192101188,-6270.36966615084,21.147752568721,1,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",1,14974.2551010344,14974.2551010344,Inf,0,-3.1343423585684e-28,0,1,1,2650.13534875046,2650.13534875046,NA,0,0,0,1,9,16524.1648786579,13241.6189622024,15937.2136952828,18941.5763330405,1201.30072856772,360.168273627267,3.85820794307474,0,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",36,26007.1501599951,20689.8031986426,20960.5804870009,18184.4000571307,22280.2592489872,29331.4263593582,0.879843057795806,1,835.414579481305,835.414579481305,Inf,0,0,0,1,23,70341.6573614702,58506.1652281322,58683.5191135144,60384.352060754,-15679.0801167146,-28129.4516398378,0.145305458891004,108,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",1,17204.8051411924,17204.8051411924,NA,0,0,0,1,1,10322.8830847154,10322.8830847154,NA,0,0,0,1,5,28110.2604950614,25074.4934560629,18396.7601589224,27830.1902943244,-1153.33958165815,1305.70978006412,0.505431239171837,3,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",19,35744.5373784219,30506.4601041926,23792.4169835765,20782.2802505447,-3336.57318010489,-3099.14504367189,0.442746718411165,3,69800.9506232948,71469.1102017675,42167.2987996521,46602.6656175218,12000.5468326081,16410.7733597464,3.02101721521756,38,54888.6376306553,39301.0913202203,39594.0611322977,50588.4199137572,-872.294938812073,-3512.48993554247,1.51416395917234,10,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",1,29959.5900571625,29959.5900571625,NA,0,0,0,1,136,41882.258105343,29959.5900571625,31794.9069152354,40206.2074687016,-5303.4347565171,-4918.33834643743,2.4,12,131449.637140582,103181.640716162,133094.817097499,189327.964944568,117618.037293864,85433.0339428158,0.625388171058581,6,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,148267.867381547,148267.867381547,NA,0,0,0,1,18,16580.3071753365,9867.66805745519,16856.3078295172,21548.851757338,-28.7082849986718,-157.736786255887,2.37810764133399,22,43042.0578329643,46647.9720417196,28724.4500065736,50540.0406238656,25902.3413046122,16172.7452661954,6.02118724550836,17,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",1,12559.13353043,12559.13353043,NA,0,0,0,1,1,15792.0580056411,15792.0580056411,NA,0,0,0,1,5,16571.7487610306,17207.5070803031,4336.74978755606,4103.75196498698,237.036395476481,419.765294837443,9.22197507400847,4,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,48135.6880475926,49577.0085847471,9509.57707111639,20137.9161322861,-2023.16022453791,-1421.99945008353,1.27002193414438,0,"2013","Europe and Central Asia","Croatia","High income"
