"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",11,47889.3054275297,26639.1384556987,47884.839515161,15481.3960775443,75295.9212297255,61141.1220944888,0.582095108748264,11,47889.3054275297,26639.1384556987,47884.839515161,15481.3960775443,75295.9212297255,61141.1220944888,0.582095108748264,11,47889.3054275297,26639.1384556987,47884.839515161,15481.3960775443,75295.9212297255,61141.1220944888,0.582095108748264,-20,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",23,3280.94312726522,3299.32768966373,1797.6012394614,1493.31089865901,-936.460061691874,-1326.93781725172,2.66473753473673,23,3280.94312726522,3299.32768966373,1797.6012394614,1493.31089865901,-936.460061691874,-1326.93781725172,2.66473753473673,23,3280.94312726522,3299.32768966373,1797.6012394614,1493.31089865901,-936.460061691874,-1326.93781725172,2.66473753473673,-40,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",7,57629.3125107133,35457.934420845,61916.898246008,108691.833709357,2516.74845328353,60208.1580691675,0.267633794806737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,4,144117.567313371,84699.3913969372,168211.461032615,14162.4811738614,131916.71823352,116419.140011956,0.980620205830444,4,144117.567313371,84699.3913969372,168211.461032615,14162.4811738614,131916.71823352,116419.140011956,0.980620205830444,-1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",17,43352.5553716065,36123.3819006541,26367.4570239989,46667.822973657,2268.94362596334,8844.60134912585,0.842625016343609,NA,NA,NA,NA,NA,NA,NA,NA,17,43352.5553716065,36123.3819006541,26367.4570239989,46667.822973657,2268.94362596334,8844.60134912585,0.842625016343609,-17,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",65,42428.7383724884,22325.5598117888,41437.2672262321,68085.2633808926,4859.88210240484,8579.26947349813,2.98720060811041,65,42428.7383724884,22325.5598117888,41437.2672262321,68085.2633808926,4859.88210240484,8579.26947349813,2.98720060811041,65,42428.7383724884,22325.5598117888,41437.2672262321,68085.2633808926,4859.88210240484,8579.26947349813,2.98720060811041,-119,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",6,14083.2800501998,10871.2718454357,16201.3270124371,0,10217.1803665344,5499.17378904321,0.199402402585523,6,14083.2800501998,10871.2718454357,16201.3270124371,0,10217.1803665344,5499.17378904321,0.199402402585523,6,14083.2800501998,10871.2718454357,16201.3270124371,0,10217.1803665344,5499.17378904321,0.199402402585523,-11,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Guatemala","Guatemala2010",3,32029.7810886561,52506.6098937555,38858.5051242232,60081.2763784354,15904.0596420463,14349.29202424,1.63945910273735,3,32029.7810886561,52506.6098937555,38858.5051242232,60081.2763784354,15904.0596420463,14349.29202424,1.63945910273735,NA,NA,NA,NA,NA,NA,NA,NA,2,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",6,13583.9875083403,4395.67962800399,19666.658551659,30087.1786865378,14862.6951656452,11638.5107160274,2.85158074166304,6,13583.9875083403,4395.67962800399,19666.658551659,30087.1786865378,14862.6951656452,11638.5107160274,2.85158074166304,6,13583.9875083403,4395.67962800399,19666.658551659,30087.1786865378,14862.6951656452,11638.5107160274,2.85158074166304,-12,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",163,16795.9986227639,13012.2833417543,12886.982991761,15277.4603158282,258.022537770661,-38.721429165129,0.581044814164885,163,16795.9986227639,13012.2833417543,12886.982991761,15277.4603158282,258.022537770661,-38.721429165129,0.581044814164885,163,16795.9986227639,13012.2833417543,12886.982991761,15277.4603158282,258.022537770661,-38.721429165129,0.581044814164885,-314,"2014","South Asia","India","Lower middle income"
