"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",25,79065.87849438,63708.0405391721,48031.3945939459,35937.8690220971,22042.986992068,15379.8174520409,1.17179587367056,5,83217.7524177523,70886.3698330367,60642.8078948139,44922.3362776213,1635.57102865708,-17643.3615649919,0.719223683880419,1,47917.1586961294,47917.1586961294,NA,0,0,0,1,21,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",NA,NA,NA,NA,NA,NA,NA,NA,4,6266.14188439113,6229.81870194507,626.327093964291,245.138747783188,248.227910750462,384.583615181594,3.12300595683908,NA,NA,NA,NA,NA,NA,NA,NA,4,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",8,20098.9996473335,4603.30144477792,25594.2759316353,34558.6491011301,-14848.3424024581,-11271.2249652198,0.100976782434049,16,3588.14169255859,2123.8164614861,3807.09020040813,1643.91832262633,524.845724253327,312.757745588344,0.743765312620038,10,20729.6072326544,15995.9858231469,17415.2363667613,37166.8490332909,-1612.5682632266,-1830.00602568751,1.33333333333333,7,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",3,42825.6966632413,43394.5840077016,13152.0124788647,14984.3729522327,-11490.4007268216,-22512.7550007127,0.56848363856093,1,87556.4325991955,87556.4325991955,NA,0,0,0,1,2,31909.5546347833,31909.5546347833,11791.0338838442,16675.0400329332,-4657.52339726869,-5485.21053714908,0.68219574584022,4,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",5,151280.630859456,140422.438284724,72108.0148743142,54463.3632157337,23620.8976721393,25478.880380857,1,4,46462.8194902661,51673.7963139191,15053.8682144972,26436.8310001273,1150.48492955782,325.023235685674,0.988497162857444,1,85994.7840248427,85994.7840248427,NA,0,0,0,NA,0,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",1,8784.42545109212,8784.42545109212,NA,0,0,0,1,3,87860.1478400796,87723.7762383053,60042.7504665141,83001.4548099654,29891.4310976692,18131.6180240957,3.67031200068984,NA,NA,NA,NA,NA,NA,NA,NA,6,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Brazil","Brazil2009",2,36157.0896555167,36157.0896555167,33317.1679906612,47117.5908322558,-24829.9231868875,-19445.3549466452,0.322313013287597,26,67108.8957258528,88362.8219590528,42231.7031288174,54345.9168546786,-3555.38614965825,4379.65188102094,1.72338812381428,4,38845.1020188755,35300.2730917898,39378.9896677489,34463.1537644354,2307.84158076532,-6387.89755388638,3.53124211981772,5,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",1,61306.4556531156,61306.4556531156,NA,0,0,0,1,1,84112.3806902739,84112.3806902739,NA,0,0,0,1,1,58343.4058787991,58343.4058787991,Inf,0,0,0,1,4,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",3,64346.9333725574,68193.9826770916,39469.9757962344,33343.6221684393,-12035.9066683387,218.949278844885,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,67464.9558760263,67464.9558760263,93256.5893965778,131884.733505299,46344.9516624992,44763.796408733,2.99848128081727,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",2,436613.867637272,436613.867637272,531283.199751898,751347.906550108,-131944.022613677,-131944.022613678,0.740072202166065,1,15399.6232714628,15399.6232714628,NA,0,0,0,1,1,3635.7690445643,3635.7690445643,NA,0,0,0,1,1,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",37,103552.474072203,94272.7772882846,69318.0876245845,74290.6865866364,33952.3646288283,26787.2650896216,6.55147076661973,9,73048.9661282627,58445.9665579105,50544.7916651648,51888.4795478179,38060.1218517092,44143.3642918913,0.875947196544222,28,42016.397559575,40150.8611783585,24136.6844184642,25358.5588798283,2011.46636092706,2526.33676620406,0.443651959841281,11,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",6,132303.810664857,120466.96608506,101680.172506728,144999.794138508,-86886.7276280609,-32367.624633195,0.0763513368071525,130,43805.3173292539,34170.9170794475,29199.7435266853,42659.8510596553,-1843.94492300575,1096.51785570923,0.752453237833967,8,19087.8527746589,19514.4448184907,9914.99234321248,13262.1869519958,-3524.80609462497,-5706.15939355182,0.288071499469782,2,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",29,82958.3036299976,75082.9654093628,59287.1124214971,73091.2813547423,10911.1296519795,7607.867013297,1.25727422158173,9,43642.3528059571,37452.3468402403,31916.167559568,30156.5960474309,10975.5634705291,8375.98475749647,0.585370989677741,16,29326.8826183612,21682.5187489455,16686.4540357634,20295.7484062615,343.191601757506,304.567239040628,0.82712450136376,2,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",12,34963.2730767726,37002.1529746556,21786.4575150823,20350.4478502337,5257.97215677422,6475.39211937122,1.00932124007082,1,3488.64820289721,3488.64820289721,NA,0,0,0,1,2,69565.3064268194,69565.3064268194,42582.4745487164,60220.7130262018,7527.58912827523,7527.58912827523,1.33333333333333,2,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",1,15878.0644438683,15878.0644438683,NA,0,0,0,1,4,16823.3818930356,18663.1321426555,12501.5983619746,14712.470167648,9669.97731264084,11053.141234898,NA,2,44441.8888826981,44441.8888826981,17370.1287104004,24565.0716024145,5761.85567785116,7402.05799940303,2.9585870482842,5,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",3,126935.026467144,120292.654910729,50335.672019138,37121.8599234275,5099.0928811187,15484.7808393121,0.421883664238681,NA,NA,NA,NA,NA,NA,NA,NA,5,54848.4799237604,59846.3145555625,17030.5183615396,18524.2482819475,5106.5894165235,5033.34103069914,1.56470640982165,0,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",5,91998.2720569572,81404.4384293422,46965.9712724534,76318.3585865871,-23828.1242225642,-14326.3400267736,0.237760411998943,1,33996.3597340252,33996.3597340252,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominicanrepublic","Dominicanrepublic2010",2,31053.6346868929,31053.6346868929,3765.92780670562,0,2261.21046234319,2351.6635076815,1,1,28645.3592548066,28645.3592548066,Inf,0,0,0,NA,1,36920.0699272519,36920.0699272519,NA,0,0,0,1,1,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Ecuador","Ecuador2010",7,70330.8478974952,69383.0219988342,24508.9864074607,30339.6226415094,18820.1943405989,21185.9818053145,1.69121900825359,NA,NA,NA,NA,NA,NA,NA,NA,1,137500,137500,NA,0,0,0,1,2,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
