"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",5,9763.76733148356,8410.12063997821,3073.98054066624,5844.32603737748,-446.237518709905,-1155.0793875436,0.981664649481233,5,9763.76733148356,8410.12063997821,3073.98054066624,5844.32603737748,-446.237518709905,-1155.0793875436,0.981664649481233,4,NA,NA,NA,NA,NA,NA,NA,NA,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",5,48634.5153948657,38442.219315641,38245.4045256979,70606.5489187293,-4007.6518377743,-1674.71659723912,0.8471163401501,5,48634.5153948657,38442.219315641,38245.4045256979,70606.5489187293,-4007.6518377743,-1674.71659723912,0.8471163401501,-4,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",7,160414.589788821,101901.696697084,192108.295512871,110173.006293394,-12145.299162279,-25244.6259697654,1.20717852506012,7,160414.589788821,101901.696697084,192108.295512871,110173.006293394,-12145.299162279,-25244.6259697654,1.20717852506012,-5,7,160414.589788821,101901.696697084,192108.295512871,110173.006293394,-12145.299162279,-25244.6259697654,1.20717852506012,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",NA,NA,NA,NA,NA,NA,NA,NA,5,14153.0078905265,13380.2329622045,7641.49272605096,5526.79763612961,2363.93534994252,2403.70148612275,1.71646687616402,1,5,14153.0078905265,13380.2329622045,7641.49272605096,5526.79763612961,2363.93534994252,2403.70148612275,1.71646687616402,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",NA,NA,NA,NA,NA,NA,NA,NA,15,25556.2818653429,10933.8141159218,29259.6259201498,29112.7798278762,-2836.11977574694,464.559251929398,0.707540725374969,-11,15,25556.2818653429,10933.8141159218,29259.6259201498,29112.7798278762,-2836.11977574694,464.559251929398,0.707540725374969,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",40,5632.0784453291,4534.83664311237,3423.62667856798,4669.4310836263,2079.96134715471,1323.96327854936,1.84568650581776,40,5632.0784453291,4534.83664311237,3423.62667856798,4669.4310836263,2079.96134715471,1323.96327854936,1.84568650581776,-76,40,5632.0784453291,4534.83664311237,3423.62667856798,4669.4310836263,2079.96134715471,1323.96327854936,1.84568650581776,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",5,469964.761781525,158053.076116713,532150.124894715,902045.454545455,-263816.197407326,-129704.329004329,0.94425416763834,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Barbados","High income"
"Bhutan","Bhutan2015",11,32039.8222667879,12193.6658248051,40702.1551258506,44217.7181820917,15249.4780850122,23155.6284264129,3.04208496383846,11,32039.8222667879,12193.6658248051,40702.1551258506,44217.7181820917,15249.4780850122,23155.6284264129,3.04208496383846,-20,11,32039.8222667879,12193.6658248051,40702.1551258506,44217.7181820917,15249.4780850122,23155.6284264129,3.04208496383846,"2015","South Asia","Bhutan","Lower middle income"
"Bolivia","Bolivia2010",4,15208.7975259734,11115.3922922514,88947.3109517089,0,535.941339787526,-1313.65542893321,1,4,15208.7975259734,11115.3922922514,88947.3109517089,0,535.941339787526,-1313.65542893321,1,7,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Brazil","Brazil2009",NA,NA,NA,NA,NA,NA,NA,NA,17,34813.1389790457,25901.5370235478,34862.7918448819,60295.1392147377,26714.4603073757,11911.5105634372,1,-16,17,34813.1389790457,25901.5370235478,34862.7918448819,60295.1392147377,26714.4603073757,11911.5105634372,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",7,52622.6458352851,47711.1741715379,43646.9327958959,70616.1668795163,1188.36579312385,6459.38659817273,0.258396863989065,7,52622.6458352851,47711.1741715379,43646.9327958959,70616.1668795163,1188.36579312385,6459.38659817273,0.258396863989065,-14,7,52622.6458352851,47711.1741715379,43646.9327958959,70616.1668795163,1188.36579312385,6459.38659817273,0.258396863989065,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",21,75759.9543103073,56146.5123549437,70935.6754922354,50479.0743144522,31936.7704088678,23102.0126899203,0.12423125424077,21,75759.9543103073,56146.5123549437,70935.6754922354,50479.0743144522,31936.7704088678,23102.0126899203,0.12423125424077,-34,21,75759.9543103073,56146.5123549437,70935.6754922354,50479.0743144522,31936.7704088678,23102.0126899203,0.12423125424077,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",137,49966.3366125675,28079.5185825348,80217.5781994447,29543.4846397019,-3484.12359126083,-6824.69101944122,2.02469579930531,137,49966.3366125675,28079.5185825348,80217.5781994447,29543.4846397019,-3484.12359126083,-6824.69101944122,2.02469579930531,-260,137,49966.3366125675,28079.5185825348,80217.5781994447,29543.4846397019,-3484.12359126083,-6824.69101944122,2.02469579930531,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",3,20163.6147866419,20632.7013439078,8256.69304751606,0,-1059.88623693765,-908.296123530618,0.508914761854468,3,20163.6147866419,20632.7013439078,8256.69304751606,0,-1059.88623693765,-908.296123530618,0.508914761854468,-4,3,20163.6147866419,20632.7013439078,8256.69304751606,0,-1059.88623693765,-908.296123530618,0.508914761854468,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",26,23293.7912974934,8951.2535208213,34839.3056346062,26455.5822053038,33019.3880598916,29174.0658507053,0.73316959857926,26,23293.7912974934,8951.2535208213,34839.3056346062,26455.5822053038,33019.3880598916,29174.0658507053,0.73316959857926,-48,26,23293.7912974934,8951.2535208213,34839.3056346062,26455.5822053038,33019.3880598916,29174.0658507053,0.73316959857926,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",11,91968.9254642692,84846.2581780771,51864.8276324625,65550.3558252196,13201.6805403405,25854.8606719965,0.966666666666667,11,91968.9254642692,84846.2581780771,51864.8276324625,65550.3558252196,13201.6805403405,25854.8606719965,0.966666666666667,-10,NA,NA,NA,NA,NA,NA,NA,NA,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",10,1049980.87381145,55177.4038765018,2152183.96539172,62442.2933890258,-365284.322656581,-230746.576102135,0.839082636413319,10,1049980.87381145,55177.4038765018,2152183.96539172,62442.2933890258,-365284.322656581,-230746.576102135,0.839082636413319,-19,10,1049980.87381145,55177.4038765018,2152183.96539172,62442.2933890258,-365284.322656581,-230746.576102135,0.839082636413319,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominicanrepublic","Dominicanrepublic2010",7,13067.7504967944,8009.53862753239,20133.3477400717,8658.25654667112,7090.35121224537,-942.150341216598,NA,7,13067.7504967944,8009.53862753239,20133.3477400717,8658.25654667112,7090.35121224537,-942.150341216598,NA,-10,7,13067.7504967944,8009.53862753239,20133.3477400717,8658.25654667112,7090.35121224537,-942.150341216598,NA,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",12,20592.4321958871,6905.59046409068,23797.4583465235,33813.3292278958,7740.62893897634,6041.40210527212,1.57175918845396,12,20592.4321958871,6905.59046409068,23797.4583465235,33813.3292278958,7740.62893897634,6041.40210527212,1.57175918845396,-22,12,20592.4321958871,6905.59046409068,23797.4583465235,33813.3292278958,7740.62893897634,6041.40210527212,1.57175918845396,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",3,12109.8910064173,11169.6813450624,30810.3806016874,0,7930.20480715726,36417.8549314281,1.52281911068767,3,12109.8910064173,11169.6813450624,30810.3806016874,0,7930.20480715726,36417.8549314281,1.52281911068767,-4,3,12109.8910064173,11169.6813450624,30810.3806016874,0,7930.20480715726,36417.8549314281,1.52281911068767,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",207,27315.1872359965,18704.6421284567,32717.1370978371,23550.1033861838,17532.0595719569,7158.45056311671,1.28986863221273,207,27315.1872359965,18704.6421284567,32717.1370978371,23550.1033861838,17532.0595719569,7158.45056311671,1.28986863221273,-376,207,27315.1872359965,18704.6421284567,32717.1370978371,23550.1033861838,17532.0595719569,7158.45056311671,1.28986863221273,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
