"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",6,78943.9015160505,55624.3192934585,49780.5681985094,88543.0342929066,23561.382987633,5497.77078341241,3.14877323835172,6,78943.9015160505,55624.3192934585,49780.5681985094,88543.0342929066,23561.382987633,5497.77078341241,3.14877323835172,-4,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",16,83182.7806928633,1986.18131490348,271172.766062979,4413.56332270329,56453.6650661703,35351.0103182873,1.48162388894225,16,83182.7806928633,1986.18131490348,271172.766062979,4413.56332270329,56453.6650661703,35351.0103182873,1.48162388894225,-25,16,83182.7806928633,1986.18131490348,271172.766062979,4413.56332270329,56453.6650661703,35351.0103182873,1.48162388894225,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",53,49890.7626609776,33616.6221146007,48401.3334020815,4836.6107233128,48026.3831499056,16668.8229865134,1.04050885272359,53,49890.7626609776,33616.6221146007,48401.3334020815,4836.6107233128,48026.3831499056,16668.8229865134,1.04050885272359,-52,53,49890.7626609776,33616.6221146007,48401.3334020815,4836.6107233128,48026.3831499056,16668.8229865134,1.04050885272359,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,4,63796.7944988056,65854.2903515021,17537.3788900036,10119.5770112998,7578.95807172675,14380.938847474,3.09338554412763,-3,4,63796.7944988056,65854.2903515021,17537.3788900036,10119.5770112998,7578.95807172675,14380.938847474,3.09338554412763,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",114,51448.2101469763,42688.6235887253,41775.2334150503,27064.3355558401,23433.3305147158,11977.3523649934,0.931803959684172,114,51448.2101469763,42688.6235887253,41775.2334150503,27064.3355558401,23433.3305147158,11977.3523649934,0.931803959684172,-215,114,51448.2101469763,42688.6235887253,41775.2334150503,27064.3355558401,23433.3305147158,11977.3523649934,0.931803959684172,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",6,44817.5272443492,33500.6520104016,35838.9671287343,18289.6217987106,15514.3759638103,9600.56214827917,1.16680483472958,6,44817.5272443492,33500.6520104016,35838.9671287343,18289.6217987106,15514.3759638103,9600.56214827917,1.16680483472958,-10,6,44817.5272443492,33500.6520104016,35838.9671287343,18289.6217987106,15514.3759638103,9600.56214827917,1.16680483472958,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Djibouti","Djibouti2013",7,1812935.77942032,368068.308140091,2548365.71535436,5272413.81208934,-1452824.10052808,-1357640.01530175,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,7,1812935.77942032,368068.308140091,2548365.71535436,5272413.81208934,-1452824.10052808,-1357640.01530175,NA,"2013","Middle East and North Africa","Djibouti","Lower middle income"
"Egypt","Egypt2013",13,41290.0825758133,19875.8594615813,37983.8006390183,47410.0765537646,-547.755747316556,685.644022992827,1.00427290975217,13,41290.0825758133,19875.8594615813,37983.8006390183,47410.0765537646,-547.755747316556,685.644022992827,1.00427290975217,-19,13,41290.0825758133,19875.8594615813,37983.8006390183,47410.0765537646,-547.755747316556,685.644022992827,1.00427290975217,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",518,28182.6809634234,19831.7943913798,26787.4711782704,27331.93481752,1672.57803250066,4165.87464367585,0.762543158245821,518,28182.6809634234,19831.7943913798,26787.4711782704,27331.93481752,1672.57803250066,4165.87464367585,0.762543158245821,-1004,518,28182.6809634234,19831.7943913798,26787.4711782704,27331.93481752,1672.57803250066,4165.87464367585,0.762543158245821,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",3,21970.7165751017,23406.1652331266,45228.1570452924,56179.824237709,43143.0326489038,23202.4960724539,4.38550255306128,3,21970.7165751017,23406.1652331266,45228.1570452924,56179.824237709,43143.0326489038,23202.4960724539,4.38550255306128,-3,3,21970.7165751017,23406.1652331266,45228.1570452924,56179.824237709,43143.0326489038,23202.4960724539,4.38550255306128,"2009","East Asia and Pacific","Indonesia","Lower middle income"
