"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",12,23668.8921687851,16346.8238418383,18032.8261310088,20625.5543716397,1178.25321070806,-2555.73769688306,0.390757195431478,12,23668.8921687851,16346.8238418383,18032.8261310088,20625.5543716397,1178.25321070806,-2555.73769688306,0.390757195431478,12,23668.8921687851,16346.8238418383,18032.8261310088,20625.5543716397,1178.25321070806,-2555.73769688306,0.390757195431478,-23,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",NA,NA,NA,NA,NA,NA,NA,NA,6,4016932.78700524,12896.1402491571,10801178.2628621,103473.125350601,-2598740.03550549,-3040420.82156081,0.128701443111652,6,4016932.78700524,12896.1402491571,10801178.2628621,103473.125350601,-2598740.03550549,-3040420.82156081,0.128701443111652,-6,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",NA,NA,NA,NA,NA,NA,NA,NA,8,41955.6233307886,37755.7085040108,21304.8000970522,24691.3580246913,3525.29866906181,3791.06493313321,NA,8,41955.6233307886,37755.7085040108,21304.8000970522,24691.3580246913,3525.29866906181,3791.06493313321,NA,-8,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",5,39012.7739836993,31959.3807924173,26216.4276293135,30803.8877332261,23307.408679582,11594.849311938,0.964492592399992,5,39012.7739836993,31959.3807924173,26216.4276293135,30803.8877332261,23307.408679582,11594.849311938,0.964492592399992,5,39012.7739836993,31959.3807924173,26216.4276293135,30803.8877332261,23307.408679582,11594.849311938,0.964492592399992,-8,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",5,18993.7574402013,17322.7985610033,9671.67924204965,2320.01766442008,9.17425564397006,45.3422996270557,0.823719370060833,5,18993.7574402013,17322.7985610033,9671.67924204965,2320.01766442008,9.17425564397006,45.3422996270557,0.823719370060833,NA,NA,NA,NA,NA,NA,NA,NA,-3,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12256.9373891594,12256.9373891594,1.81031838066651e-12,0,-3.78698991306314e-13,-3.74118387963332e-13,1,3,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",79,5392.51486321335,3484.39209687102,4507.0841419574,6426.76764533987,2358.0743714692,1294.87797591013,0.853003561166099,79,5392.51486321335,3484.39209687102,4507.0841419574,6426.76764533987,2358.0743714692,1294.87797591013,0.853003561166099,79,5392.51486321335,3484.39209687102,4507.0841419574,6426.76764533987,2358.0743714692,1294.87797591013,0.853003561166099,-149,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",8,82842.5689390325,47588.0699889748,94745.9316360084,58333.3333333333,-23130.9843870334,-23018.6851186997,1.27909922674058,8,82842.5689390325,47588.0699889748,94745.9316360084,58333.3333333333,-23130.9843870334,-23018.6851186997,1.27909922674058,8,82842.5689390325,47588.0699889748,94745.9316360084,58333.3333333333,-23130.9843870334,-23018.6851186997,1.27909922674058,-16,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",4,7767.18366679035,6781.94205137184,9447.80588062334,3840.0011949165,2899.04972324268,4726.31013666974,2.99964466077828,4,7767.18366679035,6781.94205137184,9447.80588062334,3840.0011949165,2899.04972324268,4726.31013666974,2.99964466077828,4,7767.18366679035,6781.94205137184,9447.80588062334,3840.0011949165,2899.04972324268,4726.31013666974,2.99964466077828,-3,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,12,37844.4041389363,37904.6104119305,13711.0675069184,25000,200.937833882861,-655.414159284128,0.501083972591699,12,37844.4041389363,37904.6104119305,13711.0675069184,25000,200.937833882861,-655.414159284128,0.501083972591699,-12,"2010","Latin America and Caribbean","Belize","Upper middle income"
