"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",6,0.287332378772809,0.220396155215498,0.318280786734059,0.395571678072188,0.030446148697464,-0.00107709227253792,1.17647058823529,3,0.32649344587192,0.399282808329397,0.222606556916339,0.390485281135693,0.0735125844583748,0.0841763718185333,2.04277886275828,2,0.525264705882353,0.525264705882353,0.566059775598102,0.800529411764706,0,0,1,1,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",31,0.185339032666938,0.16,0.0937608081273721,0.166666666666667,0.0275983977645275,0.0141562391596094,0.22019490064764,9,0.218614233505458,0.250517078989087,0.148600528472068,0.288684120299551,0.0711797531315409,0.0775455905578558,0.728509973082513,41,0.289445064276933,0.266666666666667,0.187928047840774,0.258888888888889,0.00696396057669347,0.0333875678604621,0.936492207200233,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",104,0.167877708898277,0.130748377921132,0.150938860095535,0.156063547718812,-0.0322424009788627,-0.0147741438804995,1.13872745809337,41,0.133397435507734,0.0947945109708031,0.100073980520201,0.086666666666667,-0.0283346489192266,0.0161514206204176,1.48676703741579,36,0.13060001056566,0.128083179430474,0.0886340624416606,0.112222222222222,0.0113544133382535,0.00312331739188091,0.2053574599898,5,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",1,0.242857142857143,0.242857142857143,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0.285714285714286,0.285714285714286,9.39821640415181e-17,0,-6.16297582203915e-33,0,1,2,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",1,0.263333333333333,0.263333333333333,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,5,0.369472056646503,0.353687467429353,0.063358255581556,0.124210526315789,-0.00345263217048531,-0.0059793680627262,1.15400594991242,4,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",2,0.68059791876757,0.68059791876757,0.176776695296637,0.25,0.0551886594475751,0.0911016949152542,0.765938078980823,1,0.628571428571429,0.628571428571429,NA,0,0,0,1,1,0.326530612244898,0.326530612244898,NA,0,0,0,1,1,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",14,0.211766614860958,0.207148623149499,0.210162150798297,0.399374969650171,0.0544368906014293,-0.013816151839948,0.140503258724617,85,0.292799958843485,0.241658754529465,0.213416351622103,0.258974358974359,-0.0308391608996004,-0.031879340542131,0.706222117994614,44,0.248316507006158,0.284832575753323,0.122618555016567,0.17,-0.0615319317577361,-0.16923046588219,2.14075722487559,2,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",3,0.464637899232869,0.468540412720229,0.0312217483523442,0.0238439274430525,-0.000235191417438468,0.0036319522845215,1.01758083605378,3,0.477600349164761,0.534139744843737,0.172701578990564,0.321195652173913,-0.0541792866055989,-0.0535762211486849,0.997736060360293,5,0.292805171334445,0.199460108098905,0.226040487516711,0.296016373850226,0.2531524083129,0.111752390999797,0.0353410671694275,4,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",NA,NA,NA,NA,NA,NA,NA,NA,1,0.088,0.088,NA,0,0,0,1,4,0.219184695403198,0.208458678732097,0.0828567137762596,0.12,-0.00793857620288222,-0.0222900763358779,0.50589347533042,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",1,0.2,0.2,NA,0,0,0,1,10,0.276663647908414,0.307188763297784,0.102251799652743,0.12,-0.0315120702736683,-0.0306602948947707,1.08003562096919,2,0.468354218863828,0.468354218863828,0.0403442185631429,0,0.00419183712973813,0.0114110682110682,0.921517227893359,1,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
