"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",4,0.336350560376192,0.282392176649467,0.311707576669255,0.670879396145753,-0.0671868508878973,-0.0558917440583404,1.6634981364841,1,0.425,0.425,NA,0,0,0,1,1,0.0072,0.0072,NA,0,0,0,1,2,"2013","Europe and Central Asia","Albania","Upper middle income"
"Argentina","Argentina2010",2,0.3132,0.3132,0.0186676190233248,0.0264,0.00423396226415094,0.00423396226415094,0.757142857142857,7,0.353083405555388,0.359875955637907,0.202855790659058,0.179669615384615,-0.0774760072017211,-0.0691818825224692,0.592101683626422,8,0.287347720951423,0.271971509073787,0.0634504464981528,0.0851851851851852,-0.0136223084661938,-0.00564509949385464,0.64385325338849,1,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",NA,NA,NA,NA,NA,NA,NA,NA,11,0.149162104045216,0.156545692553166,0.129156637684646,0.1875,0.0297364429357707,0.0286916672072516,0.371439485461236,3,0.156957237771177,0.171742755889097,0.104144354842205,0.21004942339374,0.0155164869285959,0.0192196143596473,1.24365228267667,0,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",3,0.313432027668132,0.3125,0.0155525710487562,0.0272727272727273,-0.00981648555366433,-0.00923852495543671,2.77815874673187,1,0.133333333333333,0.133333333333333,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",29,0.360666202625014,0.333333333333333,0.175342740695841,0.21,-0.0507736103811484,-0.0284640558505106,0.794428094466811,25,0.245485003925793,0.234607025776641,0.152457636579949,0.28,-0.0161153408440686,-0.0213314874663604,0.857142857142857,2,0.161968315172896,0.161968315172896,0.078506099218565,0.111024390243902,-0.0506081183965196,-0.0426023823028928,3.26084664196274,0,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",NA,NA,NA,NA,NA,NA,NA,NA,3,0.285714285714286,0.285714285714286,0,0,0,0,1,2,0.160714285714286,0.160714285714286,0.0151522881682832,0.0214285714285714,-0.00189075630252101,-0.00189075630252101,1.21428571428571,2,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",1,0.269811320754717,0.269811320754717,NA,0,0,0,1,2,0.134239435821654,0.134239435821654,0.0600085214304259,0.0848648648648649,0.0162027855661197,0.0156330014224751,0.678785249333868,1,0.448275862068966,0.448275862068966,NA,0,0,0,1,4,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",1,0.24,0.24,NA,0,0,0,1,6,0.305571405842656,0.207524243584715,0.183262216504821,0.245238095238095,-0.0264583589593573,-0.0278450154007963,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",9,0.532323319919918,0.592033209224342,0.238824560207553,0.394444444444444,0.0499964063901834,0.088559559871865,0.905606368236011,2,0.42308812788882,0.42308812788882,0.0853899243536701,0.120759589110973,0.0114232043753623,0.0114232043753623,0.840909090909091,3,0.34092968678334,0.347810592410825,0.0605682063172534,0.0486363636363636,-0.00754721123647242,0.00904373927958835,1,2,"2015","South Asia","Bhutan","Lower middle income"
"Bolivia","Bolivia2010",4,0.207462371973013,0.20733850407671,0.0481193572586939,0.0357528583753201,-0.00620141616032661,-0.0113264950779328,2.42669857677805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.127384615384615,0.127384615384615,NA,0,0,0,1,1,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Botswana","Botswana2010",1,0.2,0.2,NA,0,0,0,1,2,0.317805995202843,0.317805995202843,0.0185251907701481,0.0261985760326923,-0.0128324090543213,-0.0103621233562141,3.0790783970936,6,0.205140867085429,0.203386511830366,0.070741269062714,0.137592137592138,0.000959122781821277,0.000151647408006608,0.738064135183014,0,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",5,0.233699210503487,0.233653579621313,0.00693654999370831,0,0.00573457237243669,0.00156665451352478,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",5,0.155632204740607,0.162790615898699,0.129831234491734,0.13134825,-0.0384899097181422,-0.0513635292857143,2.39670319911511,2,0.2,0.2,0,0,0,0,1.39711701183839,3,0.234506937965988,0.19291675508094,0.208408580771899,0.307368421052632,0.0102896028806246,0.0199036323202372,1.06197784327973,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",2,0.130725988502227,0.130725988502227,0.0251203967601507,0.0355256057903982,-0.0154685747109236,-0.0140232654435782,4.22024626981906,1,0.32,0.32,NA,0,0,0,1,10,0.142895017603152,0.156915916934154,0.0820424820525888,0.151544420583505,-0.00341899538208957,-0.00298710581554033,NA,0,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",4,0.130794915480436,0.164840810219044,0.0730445186650512,0.126627243333333,-0.025928426610444,-0.0241090775802072,3.08368428872142,1,0.25,0.25,NA,0,0,0,1,3,0.181157060837187,0.171172013422258,0.0414119824494638,0.085483870967742,0.0187593367791064,0.0199044964866452,0.333732853684777,3,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",1,0.580555555555556,0.580555555555556,NA,0,0,0,1,15,0.243305143166312,0.25,0.0701161826808977,0.035714285714286,-0.0385022579448037,-0.0644791802160385,1.70199545038671,6,0.21437351145833,0.164858940825864,0.206984307752787,0.403602941176471,-0.0217924210573183,-0.0148631095967688,1.3216091101422,3,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",22,0.15403877074766,0.15131353016203,0.089402714250841,0.0801282051282054,0.0209886653103609,0.000875142007525881,0.192522034938657,1,0.0666666666666667,0.0666666666666667,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,0.151533059967693,0.151533059967693,NA,0,0,0,1,10,0.31711109351739,0.309816307121323,0.154919584025038,0.14623786407767,-0.0460199920602028,-0.0526201542812672,1.29825262991831,1,0.115649482453625,0.115649482453625,NA,0,0,0,1,5,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",1,0.454545454545455,0.454545454545455,NA,0,0,0,1,4,0.266393465000464,0.303480968589847,0.0908231867230503,0.166666666666667,0.00471499713656191,-0.00426501035196688,1.1974907131825,6,0.285041252839735,0.299725745222271,0.0421498653670377,0.0545454545454545,0.00820371664782701,0.00961457685649801,4.67950096313097,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",12,0.356106824982929,0.315246654807402,0.209557388859462,0.476411290322581,0.0562795787176646,0.0308580139653474,0.227272727272727,2,0.230344827586207,0.230344827586207,0.0136544757746368,0.0193103448275863,0.0026332288401254,0.0026332288401254,0.785714285714286,1,0.55,0.55,NA,0,0,0,1,0,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Dominicanrepublic","Dominicanrepublic2010",5,0.196729736057094,0.149647020905005,0.105902780269673,0.166666666666667,0.00863896784227089,0.0320629150560016,0.407426095968285,1,0.555555555555556,0.555555555555556,NA,0,0,0,1,7,0.202607538748409,0.210304565464622,0.148058350366677,0.291750629722922,-0.0600854066574504,-0.0597930338266154,0.944830907037188,0,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
