"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",100,0.199792442333843,0.189136175880637,0.126610571049545,0.176666666666667,0.0221818014363888,0.0214492464798714,0.776933950283217,100,0.199792442333843,0.189136175880637,0.126610571049545,0.176666666666667,0.0221818014363888,0.0214492464798714,0.776933950283217,100,0.199792442333843,0.189136175880637,0.126610571049545,0.176666666666667,0.0221818014363888,0.0214492464798714,0.776933950283217,-200,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",NA,NA,NA,NA,NA,NA,NA,NA,5,0.28650208985455,0.364944003576787,0.172268839713874,0.241052631578947,-0.0949857086180445,-0.0948206548760566,2.7396753402444,5,0.28650208985455,0.364944003576787,0.172268839713874,0.241052631578947,-0.0949857086180445,-0.0948206548760566,2.7396753402444,-5,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",6,0.207529178338002,0.185,0.178255265058061,0.312605042016807,-0.0824230399230399,-0.0428887734305192,3.91666666666667,6,0.207529178338002,0.185,0.178255265058061,0.312605042016807,-0.0824230399230399,-0.0428887734305192,3.91666666666667,6,0.207529178338002,0.185,0.178255265058061,0.312605042016807,-0.0824230399230399,-0.0428887734305192,3.91666666666667,-12,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",111,0.153477618196542,0.100872162383555,0.126271816426873,0.177812128418549,0.0357531612872869,0.0312404474130613,0.235017507970236,111,0.153477618196542,0.100872162383555,0.126271816426873,0.177812128418549,0.0357531612872869,0.0312404474130613,0.235017507970236,111,0.153477618196542,0.100872162383555,0.126271816426873,0.177812128418549,0.0357531612872869,0.0312404474130613,0.235017507970236,-222,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",6,0.188499806401958,0.201674231179713,0.0757923094499068,0.15,0.0370089331540587,0.0200946811473127,0.473999145353703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",5,0.216075689730133,0.226651660558245,0.110835523506423,0.1475,0.0387609856251186,0.0651522493734336,0.699793392342867,5,0.216075689730133,0.226651660558245,0.110835523506423,0.1475,0.0387609856251186,0.0651522493734336,0.699793392342867,NA,NA,NA,NA,NA,NA,NA,NA,-5,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",5,0.106605275981575,0.1,0.052884765427694,0.0482894736842105,0.00328437171685239,0.00289790728417468,0.513915179366484,5,0.106605275981575,0.1,0.052884765427694,0.0482894736842105,0.00328437171685239,0.00289790728417468,0.513915179366484,NA,NA,NA,NA,NA,NA,NA,NA,-5,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",116,0.106798299616065,0.05,0.121987541412935,0.138815789473684,0.0395714712074902,-0.00184751816846563,2.13085999634494,116,0.106798299616065,0.05,0.121987541412935,0.138815789473684,0.0395714712074902,-0.00184751816846563,2.13085999634494,116,0.106798299616065,0.05,0.121987541412935,0.138815789473684,0.0395714712074902,-0.00184751816846563,2.13085999634494,-227,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burkinafaso","Burkinafaso2009",7,0.123141718694833,0.164053346822273,0.0931339598506868,0.137503174159111,-0.0387178954808367,-0.0278600183515165,1.11513772089795,7,0.123141718694833,0.164053346822273,0.0931339598506868,0.137503174159111,-0.0387178954808367,-0.0278600183515165,1.11513772089795,7,0.123141718694833,0.164053346822273,0.0931339598506868,0.137503174159111,-0.0387178954808367,-0.0278600183515165,1.11513772089795,-14,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",5,0.154379995492539,0.0870983891741192,0.205600466076873,0.0650356431650393,-0.0597900987515711,-0.0568131170877374,1.87282810483374,5,0.154379995492539,0.0870983891741192,0.205600466076873,0.0650356431650393,-0.0597900987515711,-0.0568131170877374,1.87282810483374,NA,NA,NA,NA,NA,NA,NA,NA,-5,"2014","Sub-Saharan Africa","Burundi","Low income"
