"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",42,0.232254859612425,0.235552356432093,0.0692864308211494,0.02622547008547,-0.0383202235904929,-0.0339773911549459,0.412732290417467,42,0.232254859612425,0.235552356432093,0.0692864308211494,0.02622547008547,-0.0383202235904929,-0.0339773911549459,0.412732290417467,42,0.232254859612425,0.235552356432093,0.0692864308211494,0.02622547008547,-0.0383202235904929,-0.0339773911549459,0.412732290417467,-79,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.429526065770117,0.47904553119405,0.147182213435294,0.227272727272727,0.0422278876811117,0.0545231805231805,0.459648653196235,0,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",34,0.139561427301085,0.0838590030242964,0.133754943831451,0.190648854961832,-0.0584785685298414,-0.0336687030889859,1.24290983474736,34,0.139561427301085,0.0838590030242964,0.133754943831451,0.190648854961832,-0.0584785685298414,-0.0336687030889859,1.24290983474736,34,0.139561427301085,0.0838590030242964,0.133754943831451,0.190648854961832,-0.0584785685298414,-0.0336687030889859,1.24290983474736,-65,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",5,0.139597613287727,0.140808441496346,0.0343024466326269,0.0514609105658081,0.0226211660145466,0.0975234331376359,0.630881463582166,5,0.139597613287727,0.140808441496346,0.0343024466326269,0.0514609105658081,0.0226211660145466,0.0975234331376359,0.630881463582166,5,0.139597613287727,0.140808441496346,0.0343024466326269,0.0514609105658081,0.0226211660145466,0.0975234331376359,0.630881463582166,-9,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bih","Bih2013",9,0.132787175579415,0.0821724159012573,0.141931853759126,0.113520090548953,-0.0340399457712433,-0.0501074235349418,1.27817635535407,9,0.132787175579415,0.0821724159012573,0.141931853759126,0.113520090548953,-0.0340399457712433,-0.0501074235349418,1.27817635535407,9,0.132787175579415,0.0821724159012573,0.141931853759126,0.113520090548953,-0.0340399457712433,-0.0501074235349418,1.27817635535407,-17,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Bolivia","Bolivia2010",NA,NA,NA,NA,NA,NA,NA,NA,4,0.0960713124187817,0.0845002501286306,0.091526400175365,0,-0.0468203879023825,-0.0196840657903,0.593277805238736,4,0.0960713124187817,0.0845002501286306,0.091526400175365,0,-0.0468203879023825,-0.0196840657903,0.593277805238736,-3,"2010","Latin America and Caribbean","Bolivia","Lower middle income"
"Brazil","Brazil2009",30,0.113203130608904,0.081363103113835,0.156810963059118,0.0853174603174604,0.00800729886989686,-0.0664740615115461,0.849891128605313,30,0.113203130608904,0.081363103113835,0.156810963059118,0.0853174603174604,0.00800729886989686,-0.0664740615115461,0.849891128605313,30,0.113203130608904,0.081363103113835,0.156810963059118,0.0853174603174604,0.00800729886989686,-0.0664740615115461,0.849891128605313,-57,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",3,0.0750035347298262,0.0741858204798492,0.0834529778226153,0,-0.0142610195844027,-0.0367838077983967,3.27128646760476,3,0.0750035347298262,0.0741858204798492,0.0834529778226153,0,-0.0142610195844027,-0.0367838077983967,3.27128646760476,3,0.0750035347298262,0.0741858204798492,0.0834529778226153,0,-0.0142610195844027,-0.0367838077983967,3.27128646760476,-2,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Burkinafaso","Burkinafaso2009",5,0.0787992807155921,0.0772913030063095,0.0598259994042637,0.0674778761061947,0.0203203184823192,0.00427776971039994,0.109284458381667,5,0.0787992807155921,0.0772913030063095,0.0598259994042637,0.0674778761061947,0.0203203184823192,0.00427776971039994,0.109284458381667,NA,NA,NA,NA,NA,NA,NA,NA,-5,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Cameroon","Cameroon2009",4,0.260490212760962,0.202282692832078,0.254870486011129,0.453704761904762,-0.100144808530816,-0.0804980316041171,1.33771933799382,4,0.260490212760962,0.202282692832078,0.254870486011129,0.453704761904762,-0.100144808530816,-0.0804980316041171,1.33771933799382,4,0.260490212760962,0.202282692832078,0.254870486011129,0.453704761904762,-0.100144808530816,-0.0804980316041171,1.33771933799382,-7,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",73,0.179058757302335,0.157495816198669,0.102410868746712,0.161091294707413,-0.0413529691913511,-0.0402183175732928,1.02818630969013,73,0.179058757302335,0.157495816198669,0.102410868746712,0.161091294707413,-0.0413529691913511,-0.0402183175732928,1.02818630969013,73,0.179058757302335,0.157495816198669,0.102410868746712,0.161091294707413,-0.0413529691913511,-0.0402183175732928,1.02818630969013,-145,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",142,0.174473791830834,0.132000992485246,0.118706800181653,0.142505871990605,-0.00879483335576288,-0.0150571987298124,1.27258364074546,142,0.174473791830834,0.132000992485246,0.118706800181653,0.142505871990605,-0.00879483335576288,-0.0150571987298124,1.27258364074546,142,0.174473791830834,0.132000992485246,0.118706800181653,0.142505871990605,-0.00879483335576288,-0.0150571987298124,1.27258364074546,-282,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",50,0.16968668637345,0.178551843975981,0.0790871449678022,0.0898924036006656,-0.00834855053295064,-0.00449016270773599,0.561940337786662,50,0.16968668637345,0.178551843975981,0.0790871449678022,0.0898924036006656,-0.00834855053295064,-0.00449016270773599,0.561940337786662,50,0.16968668637345,0.178551843975981,0.0790871449678022,0.0898924036006656,-0.00834855053295064,-0.00449016270773599,0.561940337786662,-98,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",12,0.346106474965986,0.364450688988057,0.176903423506781,0.0301724137931034,-0.0663368229156271,-0.0336461521361486,1.02859571853226,12,0.346106474965986,0.364450688988057,0.176903423506781,0.0301724137931034,-0.0663368229156271,-0.0336461521361486,1.02859571853226,12,0.346106474965986,0.364450688988057,0.176903423506781,0.0301724137931034,-0.0663368229156271,-0.0336461521361486,1.02859571853226,-22,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",12,0.204262839925692,0.209178108036342,0.120277800809806,0.10248,-0.162084666721428,-0.127151649975757,1.02025484386835,12,0.204262839925692,0.209178108036342,0.120277800809806,0.10248,-0.162084666721428,-0.127151649975757,1.02025484386835,12,0.204262839925692,0.209178108036342,0.120277800809806,0.10248,-0.162084666721428,-0.127151649975757,1.02025484386835,-24,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",5,0.232265203683284,0.242769013976544,0.0644023519291752,0.105952380952381,-0.0363462551739079,-0.0480860095976375,0.356343168507787,5,0.232265203683284,0.242769013976544,0.0644023519291752,0.105952380952381,-0.0363462551739079,-0.0480860095976375,0.356343168507787,NA,NA,NA,NA,NA,NA,NA,NA,-3,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",5,0.154168201588227,0.127256391710231,0.214562099362798,0.0875,0.245366789650087,0.240909930031475,0.372154720947191,5,0.154168201588227,0.127256391710231,0.214562099362798,0.0875,0.245366789650087,0.240909930031475,0.372154720947191,5,0.154168201588227,0.127256391710231,0.214562099362798,0.0875,0.245366789650087,0.240909930031475,0.372154720947191,-10,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Ecuador","Ecuador2010",8,0.125372244806112,0.132418068613888,0.0726718812771682,0.099544,-0.0390695040184223,-0.0188259326428344,0.622653896356609,8,0.125372244806112,0.132418068613888,0.0726718812771682,0.099544,-0.0390695040184223,-0.0188259326428344,0.622653896356609,NA,NA,NA,NA,NA,NA,NA,NA,-8,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",88,0.121274743637274,0.0818879653429414,0.125052784549171,0.158333333333333,0.0402392170783142,0.00268018538334111,1.18471625187912,88,0.121274743637274,0.0818879653429414,0.125052784549171,0.158333333333333,0.0402392170783142,0.00268018538334111,1.18471625187912,88,0.121274743637274,0.0818879653429414,0.125052784549171,0.158333333333333,0.0402392170783142,0.00268018538334111,1.18471625187912,-163,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",NA,NA,NA,NA,NA,NA,NA,NA,7,0.171812693893703,0.139079739624775,0.0994003202809986,0.0273809523809524,0.012882970366946,-0.0237802959053974,0.112275322712634,7,0.171812693893703,0.139079739624775,0.0994003202809986,0.0273809523809524,0.012882970366946,-0.0237802959053974,0.112275322712634,-7,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Ethiopia","Ethiopia2011",19,0.18209743241782,0.0848270800411109,0.222527870796498,0.139242176870748,-0.0213912440740775,-0.00932138654922974,0.653177927471637,19,0.18209743241782,0.0848270800411109,0.222527870796498,0.139242176870748,-0.0213912440740775,-0.00932138654922974,0.653177927471637,19,0.18209743241782,0.0848270800411109,0.222527870796498,0.139242176870748,-0.0213912440740775,-0.00932138654922974,0.653177927471637,-38,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",5,0.153668164430933,0.124793002154584,0.129994125114292,0.240260058837311,0.0340132339855319,-0.022384852260737,0.475156777859105,5,0.153668164430933,0.124793002154584,0.129994125114292,0.240260058837311,0.0340132339855319,-0.022384852260737,0.475156777859105,5,0.153668164430933,0.124793002154584,0.129994125114292,0.240260058837311,0.0340132339855319,-0.022384852260737,0.475156777859105,-10,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Ghana","Ghana2013",19,0.0965159110223107,0.0672138886580226,0.083166334560713,0.0947780353200883,-0.0283260025369196,-0.020212426160296,0.426229399739757,19,0.0965159110223107,0.0672138886580226,0.083166334560713,0.0947780353200883,-0.0283260025369196,-0.020212426160296,0.426229399739757,19,0.0965159110223107,0.0672138886580226,0.083166334560713,0.0947780353200883,-0.0283260025369196,-0.020212426160296,0.426229399739757,-38,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",11,0.143046621114353,0.130966191567706,0.0702466545786016,0.0615413610325522,0.0120009466754278,-0.00330582646995905,0.363406296477616,11,0.143046621114353,0.130966191567706,0.0702466545786016,0.0615413610325522,0.0120009466754278,-0.00330582646995905,0.363406296477616,NA,NA,NA,NA,NA,NA,NA,NA,-11,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",670,0.130130854325383,0.106040143008114,0.0989680204322129,0.13,0.00353953581710919,0.00783171425062687,0.977059595273862,670,0.130130854325383,0.106040143008114,0.0989680204322129,0.13,0.00353953581710919,0.00783171425062687,0.977059595273862,670,0.130130854325383,0.106040143008114,0.0989680204322129,0.13,0.00353953581710919,0.00783171425062687,0.977059595273862,-1339,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",110,0.24979812926895,0.201439667728576,0.175022185487228,0.25,-0.0681911542312061,-0.0772195048198266,1.4,110,0.24979812926895,0.201439667728576,0.175022185487228,0.25,-0.0681911542312061,-0.0772195048198266,1.4,110,0.24979812926895,0.201439667728576,0.175022185487228,0.25,-0.0681911542312061,-0.0772195048198266,1.4,-220,"2009","East Asia and Pacific","Indonesia","Lower middle income"
