"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",4,0.341280047489631,0.231808637086365,0.300672084690824,0.524444444444445,-0.0876306313704349,-0.08231401829398,1.31872128826295,2,0.0758635563384259,0.0758635563384259,0.0388704849513472,0.0549711669942145,-0.00209739128409917,-0.00211427565362363,1.08825114524387,1,0.0933333333333333,0.0933333333333333,NA,0,0,0,1,1,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",2,0.00111754576716482,0.00111754576716482,0.00166336471645,0.00235235294117647,0.000545760545791681,0.000534625668449198,0.671766035912134,2,0.0818270607954726,0.0818270607954726,0.0603211705880629,0.0853070175438596,-0.0299428889021218,-0.0291839796860572,3.08165538649904,3,0.0137772368421053,0.00368421052631579,0.020733762001164,0.0376025,0.00573308388157895,0.00573308388157895,0.625,0,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Argentina","Argentina2010",16,0.498010436323694,0.321571699681643,0.460624172672008,0.212709638934937,-0.0460249054089523,-0.0256782898285463,1.08951533240087,23,0.273884399796007,0.25806270059902,0.166848873233125,0.325346160538942,0.00442388859509173,-0.0212920696199654,1.35170835566055,18,0.393925487877908,0.4,0.129366322269277,0.107741935483871,-0.0071014449961795,0.0606210965219234,1.20820497811886,1,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",NA,NA,NA,NA,NA,NA,NA,NA,1,0.158861721232214,0.158861721232214,NA,0,0,0,1,6,0.175736173578349,0.0859807186582579,0.200252315703496,0.389492753623188,0.0944616051710863,0.0583691617561183,0.357677000918557,2,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",21,0.156455021689069,0.125,0.130324178843594,0.166666666666666,-0.0525121326916576,-0.0499617311810213,4.48817970565889,3,0.0648782213558428,0.0583239350388157,0.0391847482108041,0.0579545454545455,0.00244738136208077,0.0029020979020979,0.956466188603835,7,0.212149391643409,0.186628891112978,0.141335791609758,0.195,-0.0795357159821352,-0.114705603038936,1.21956616323441,0,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",1,0.1125,0.1125,Inf,0,1.80518121661165e-33,0,1,3,0.294810049073959,0.312782968575262,0.334246142991017,0.47975,0.178841404242515,0.125406779661017,0.775339562290315,3,0.122854417640428,0.125,0.0489584586233592,0.108333333333333,0.00313263112056934,0.00435435435435436,1.7881597213562,0,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",2,0.245366994750889,0.245366994750889,0.177295704250663,0.250733989501777,-0.0381551723154879,-0.0381551723154879,1.4375,3,0.215122012844343,0.213288297653991,0.154237891528652,0.172815315315315,0.117080666728026,0.0749083711373362,0.192371389183962,NA,NA,NA,NA,NA,NA,NA,NA,0,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",4,0.114952423508347,0.108863337482904,0.0890719937272137,0,0.00677935080516677,0.0146825396825397,0.754353176418991,1,0.136459554736679,0.136459554736679,NA,0,0,0,1,1,0.216,0.216,NA,0,0,0,1,5,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",3,0.232691769773446,0.1875,0.128369939225243,0.25629,-0.00503424930841481,-0.001293,1.18111829968948,7,0.27512804286457,0.182056999502792,0.269458367747376,0.489864705882353,-0.122121623355217,-0.125327024895462,4.3066294974249,1,0.093854748603352,0.093854748603352,NA,0,0,0,1,0,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",49,0.269763931059977,0.289736330455868,0.0817174988310835,0.00729166666666703,-0.0258552185807198,-0.0163707417336787,1.00373140233025,14,0.14730373767616,0.128524995250838,0.0737919018308144,0.0937230371009492,-0.0218326304021751,-0.0256700612369231,3.04759513984628,5,0.215472015168345,0.258436870213518,0.165086493318424,0.3325,-0.119270673894076,-0.0947058080808081,2.60446347384438,28,"2009","Latin America and Caribbean","Brazil","Upper middle income"
