"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Afghanistan","Afghanistan2014",2,0.0806385528919872,0.0806385528919872,0.128924838304301,0.1823272548567,-0.00604733275595753,-0.0070125867252577,0.899596163553761,1,0.0902692305835904,0.0902692305835904,NA,0,0,0,1,1,0.0306748466257669,0.0306748466257669,NA,0,0,0,1,3,"2014","South Asia","Afghanistan","Low income"
"Albania","Albania2013",1,1.82608695652174,1.82608695652174,NA,0,0,0,1,2,0.0332222459047138,0.0332222459047138,0.0479014339769941,0.0677428575873845,0.0112904751583845,0.0109853282574137,0.714210135198214,2,1.00991804244818,1.00991804244818,0.705551560993322,0,-0.453632460861261,-0.377217294900222,1,3,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",8,0.00298884190100056,0.000825698346204088,0.00348839179203987,0.00663633313935169,-0.000228647465764219,-0.000289230094615468,0.663503902630408,6,0.101705709028065,0.0187761523088428,0.155748441350946,0.263800141236187,0.0386456740538109,0.045023743137491,0.689875455372835,5,0.190616117428015,0.109817331464821,0.23435386705895,0.243068965528718,-0.037437819847824,-0.0403872095312051,1.5,2,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",1,0.583333333333333,0.583333333333333,NA,0,0,0,NA,2,0.162425738350327,0.162425738350327,0.0101130647477858,0.014302033323476,0.00645404551551255,0.00619754777350626,0.513215875880204,7,0.426923114971684,0.439808960783881,0.0836448142804198,0.16789667896679,-0.0335043982081189,-0.0353220795732768,1,0,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Argentina","Argentina2010",45,0.604070573518648,0.616347615410124,0.388117544061639,0.568597004018999,-0.0780390967861057,-0.112344915830621,0.714512972462049,40,0.326583102405733,0.381143332866919,0.293406635394245,0.442394496002743,0.0855660863885117,0.0886249689721662,0.998480533469748,35,0.46442209687231,0.519775572065143,0.228240987003091,0.26276612483509,0.00453342206621013,-0.0149352373221243,2.49632925397432,3,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",5,1.27488217251705,1.49476367267244,0.926643278647269,1.3200014982204,-0.0584303450442206,-0.280849191690871,0.800464136322257,4,0.667532377018262,0.642247280574546,0.661936686854702,1.2679843861011,-0.270619534945579,-0.174761397326357,5.8347552459649,3,0.308664639197333,0.232061177542874,0.334015829548488,0.191169658536871,-0.11434199016781,-0.141581751550023,1.21277305650327,0,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Azerbaijan","Azerbaijan2013",12,0.639637857563482,0.733790432845933,0.256282283202124,0.369836655209501,-0.0744188257949991,-0.0682989353431721,1.97219747311866,2,0.625752049103914,0.625752049103914,0.0133672935395911,0.018904207815912,-0.00777950711174646,-0.00759875020051363,4.97701953074304,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bahamas","Bahamas2010",8,0.53833670366913,0.585251734289296,0.222284091327494,0.408448967005859,-0.0245194984818585,-0.0478545953750138,1.08888888888889,9,0.601498439022226,0.522466039707419,0.377780157630489,0.55137096790771,0.0930646392667372,0.116358443365777,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",116,0.344161755655354,0.265065954965013,0.303286469729529,0.395396270396271,0.0510388252142588,0.0721670701458764,1.44278237953142,10,0.213457106999677,0.0417314286742756,0.316375769809414,0.419510001183572,0.376631125285647,0.315034408318861,0.136959620503302,21,0.442892151617864,0.50741898420995,0.193266081622591,0.217446270543616,-0.125641835701844,-0.0856425478515369,0.437949549548284,5,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",1,0.3125,0.3125,NA,0,0,0,1,7,0.574117668553481,0.552261600524431,0.172330581196731,0.148989898989899,-0.117791207778196,-0.110552482354905,0.631393243116619,2,0.52632185896327,0.52632185896327,0.0221799048011003,0.0313671221818601,0.00522785369697668,0.00522785369697668,0.75,1,"2010","Latin America and Caribbean","Barbados","High income"
