"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",6,0.49353749147528,0.495766101348427,0.219016232341982,0.268149074705201,-0.0640270385377717,-0.0304866521647851,0.590237907798096,3,0.416184987791615,0.417671421790515,0.0948874330406906,0.125266450018366,0.0218204907013362,0.0552685484561015,0.757142857142857,6,0.504938040287614,0.500240372568816,0.0557754946931735,0.0623789284991471,-0.0375518475641922,-0.0301019224950888,0.612409487123632,2,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",10,0.300749759601519,0.236793130291728,0.354552233904891,0.295550847457627,-0.0189677991013135,-0.0209451259349161,0.676094566301557,NA,NA,NA,NA,NA,NA,NA,NA,3,-0.0190715770852588,0.0703918722786648,0.411322857816694,0.792383292383292,0.217063908709852,0.212421492867462,1.24365228267667,0,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",22,0.402102798420402,0.43471330362445,0.156493129257929,0.28924264128275,-0.00265784644572004,-0.0227364446933606,0.468915929962712,29,0.501390015855144,0.49940173750249,0.172486701087822,0.138019021108791,-0.0202227779407584,-0.00102646099739495,0.750468644700506,2,0.28066511309104,0.28066511309104,0.0361389043741828,0.0511081286952737,0.0232965587323009,0.0196112586853957,0.429058768679308,1,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",3,0.610290567458791,0.626593340488316,0.180652846980895,0.181170150127342,-0.0172401075281152,-0.0291828029412929,1.04301705081157,NA,NA,NA,NA,NA,NA,NA,NA,1,0.283018867924528,0.283018867924528,NA,0,0,0,1,1,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",3,0.371040898323756,0.369839520073712,0.169138238191972,0.231854109624425,-0.0453820920935099,-0.0848489130627809,1.46463246987154,1,0.348355663824604,0.348355663824604,NA,0,0,0,1,1,0.769230769230769,0.769230769230769,NA,0,0,0,1,3,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",6,0.427557219909578,0.347837235912547,0.210726342508944,0.2301830974095,-0.0190394857079023,-0.0190234854976139,1,1,0.485175202156334,0.485175202156334,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",2,0.724592618428479,0.724592618428479,0.0411367579762484,0.0581761610420701,0.00550315036884447,0.00550315036884447,0.840909090909091,5,0.712514559486154,0.78717219320604,0.260896566486695,0.539493352214617,0.020062454411758,0.0220747741491308,0.963752775853732,5,0.939914482464135,0.996520515311233,0.546044290400959,0.673247106875425,-0.220946637625719,-0.183775995248417,3.65018483863262,0,"2015","South Asia","Bhutan","Lower middle income"
"Botswana","Botswana2010",2,0.409808530747145,0.409808530747145,0.0108262031238099,0.0153105632866979,-0.0074993164018461,-0.00605567055369396,3.0790783970936,1,0.276192229791935,0.276192229791935,NA,0,0,0,1,6,0.358271360016812,0.353092986404401,0.0902404112408207,0.141586661252931,0.0177634808815959,0.0166661841131694,0.27940999403357,0,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Burkinafaso","Burkinafaso2009",1,0.23696682464455,0.23696682464455,NA,0,0,0,1,3,0.474143287752191,0.494197227473448,0.203386379708095,0.190583100583122,-0.0381349162358469,-0.0446088448398833,1,1,0.147058823529412,0.147058823529412,NA,0,0,0,1,0,"2009","Sub-Saharan Africa","Burkina Faso","Low income"
"Burundi","Burundi2014",1,0.4625975430288,0.4625975430288,NA,0,0,0,1,2,0.293069255014285,0.293069255014285,0.00851206258156969,0.0120378743466244,-0.00524153647907106,-0.00475179250524647,4.22024626981906,8,0.315126841476123,0.220499562383604,0.202882750893805,0.37269580701805,-0.00444379700925554,-0.00444379700925553,0.692307692307692,0,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",1,0.500772803718984,0.500772803718984,NA,0,0,0,1,4,0.194556009919029,0.223909382567744,0.134667588604931,0.270289906747462,-0.0595145528815111,-0.0519833881488557,2.56973690726785,4,0.196668932589674,0.212359015395838,0.071934008106541,0.0812761875914987,-0.00939820124167752,-0.0152660426773345,0.384667538064801,2,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",17,0.49248024244759,0.531200638533496,0.205601530349782,0.228354812136105,-0.142203718476489,-0.177815495529618,2.38409087680331,1,0.779850746268657,0.779850746268657,Inf,0,0,0,1,5,0.307796614931625,0.319125914647052,0.242801631952997,0.425437669916362,-0.0212226401081097,-0.0061554027853655,1.29511574011075,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",1,0.103092783505155,0.103092783505155,Inf,0,0,0,1,22,0.321260842195873,0.277935414688521,0.172398744767167,0.238757226709034,-0.00592472059217554,-0.0401404908403183,0.172244075426115,NA,NA,NA,NA,NA,NA,NA,NA,0,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",8,0.455855570910863,0.502711828905277,0.241688538465423,0.342960010969482,-0.0579247285064406,-0.0375421087943445,2.44765412027756,1,0.215558123092311,0.215558123092311,NA,0,0,0,1,1,0.220031091226294,0.220031091226294,NA,0,0,0,1,4,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",4,0.450417752041331,0.468320505701315,0.122559732464567,0.21284965034965,0.00203213130985542,-0.018072422884283,0.997908927652084,1,0.632911392405063,0.632911392405063,NA,0,0,0,1,7,0.829029268901933,0.563656749394563,0.838889381851662,0.642646679507075,-0.0675552875992546,-0.0456019402315103,1.20972290892468,0,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",2,0.454657673502977,0.454657673502977,0.204089183920155,0.28862569183354,-0.0393580488863919,-0.0393580488863918,1.375,5,0.418206280649125,0.366694522278663,0.19420334941172,0.135537264833574,0.0719462916267614,0.0230641000434136,0.25,1,0.585106382978724,0.585106382978724,NA,0,0,0,1,0,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Dominicanrepublic","Dominicanrepublic2010",1,1.0752688172043,1.0752688172043,NA,0,0,0,NA,3,0.44813699715742,0.454472424544356,0.0236801429239367,0.0119772952142895,0.0108711411428641,0.0138343768401572,0.521775901470422,7,0.467461963155633,0.37707682842848,0.38048327939812,0.739070536370316,-0.16175148158113,-0.12700780620087,0.944830907037188,2,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Ecuador","Ecuador2010",1,0.789733464955578,0.789733464955578,NA,0,0,0,1,3,0.438687888528262,0.51413881748072,0.249458652985749,0.481497611788981,0.0290033344883231,0.0290033344883231,0.666666666666667,2,0.443331123566766,0.443331123566766,0.103702408987427,0.146657353240781,-0.0318317194635047,-0.0314265756944531,1.44847765192583,2,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",23,0.567260110889792,0.464259946921376,0.514271773678436,0.734614911669468,-0.156943093015992,-0.161814392120198,1.25702922751577,11,0.5040641425764,0.427871041844424,0.246478013327718,0.324824087710686,-0.0488391545442527,-0.0227160106787887,0.248075566758503,2,0.0797115144637935,0.0797115144637935,0.0736422485306243,0.104145866635659,0.0380573345062491,0.034715288878553,0.531046303424165,4,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",1,-3.58260869565216,-3.58260869565216,NA,0,0,0,1,1,0.033955857385399,0.033955857385399,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",2,0.355021207899696,0.355021207899696,0.0466601263045661,0.065987383441959,0.00588919006077138,0.0065987383441959,0.875099217185509,1,0.761730673293124,0.761730673293124,NA,0,0,0,1,1,1.02326757713708,1.02326757713708,NA,0,0,0,1,4,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
"Ghana","Ghana2013",13,0.192992321712808,0.144668346901791,0.164670263915297,0.157931273863242,-0.00466674167215759,0.00258199619845021,0.578726991753172,4,-2.01732368944971,0.127621388200852,4.09916694103106,7.97852300961697,0.88298478544043,0.774163900099961,1.43179257212483,6,0.145666066004841,0.12366429769747,0.108129429772802,0.088679245283019,-0.0127406896474388,-0.0107880683214274,0.942715024454399,1,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",3,0.33871427731599,0.325805282357948,0.118837650757194,0.108658365214,-0.00295649771581791,0.00538199494292921,0.858638738543125,1,0.419697817571349,0.419697817571349,NA,0,0,0,1,1,0.290803344238459,0.290803344238459,NA,0,0,0,1,3,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
