"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",6,0.297064751029421,0.459614047697254,0.273980252442562,0.452247365070781,0.114260531310039,0.105870105166892,0.720752565195882,6,0.297064751029421,0.459614047697254,0.273980252442562,0.452247365070781,0.114260531310039,0.105870105166892,0.720752565195882,6,0.297064751029421,0.459614047697254,0.273980252442562,0.452247365070781,0.114260531310039,0.105870105166892,0.720752565195882,-8,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",10,0.519801043796949,0.551659130019161,0.323314474344632,0.565723270440252,0.0791095460674502,0.057724367798902,1.12326126418593,NA,NA,NA,NA,NA,NA,NA,NA,10,0.519801043796949,0.551659130019161,0.323314474344632,0.565723270440252,0.0791095460674502,0.057724367798902,1.12326126418593,-10,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",42,0.442301647607002,0.430823439689877,0.301428166074018,0.43862186619196,-0.300553687777132,-0.211914285068204,1.33116980489448,42,0.442301647607002,0.430823439689877,0.301428166074018,0.43862186619196,-0.300553687777132,-0.211914285068204,1.33116980489448,42,0.442301647607002,0.430823439689877,0.301428166074018,0.43862186619196,-0.300553687777132,-0.211914285068204,1.33116980489448,-84,"2013","South Asia","Bangladesh","Lower middle income"
"Bhutan","Bhutan2015",10,0.409790914832728,0.480124344159884,0.25159393268581,0.513482378308982,-0.107317476660413,-0.162800022806279,4.33524201509809,10,0.409790914832728,0.480124344159884,0.25159393268581,0.513482378308982,-0.107317476660413,-0.162800022806279,4.33524201509809,10,0.409790914832728,0.480124344159884,0.25159393268581,0.513482378308982,-0.107317476660413,-0.162800022806279,4.33524201509809,-20,"2015","South Asia","Bhutan","Lower middle income"
"Chile","Chile2010",19,0.309477087878583,0.260011765515633,0.248498847591668,0.282113319590847,-0.111713683626971,-0.126374266393849,5.64287124500993,19,0.309477087878583,0.260011765515633,0.248498847591668,0.282113319590847,-0.111713683626971,-0.126374266393849,5.64287124500993,19,0.309477087878583,0.260011765515633,0.248498847591668,0.282113319590847,-0.111713683626971,-0.126374266393849,5.64287124500993,-38,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",122,0.294064258710427,0.257353922120451,0.182601657600102,0.24,0.0218860912359349,0.0351486186112285,1.07951423170041,122,0.294064258710427,0.257353922120451,0.182601657600102,0.24,0.0218860912359349,0.0351486186112285,1.07951423170041,122,0.294064258710427,0.257353922120451,0.182601657600102,0.24,0.0218860912359349,0.0351486186112285,1.07951423170041,-239,"2012","East Asia and Pacific","China","Upper middle income"
"Costarica","Costarica2010",19,1.37062667027692,1.64573212052303,1.03759390878284,1.62845849802371,-0.958218843949757,-0.374175190193141,1.12442588943743,19,1.37062667027692,1.64573212052303,1.03759390878284,1.62845849802371,-0.958218843949757,-0.374175190193141,1.12442588943743,19,1.37062667027692,1.64573212052303,1.03759390878284,1.62845849802371,-0.958218843949757,-0.374175190193141,1.12442588943743,-38,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",NA,NA,NA,NA,NA,NA,NA,NA,9,0.507903850088047,0.506784353051337,0.223389733527277,0.398482104687691,-0.122757827580758,-0.113069756196112,1.04546589088284,9,0.507903850088047,0.506784353051337,0.223389733527277,0.398482104687691,-0.122757827580758,-0.113069756196112,1.04546589088284,-8,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",5,0.561027573943565,0.601212225163351,0.285962993139014,0.195164176030686,-0.0913935308769906,-0.114588458489101,1.12317398119391,5,0.561027573943565,0.601212225163351,0.285962993139014,0.195164176030686,-0.0913935308769906,-0.114588458489101,1.12317398119391,5,0.561027573943565,0.601212225163351,0.285962993139014,0.195164176030686,-0.0913935308769906,-0.114588458489101,1.12317398119391,-10,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominicanrepublic","Dominicanrepublic2010",5,0.489290661297804,0.438425279034972,0.168411213544501,0.266143834473553,-0.0715439619728522,-0.0994705918667466,1.51094442904013,5,0.489290661297804,0.438425279034972,0.168411213544501,0.266143834473553,-0.0715439619728522,-0.0994705918667466,1.51094442904013,5,0.489290661297804,0.438425279034972,0.168411213544501,0.266143834473553,-0.0715439619728522,-0.0994705918667466,1.51094442904013,-8,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",12,0.163317534335809,0.0972315525347035,0.159349748384052,0.254686377597128,-0.0601251737595408,-0.0624438472067059,0.782232438989333,12,0.163317534335809,0.0972315525347035,0.159349748384052,0.254686377597128,-0.0601251737595408,-0.0624438472067059,0.782232438989333,12,0.163317534335809,0.0972315525347035,0.159349748384052,0.254686377597128,-0.0601251737595408,-0.0624438472067059,0.782232438989333,-24,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",173,0.336091571736315,0.275246386033387,0.312943444840146,0.381491210345524,-0.0799815234280893,-0.0408901353839915,1.37901668883268,173,0.336091571736315,0.275246386033387,0.312943444840146,0.381491210345524,-0.0799815234280893,-0.0408901353839915,1.37901668883268,173,0.336091571736315,0.275246386033387,0.312943444840146,0.381491210345524,-0.0799815234280893,-0.0408901353839915,1.37901668883268,-330,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
