"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",7,0.489542463360936,0.380469428668736,0.341232557447322,0.0336392042083614,-0.117955418759378,-0.103634587482848,1.48171734865753,7,0.489542463360936,0.380469428668736,0.341232557447322,0.0336392042083614,-0.117955418759378,-0.103634587482848,1.48171734865753,7,0.489542463360936,0.380469428668736,0.341232557447322,0.0336392042083614,-0.117955418759378,-0.103634587482848,1.48171734865753,-14,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",NA,NA,NA,NA,NA,NA,NA,NA,6,0.186479248340074,0.127538072402798,0.219490679730352,0.255730420079632,-0.063260397854053,-0.0589784108489994,0.860690900809174,6,0.186479248340074,0.127538072402798,0.219490679730352,0.255730420079632,-0.063260397854053,-0.0589784108489994,0.860690900809174,-6,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",NA,NA,NA,NA,NA,NA,NA,NA,8,0.444273840714611,0.436074429318422,0.165840184270769,0.239874213836478,-0.018351123861855,-0.0200487625744019,0.859434685965353,8,0.444273840714611,0.436074429318422,0.165840184270769,0.239874213836478,-0.018351123861855,-0.0200487625744019,0.859434685965353,-8,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Armenia","Armenia2013",4,0.0366848268244839,0.025447457160954,0.0312526637074629,0.0648976040690671,-0.00689088432847319,-0.0049284703823746,0.977966830218919,4,0.0366848268244839,0.025447457160954,0.0312526637074629,0.0648976040690671,-0.00689088432847319,-0.0049284703823746,0.977966830218919,NA,NA,NA,NA,NA,NA,NA,NA,-3,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",84,0.380305270584674,0.381149774962604,0.235470650996889,0.30297256097561,-0.178555683998769,-0.179165504538993,0.605700951987131,84,0.380305270584674,0.381149774962604,0.235470650996889,0.30297256097561,-0.178555683998769,-0.179165504538993,0.605700951987131,84,0.380305270584674,0.381149774962604,0.235470650996889,0.30297256097561,-0.178555683998769,-0.179165504538993,0.605700951987131,-166,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,12,0.453594376998259,0.403241504233809,0.206719664357511,0.242028529473463,0.0265478427936258,0.0280251535054386,0.816581288667954,12,0.453594376998259,0.403241504233809,0.206719664357511,0.242028529473463,0.0265478427936258,0.0280251535054386,0.816581288667954,-12,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",7,0.320084548777778,0.177305337096219,0.382116164720097,0.155238147725036,0.157663420808769,0.166961732357944,0.32258064516129,7,0.320084548777778,0.177305337096219,0.382116164720097,0.155238147725036,0.157663420808769,0.166961732357944,0.32258064516129,7,0.320084548777778,0.177305337096219,0.382116164720097,0.155238147725036,0.157663420808769,0.166961732357944,0.32258064516129,-11,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",2,0.476935695737818,0.476935695737818,0.0702783606623141,0.0993886107899924,-0.0305884080826398,-0.0408203222887469,6.88764213056061,2,0.476935695737818,0.476935695737818,0.0702783606623141,0.0993886107899924,-0.0305884080826398,-0.0408203222887469,6.88764213056061,NA,NA,NA,NA,NA,NA,NA,NA,1,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",6,0.294794839707811,0.301721732856739,0.148037672303575,0.0797659215520877,-0.0731582921665836,-0.104248752716501,3.98417406974192,6,0.294794839707811,0.301721732856739,0.148037672303575,0.0797659215520877,-0.0731582921665836,-0.104248752716501,3.98417406974192,NA,NA,NA,NA,NA,NA,NA,NA,-6,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",140,0.428282092774262,0.402971305903298,0.256316242408631,0.317914039755418,-0.0638436144000628,-0.0728924079682649,0.739781660634067,140,0.428282092774262,0.402971305903298,0.256316242408631,0.317914039755418,-0.0638436144000628,-0.0728924079682649,0.739781660634067,140,0.428282092774262,0.402971305903298,0.256316242408631,0.317914039755418,-0.0638436144000628,-0.0728924079682649,0.739781660634067,-277,"2009","Latin America and Caribbean","Brazil","Upper middle income"
