"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",78,0.479371926239065,0.5,0.203911617702016,0.304953560371517,0.00755916613304413,-0.0112623695401605,0.692809010220392,78,0.479371926239065,0.5,0.203911617702016,0.304953560371517,0.00755916613304413,-0.0112623695401605,0.692809010220392,78,0.479371926239065,0.5,0.203911617702016,0.304953560371517,0.00755916613304413,-0.0112623695401605,0.692809010220392,-155,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",176,0.52352713038547,0.558328497255601,0.243982247552977,0.403333333333333,-0.0369818971129153,0.0122376591721381,1.4,176,0.52352713038547,0.558328497255601,0.243982247552977,0.403333333333333,-0.0369818971129153,0.0122376591721381,1.4,176,0.52352713038547,0.558328497255601,0.243982247552977,0.403333333333333,-0.0369818971129153,0.0122376591721381,1.4,-348,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",4,0.455349038021737,0.4,0.084743882450025,0.142857142857143,-0.0337032482862327,-0.0277036048064085,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.455349038021737,0.4,0.084743882450025,0.142857142857143,-0.0337032482862327,-0.0277036048064085,NA,-3,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",4,0.314463330894567,0.317298738150432,0.0377376556536618,0.0520940129449838,0.00419485902404051,0.00399520805654913,0.868740732642418,NA,NA,NA,NA,NA,NA,NA,NA,4,0.314463330894567,0.317298738150432,0.0377376556536618,0.0520940129449838,0.00419485902404051,0.00399520805654913,0.868740732642418,2,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Brazil","Brazil2009",143,0.292026151290764,0.3,0.177886999875458,0.228571428571429,0.013163793515591,-0.00820309545463756,0.62306988508869,143,0.292026151290764,0.3,0.177886999875458,0.228571428571429,0.013163793515591,-0.00820309545463756,0.62306988508869,143,0.292026151290764,0.3,0.177886999875458,0.228571428571429,0.013163793515591,-0.00820309545463756,0.62306988508869,-284,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",9,0.126051350236039,0.135303161574138,0.0705276438280228,0.049213691026827,-0.0304739635367938,0.0389164816108641,3.84198494910398,9,0.126051350236039,0.135303161574138,0.0705276438280228,0.049213691026827,-0.0304739635367938,0.0389164816108641,3.84198494910398,9,0.126051350236039,0.135303161574138,0.0705276438280228,0.049213691026827,-0.0304739635367938,0.0389164816108641,3.84198494910398,-12,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",10,0.0952296088855469,0.0833196251689729,0.0653702491898517,0.0615384615384615,0.00782005882105272,0.000878473653976105,0.583333333333333,10,0.0952296088855469,0.0833196251689729,0.0653702491898517,0.0615384615384615,0.00782005882105272,0.000878473653976105,0.583333333333333,NA,NA,NA,NA,NA,NA,NA,NA,-9,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",38,0.315562534892055,0.242809605924159,0.189371658501199,0.24429518466524,0.0962131111231691,0.0295200197470634,0.327713105475095,38,0.315562534892055,0.242809605924159,0.189371658501199,0.24429518466524,0.0962131111231691,0.0295200197470634,0.327713105475095,38,0.315562534892055,0.242809605924159,0.189371658501199,0.24429518466524,0.0962131111231691,0.0295200197470634,0.327713105475095,-76,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",118,0.356213930628211,0.333333333333333,0.190644588447441,0.276190476190476,-0.0129380823808827,-0.0135153193288071,1.41484954447148,118,0.356213930628211,0.333333333333333,0.190644588447441,0.276190476190476,-0.0129380823808827,-0.0135153193288071,1.41484954447148,118,0.356213930628211,0.333333333333333,0.190644588447441,0.276190476190476,-0.0129380823808827,-0.0135153193288071,1.41484954447148,-231,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",98,0.331647500035536,0.29742608651408,0.206899909484364,0.362679775280899,0.013079928111775,-0.026303528347957,1.00821273821455,98,0.331647500035536,0.29742608651408,0.206899909484364,0.362679775280899,0.013079928111775,-0.026303528347957,1.00821273821455,98,0.331647500035536,0.29742608651408,0.206899909484364,0.362679775280899,0.013079928111775,-0.026303528347957,1.00821273821455,-196,"2010","Latin America and Caribbean","Colombia","Upper middle income"
