"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",3,0.377960973485716,0.359916520575115,0.100370060521099,0.213805656678801,0.00722242529949296,0.0146122485798562,1.34007389239792,7,0.539104968748654,0.625086786523324,0.341293581889353,0.589285714285714,-0.186906479662111,-0.158864355125408,1.0751108753969,1,0.357142857142857,0.357142857142857,NA,0,0,0,1,0,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",47,0.411994254337109,0.375,0.229769490063352,0.333333333333333,0.124033554455875,0.0953562511821511,0.113721294517414,21,0.477527699706954,0.547489046797945,0.301015064777685,0.594104308390023,0.130563226383268,0.129415336492616,1.15134819683337,41,0.555372534311819,0.594358646684369,0.198055880467642,0.166666666666667,0.0280366462766756,0.0310266224561172,0.575105838517032,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",76,0.330015729411375,0.33246619513313,0.218193929578558,0.333333333333333,0.0165421502478985,-0.00978897031364447,0.69404483141458,16,0.387405814231856,0.330859260034598,0.179304114797689,0.201832432573986,-0.0446128468511943,-0.0360931582113079,2.84669427163123,31,0.297665822381876,0.336580512830465,0.206237633284841,0.422754761904762,-0.0402948699455584,-0.0230990991994273,1.13671706539578,0,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",1,0.591993432011847,0.591993432011847,NA,0,0,0,1,3,0.236755039932351,0.189527408352554,0.216420693365075,0.452789783125024,-0.0423877595803305,-0.0491212178932028,4.02654628741209,2,0.583461571891262,0.583461571891262,0.0938193874815813,0.132680650189989,0.0344272551582074,0.0430630180441192,0.707968464698009,3,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",17,0.585598229868111,0.679928319203566,0.175122523806205,0.18,-0.20294190992297,-0.18446642458249,0.686301144010447,1,0.645372232070911,0.645372232070911,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",1,0.541496598639456,0.541496598639456,NA,0,0,0,1,1,0.182078333333333,0.182078333333333,NA,0,0,0,1,1,0.3625,0.3625,Inf,0,0,0,1,6,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Cotedivoire","Cotedivoire2009",8,0.124083127268909,0.0427418618921266,0.181265745759957,0.119327731092437,-0.0342709618986573,-0.0210497371710079,1.63507565511854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Egypt","Egypt2013",23,0.540143806539602,0.379141309791867,0.443258650352451,0.385714285714286,-0.119009032011034,-0.139027235659407,1.03477054905949,16,0.851762028100023,0.722705536420721,0.655533980488746,1.21428571428571,0.0399111872115688,-0.230791271152103,0.529918630572924,45,0.522901195744293,0.41300082972113,0.296900270479035,0.3375,0.0267032341752776,-0.0521782914793413,0.662102949972037,3,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",5,4.09205825840005,0.366343619221411,7.86988074194988,1.03703703703704,12.3444861286623,12.4934890525166,0.0190405405405405,3,0.0734680576365484,0.0792296084656085,0.0639320439186441,0.125688750362879,-0.031218883773759,-0.031290217699218,1.07339449541284,6,0.342689628889076,0.232031595,0.332270571105411,0.266666666666667,0.226600273921509,0.219693219312367,0.143346153846154,4,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Fyrom","Fyrom2013",1,0.377018188592707,0.377018188592707,Inf,0,0,0,1,4,0.331350853483649,0.299367268370902,0.182078463178538,0.153456455438834,-0.0678212663820471,-0.0521060525874179,2.37138023385653,3,0.018888093783002,0.0188896058966986,0.00163319709820612,0.00229561014901329,0.00103798955943416,0.00093132695892682,0.538765898300738,1,"2013","Europe and Central Asia","Macedonia, FYR","Upper middle income"
