"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","yearOnly","region","countryDes","incomeLevel"
"Angola","Angola2010",3,0.0267765049906986,9.48117634758528e-05,0.0532078026600505,0.0968824847848079,-0.015673482997685,-0.0182778247047898,1,4,0.0294144493348004,0.00095,0.057550953434514,0.029902910873262,-0.0133101618263257,-0.0133101618263257,1.91666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Bangladesh","Bangladesh2013",13,0.35148330604885,0.248779721417126,0.339612829128473,0.566666666666667,0.101340575887504,0.0815520080094359,0.441047982012197,1,0.466666666666667,0.466666666666667,Inf,0,0,0,1,1,3,0.397727663256604,0.370965183268751,0.299443700614231,0.3,0.00512987464114956,-0.00667532186519528,1.10455586564943,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",5,0.196122240634365,0.0811143952991304,0.274556040624916,0.405136452241715,-0.099343624787858,-0.0959774257380703,2.96989416645755,1,0.2,0.2,NA,0,0,0,1,3,1,0.214285714285714,0.214285714285714,NA,0,0,0,1,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Bhutan","Bhutan2015",14,0.451662045722342,0.474983970390116,0.235185077942464,0.35,0.0162527025396948,0.0363093307456596,0.793936506982269,1,0.7,0.7,NA,0,0,0,1,0,1,0.5,0.5,NA,0,0,0,1,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",11,0.383147964917575,0.316104335913448,0.205484655780949,0.26647784071976,-0.0200472787487513,-0.0361990508795378,0.980003067523035,1,0.5,0.5,NA,0,0,0,1,1,6,0.421254170334895,0.426853585981168,0.116873074783234,0.212790299851378,0.0619428950607339,0.0535790976908498,0.90192277282935,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",6,0.616495204931543,0.586778121342397,0.365189150256416,0.326388888888889,0.0185380515637247,0.111777065527066,1.29298214861982,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Cameroon","Cameroon2009",3,0.218535082805791,0.212978495629286,0.169419972158385,0.212142857142857,-0.0741332915466495,-0.0392633292633293,0.975335726110108,5,0.128833244823982,0.0520833333333333,0.152434695363725,0.2304,-0.058499624110862,-0.0577432571005822,0.835459671578968,1,1,0.315789473684211,0.315789473684211,NA,0,0,0,1,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",9,0.31585005262058,0.386692503560979,0.218200718912339,0.28768336413862,0.0508195773017142,0.200884516132067,1.21588208283349,1,0.5,0.5,NA,0,0,0,1,7,1,0.507142857142857,0.507142857142857,NA,0,0,0,1,"2010","Latin America and Caribbean","Chile","High income"
"Costarica","Costarica2010",2,0.132206255698475,0.132206255698475,0.024739820975004,0,0.0062287458016173,0.00916336414021103,0.391121901315897,4,0.547589831018673,0.562331675940755,0.144847669816489,0.1,-0.00342486969269664,-0.00453947368421053,1,3,2,0.5875105831,0.5875105831,0.229794737122076,0.3249788338,-0.0198157825487805,-0.0198157825487805,1.13888888888889,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",10,0.214436901010739,0.161429597489973,0.212365075088671,0.267272727272727,-0.031668093429024,-0.113778222841441,0.976193380564736,2,0.127377425931949,0.127377425931949,0.150166487821331,0.21236748369086,-0.102189291131524,-0.0898477815615178,5.54137185145508,1,NA,NA,NA,NA,NA,NA,NA,NA,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",3,0.294348224358363,0.253601233549038,0.313435400163601,0.624875,0.0428164820412145,0.0437288763670204,0.902388896768193,NA,NA,NA,NA,NA,NA,NA,NA,0,7,0.41120808532138,0.464279597322617,0.168435167894265,0.170389805097451,0.105321017141565,0.102651968880484,0.469271579678483,"2013","Europe and Central Asia","Croatia","High income"
"Drc","Drc2013",8,0.183704931813824,0.193803975337155,0.133395545206303,0.204551898734177,-0.0572550128748913,-0.0591068480759573,1.16045108292447,4,0.225689511796797,0.211236418611768,0.186111160243907,0.3597,-0.129489977701108,-0.117327425876011,1.16666666666667,0,1,0.276484338475923,0.276484338475923,NA,0,0,0,1,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",32,0.30746799331149,0.2,0.251953383340283,0.439102564102564,0.0131400634955459,0.0509728743067817,0.561655520449099,24,0.536426509763415,0.512502547091377,0.178242891921953,0.266666666666667,0.026051756288794,-0.0180999461255572,NA,1,6,0.727709951977737,0.832337681832786,0.205462821595718,0.367713004484305,0.0839595503842117,-0.0462806347643052,0.945858015971309,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
