"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",99,0.458450121473294,0.423558544366587,0.277631433794891,0.464285714285714,-0.0166381218968277,-0.0333211904470997,1.66666666666667,99,0.458450121473294,0.423558544366587,0.277631433794891,0.464285714285714,-0.0166381218968277,-0.0333211904470997,1.66666666666667,99,0.458450121473294,0.423558544366587,0.277631433794891,0.464285714285714,-0.0166381218968277,-0.0333211904470997,1.66666666666667,-198,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",6,0.324098168007151,0.372178323794685,0.135666030733606,0.0879799475112934,-0.0322821441277829,-0.0223543462363109,1,6,0.324098168007151,0.372178323794685,0.135666030733606,0.0879799475112934,-0.0322821441277829,-0.0223543462363109,1,6,0.324098168007151,0.372178323794685,0.135666030733606,0.0879799475112934,-0.0322821441277829,-0.0223543462363109,1,-12,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",26,0.5639472578311,0.60312008208315,0.205645522803857,0.333333333333333,0.0581718502147937,0.052230567434882,0.287013162151779,26,0.5639472578311,0.60312008208315,0.205645522803857,0.333333333333333,0.0581718502147937,0.052230567434882,0.287013162151779,26,0.5639472578311,0.60312008208315,0.205645522803857,0.333333333333333,0.0581718502147937,0.052230567434882,0.287013162151779,-51,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",138,0.363522012061485,0.4,0.20407660502395,0.276573426573427,-0.119409185245529,-0.115925208026675,1.55105330019389,138,0.363522012061485,0.4,0.20407660502395,0.276573426573427,-0.119409185245529,-0.115925208026675,1.55105330019389,138,0.363522012061485,0.4,0.20407660502395,0.276573426573427,-0.119409185245529,-0.115925208026675,1.55105330019389,-276,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",11,0.41365039819098,0.421868033220575,0.280676505683953,0.320316740433127,0.142638942560444,0.154776089509498,0.688541778529276,11,0.41365039819098,0.421868033220575,0.280676505683953,0.320316740433127,0.142638942560444,0.154776089509498,0.688541778529276,11,0.41365039819098,0.421868033220575,0.280676505683953,0.320316740433127,0.142638942560444,0.154776089509498,0.688541778529276,-21,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Chile","Chile2010",16,0.331040594468515,0.302289775500459,0.216422477867581,0.312470277016422,0.171702887705746,0.190412124790752,0.0772165828637539,16,0.331040594468515,0.302289775500459,0.216422477867581,0.312470277016422,0.171702887705746,0.190412124790752,0.0772165828637539,16,0.331040594468515,0.302289775500459,0.216422477867581,0.312470277016422,0.171702887705746,0.190412124790752,0.0772165828637539,-32,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",137,0.402134576723454,0.4,0.234402061677935,0.24,-0.0515274994930045,-0.0839220855698025,1.5,137,0.402134576723454,0.4,0.234402061677935,0.24,-0.0515274994930045,-0.0839220855698025,1.5,137,0.402134576723454,0.4,0.234402061677935,0.24,-0.0515274994930045,-0.0839220855698025,1.5,-273,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",19,0.40032433835048,0.311671496200204,0.218063387476282,0.342705882352941,0.09079661236009,0.0889063029339075,0.567213912656707,19,0.40032433835048,0.311671496200204,0.218063387476282,0.342705882352941,0.09079661236009,0.0889063029339075,0.567213912656707,19,0.40032433835048,0.311671496200204,0.218063387476282,0.342705882352941,0.09079661236009,0.0889063029339075,0.567213912656707,-37,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",16,0.389990578718855,0.379458291546149,0.186062324484206,0.346857680052467,0.109801623261406,0.0952177869900088,2.94779962008579,16,0.389990578718855,0.379458291546149,0.186062324484206,0.346857680052467,0.109801623261406,0.0952177869900088,2.94779962008579,16,0.389990578718855,0.379458291546149,0.186062324484206,0.346857680052467,0.109801623261406,0.0952177869900088,2.94779962008579,-32,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Cotedivoire","Cotedivoire2009",4,0.320799577085299,0.284880703877235,0.130977782204282,0.246753246753247,-0.0735468330131833,-0.0656884743144156,7.5,4,0.320799577085299,0.284880703877235,0.130977782204282,0.246753246753247,-0.0735468330131833,-0.0656884743144156,7.5,4,0.320799577085299,0.284880703877235,0.130977782204282,0.246753246753247,-0.0735468330131833,-0.0656884743144156,7.5,-6,"2009","Sub-Saharan Africa","Cote d'Ivoire","Lower middle income"
"Croatia","Croatia2013",13,0.324689504094712,0.297522657762192,0.154159565501399,0.146153846153846,0.103417567622525,0.128393547449755,0.108505799127982,13,0.324689504094712,0.297522657762192,0.154159565501399,0.146153846153846,0.103417567622525,0.128393547449755,0.108505799127982,13,0.324689504094712,0.297522657762192,0.154159565501399,0.146153846153846,0.103417567622525,0.128393547449755,0.108505799127982,-26,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",10,0.330436178175901,0.286958642563795,0.158093677196315,0.309316666666667,0.0747052864535778,0.0448127367422562,0.195505882244211,10,0.330436178175901,0.286958642563795,0.158093677196315,0.309316666666667,0.0747052864535778,0.0448127367422562,0.195505882244211,10,0.330436178175901,0.286958642563795,0.158093677196315,0.309316666666667,0.0747052864535778,0.0448127367422562,0.195505882244211,-19,"2013","Europe and Central Asia","Czech Republic","High income"
"Egypt","Egypt2013",14,0.546617965831594,0.609918945671161,0.26660858202109,0.158974358974359,0.00234494758873947,0.080589702118768,0.995318338970065,14,0.546617965831594,0.609918945671161,0.26660858202109,0.158974358974359,0.00234494758873947,0.080589702118768,0.995318338970065,14,0.546617965831594,0.609918945671161,0.26660858202109,0.158974358974359,0.00234494758873947,0.080589702118768,0.995318338970065,-2,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Ethiopia","Ethiopia2011",6,0.337753295785971,0.376386269430052,0.279085491498837,0.325622383784975,0.153275268645615,0.144439267642,0.247892720306513,6,0.337753295785971,0.376386269430052,0.279085491498837,0.325622383784975,0.153275268645615,0.144439267642,0.247892720306513,6,0.337753295785971,0.376386269430052,0.279085491498837,0.325622383784975,0.153275268645615,0.144439267642,0.247892720306513,-12,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"India","India2014",661,0.560167055432989,0.580951199092174,0.155424377566242,0.171734824867046,0.0236665496092626,-0.00478342200508907,0.6,661,0.560167055432989,0.580951199092174,0.155424377566242,0.171734824867046,0.0236665496092626,-0.00478342200508907,0.6,661,0.560167055432989,0.580951199092174,0.155424377566242,0.171734824867046,0.0236665496092626,-0.00478342200508907,0.6,-1307,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",2,0.557912987956892,0.557912987956892,0.0610683129206564,0,0.0502056614449281,0.0391461342395922,0.136152302889615,NA,NA,NA,NA,NA,NA,NA,NA,2,0.557912987956892,0.557912987956892,0.0610683129206564,0,0.0502056614449281,0.0391461342395922,0.136152302889615,2,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",2,0.0208210073689934,0.0208210073689934,0.0132751847808969,0,-0.00225644282000899,-0.00469348659003831,1,2,0.0208210073689934,0.0208210073689934,0.0132751847808969,0,-0.00225644282000899,-0.00469348659003831,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Israel","Israel2013",8,0.426077376458399,0.411121818054311,0.155579220411329,0.182857142857143,-0.00206648740710307,-0.0869702511653197,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Middle East and North Africa","Israel","High income"
"Jordan","Jordan2013",7,0.437595555925075,0.4,0.1027588791721,0.1,0.0255557617372726,0.0660591080089853,0.332423612655999,NA,NA,NA,NA,NA,NA,NA,NA,7,0.437595555925075,0.4,0.1027588791721,0.1,0.0255557617372726,0.0660591080089853,0.332423612655999,-5,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",14,0.51501150951467,0.559876552461121,0.206547824434553,0.208888888888889,0.0869210253143539,0.0655105416063969,NA,14,0.51501150951467,0.559876552461121,0.206547824434553,0.208888888888889,0.0869210253143539,0.0655105416063969,NA,14,0.51501150951467,0.559876552461121,0.206547824434553,0.208888888888889,0.0869210253143539,0.0655105416063969,NA,-28,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",19,0.299117583448121,0.2,0.247301924404587,0.394355675451338,0.062666584757887,0.129442352266865,0.277321620409003,19,0.299117583448121,0.2,0.247301924404587,0.394355675451338,0.062666584757887,0.129442352266865,0.277321620409003,19,0.299117583448121,0.2,0.247301924404587,0.394355675451338,0.062666584757887,0.129442352266865,0.277321620409003,-38,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Lebanon","Lebanon2013",6,0.389179582310881,0.386246957576511,0.127984119278585,0.144158433070626,0.00736371226093614,-0.0427249190233406,0.648234865043803,NA,NA,NA,NA,NA,NA,NA,NA,6,0.389179582310881,0.386246957576511,0.127984119278585,0.144158433070626,0.00736371226093614,-0.0427249190233406,0.648234865043803,-4,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",98,0.40775028385166,0.366926356040287,0.219405227976714,0.276923076923077,-0.00203697661470227,-0.00683105935739423,1.51071635126921,98,0.40775028385166,0.366926356040287,0.219405227976714,0.276923076923077,-0.00203697661470227,-0.00683105935739423,1.51071635126921,98,0.40775028385166,0.366926356040287,0.219405227976714,0.276923076923077,-0.00203697661470227,-0.00683105935739423,1.51071635126921,-191,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Morocco","Morocco2013",4,0.026908554266509,0.0188549475313151,0.0258519742016726,0.0496428571428571,-0.0155026310655099,-0.0147660684963641,0.782668400133819,NA,NA,NA,NA,NA,NA,NA,NA,4,0.026908554266509,0.0188549475313151,0.0258519742016726,0.0496428571428571,-0.0155026310655099,-0.0147660684963641,0.782668400133819,-2,"2013","Middle East and North Africa","Morocco","Lower middle income"
"Myanmar","Myanmar2014",NA,NA,NA,NA,NA,NA,NA,NA,28,0.41811532312592,0.398788274760653,0.206533905512748,0.125,0.0402697182154201,0.0354029304029304,0.626738327442457,28,0.41811532312592,0.398788274760653,0.206533905512748,0.125,0.0402697182154201,0.0354029304029304,0.626738327442457,-27,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nepal","Nepal2013",8,0.463047627091231,0.513095651182277,0.159374659366248,0.266666666666667,0.00919082774210762,0.00947122330055437,1.80015782192545,8,0.463047627091231,0.513095651182277,0.159374659366248,0.266666666666667,0.00919082774210762,0.00947122330055437,1.80015782192545,8,0.463047627091231,0.513095651182277,0.159374659366248,0.266666666666667,0.00919082774210762,0.00947122330055437,1.80015782192545,-14,"2013","South Asia","Nepal","Low income"
"Pakistan","Pakistan2013",12,0.134991323457427,0.037415571155908,0.173009362076402,0.325333333333333,0.0484499182331469,0.0348138384763956,0.283999054960808,12,0.134991323457427,0.037415571155908,0.173009362076402,0.325333333333333,0.0484499182331469,0.0348138384763956,0.283999054960808,12,0.134991323457427,0.037415571155908,0.173009362076402,0.325333333333333,0.0484499182331469,0.0348138384763956,0.283999054960808,-22,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",23,0.448463954121183,0.483163910385848,0.202312102481139,0.231574174904941,0.0647199658965861,0.0438612988111129,1.09604677339734,23,0.448463954121183,0.483163910385848,0.202312102481139,0.231574174904941,0.0647199658965861,0.0438612988111129,1.09604677339734,23,0.448463954121183,0.483163910385848,0.202312102481139,0.231574174904941,0.0647199658965861,0.0438612988111129,1.09604677339734,-46,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",3,0.909047978253602,0.918563099886607,0.237546328037669,0.248593283025852,0.0569773030904642,0.0622567886950575,NA,3,0.909047978253602,0.918563099886607,0.237546328037669,0.248593283025852,0.0569773030904642,0.0622567886950575,NA,3,0.909047978253602,0.918563099886607,0.237546328037669,0.248593283025852,0.0569773030904642,0.0622567886950575,NA,-3,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Poland","Poland2013",5,0.517110957112016,0.487528238223276,0.265535469195109,0.3625,-0.0698606732092815,-0.06859375,2.21309216663865,5,0.517110957112016,0.487528238223276,0.265535469195109,0.3625,-0.0698606732092815,-0.06859375,2.21309216663865,5,0.517110957112016,0.487528238223276,0.265535469195109,0.3625,-0.0698606732092815,-0.06859375,2.21309216663865,-10,"2013","Europe and Central Asia","Poland","High income"
"Romania","Romania2013",8,0.150105868078127,0.0918339719945387,0.137709197634473,0.233905238095238,0.0721062728029075,0.0634119920718974,0.130887965053418,8,0.150105868078127,0.0918339719945387,0.137709197634473,0.233905238095238,0.0721062728029075,0.0634119920718974,0.130887965053418,8,0.150105868078127,0.0918339719945387,0.137709197634473,0.233905238095238,0.0721062728029075,0.0634119920718974,0.130887965053418,-12,"2013","Europe and Central Asia","Romania","Upper middle income"
"Russia","Russia2012",61,0.354273644754137,0.397827907206011,0.218545111703979,0.32,-0.0653691576266968,-0.0265636649322396,0.586843008204557,61,0.354273644754137,0.397827907206011,0.218545111703979,0.32,-0.0653691576266968,-0.0265636649322396,0.586843008204557,61,0.354273644754137,0.397827907206011,0.218545111703979,0.32,-0.0653691576266968,-0.0265636649322396,0.586843008204557,-122,"2012","Europe and Central Asia","Russian Federation","High income"
"Slovakia","Slovakia2013",5,0.00441395186049963,0.00331297337588312,0.00390504966201907,0.00277028616790962,0.00178862104638255,0.00252331384742563,0.36685058884005,5,0.00441395186049963,0.00331297337588312,0.00390504966201907,0.00277028616790962,0.00178862104638255,0.00252331384742563,0.36685058884005,NA,NA,NA,NA,NA,NA,NA,NA,-4,"2013","Europe and Central Asia","Slovak Republic","High income"
"Slovenia","Slovenia2013",12,0.260689645781681,0.180285680659254,0.233026660193034,0.46492087822697,-0.0482021361043553,-0.118099910637127,1.21153728764997,12,0.260689645781681,0.180285680659254,0.233026660193034,0.46492087822697,-0.0482021361043553,-0.118099910637127,1.21153728764997,12,0.260689645781681,0.180285680659254,0.233026660193034,0.46492087822697,-0.0482021361043553,-0.118099910637127,1.21153728764997,-24,"2013","Europe and Central Asia","Slovenia","High income"
"Sweden","Sweden2014",104,0.431932976658727,0.379046489953055,0.151818739837701,0.162803462589624,0.00645946130930631,0.0184235229476927,1.91027586711424,104,0.431932976658727,0.379046489953055,0.151818739837701,0.162803462589624,0.00645946130930631,0.0184235229476927,1.91027586711424,104,0.431932976658727,0.379046489953055,0.151818739837701,0.162803462589624,0.00645946130930631,0.0184235229476927,1.91027586711424,-208,"2014","Europe and Central Asia","Sweden","High income"
"Tunisia","Tunisia2013",11,0.329270257254668,0.286023940745178,0.273945397758245,0.444030072061321,-0.039764053868929,-0.126980368189563,0.77346001064594,11,0.329270257254668,0.286023940745178,0.273945397758245,0.444030072061321,-0.039764053868929,-0.126980368189563,0.77346001064594,NA,NA,NA,NA,NA,NA,NA,NA,-11,"2013","Middle East and North Africa","Tunisia","Upper middle income"
