"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",34,1.05954687742172,1.01019725766875,0.677249466228293,1.11633143872984,0.04506840639997,0.00991124423127393,0.57030326584821,8,1.12910737500055,0.437636292577056,1.16090168086398,2.07686693043487,0.320485417421467,0.0359840907193094,1.18126428718608,25,1.35522052653513,1.03041930269969,0.960973119300337,1.26043911132881,-0.113960367485957,-0.128189018130538,1.02400483644533,3,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",38,3.12597102201715,2.9437963217618,2.57626370907014,3.16746542101431,-0.0150777220331748,0.139905686629776,0.225387488670564,35,1.51517550891752,1.00736648631739,1.29156969749963,1.93827103891127,-0.356076084228464,-0.421607099319909,1.33333333333333,94,1.38388083337593,1.13282453476765,1.35672674972765,1.39156680478333,-0.212510732846488,-0.0714465287359011,1.13583162002832,10,"2013","South Asia","Bangladesh","Lower middle income"
"Belarus","Belarus2013",3,0.518361131523483,0.491774249970153,0.0488131769858745,0.0860363898748746,-0.00910389257862484,-0.00872142189013158,1.1550463998286,NA,NA,NA,NA,NA,NA,NA,NA,1,0.379506641366224,0.379506641366224,NA,0,0,0,1,6,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Brazil","Brazil2009",45,0.538289005796063,0.551165320619946,0.326444082318412,0.370048905640715,0.0761023193648549,0.0461557550937847,0.389918230094564,79,0.523143955576295,0.449626561038541,0.442082923053692,0.579885444743935,0.0741240689617662,0.132755756081279,1.02912274461745,14,0.320522215888216,0.244454458280491,0.384402897006032,0.695893628093672,0.0512264775590244,-0.195886318630139,0.416500194693048,6,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Bulgaria","Bulgaria2013",3,0.246220973019304,0.270576122303243,0.124465736494801,0.0799080726965343,-0.180740194162708,-0.154430697552716,1.68663481457469,2,0.0527877514650231,0.0527877514650231,0.0757944523624796,0.10718954248366,-0.017219442831913,-0.0178649237472767,1.54411426986899,1,0.172043010752688,0.172043010752688,NA,0,0,0,1,8,"2013","Europe and Central Asia","Bulgaria","Upper middle income"
"Cameroon","Cameroon2009",3,0.123519206523191,0.121878255371385,0.07366250235672,0.0891551635452943,-0.00211932322871931,-0.00950596951773486,2.40640563208424,1,0.10408803647651,0.10408803647651,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",15,0.84392468323977,0.544211526340232,0.740538125446571,0.573195269176032,-0.0961460387122394,-0.0934027344874403,1.84128750359289,4,0.238599324366957,0.184900224906558,0.154649450877953,0.272710452259955,0.0310485989494911,0.017837676098009,0.745325965214753,16,0.415586035023413,0.263444497022091,0.339806333373041,0.228753101736972,0.246696805995756,0.0921378042977568,0.337820963596492,3,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",8,0.879446160623846,0.570004830947309,0.756421414542998,1.21984110697429,-0.401165038334489,-0.248826685242806,0.896590567121023,77,0.745223772869885,0.515463917525773,0.702360297884704,0.561736018593253,-0.0535250619107365,-0.0661723566160061,1.62561361569803,9,0.477631768564023,0.225289501008053,0.547088107736129,0.537461300309597,-0.11082028550014,-0.0823560167125518,0.640808204858019,10,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",31,0.657802308970003,0.438866102663021,0.429816403663345,0.471503065822437,-0.142642577082801,-0.0676581767099675,0.994831731238471,36,0.6618377422682,0.213466398485391,0.74351787233583,1.07920920605594,0.165813172684741,0.0710893359561841,0.929845148725869,22,1.09594379413784,0.492922758421262,1.20013087658963,2.03602125395562,-0.528081479552153,-0.268521291636729,4.69564195522181,6,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",1,0.0769230769230769,0.0769230769230769,NA,0,0,0,1,1,-5.38461538461538,-5.38461538461538,NA,0,0,0,1,2,0.503700684877832,0.503700684877832,0.12996604188732,0.183799739084998,-0.0510274522775263,-0.0491557441738948,2.05783393501805,1,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
