"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",9,1.15355641361078,0.955329168937146,1.01201023918306,1.23164420871857,-0.591300630056265,-0.460996578459197,0.794900938847118,9,1.15355641361078,0.955329168937146,1.01201023918306,1.23164420871857,-0.591300630056265,-0.460996578459197,0.794900938847118,9,1.15355641361078,0.955329168937146,1.01201023918306,1.23164420871857,-0.591300630056265,-0.460996578459197,0.794900938847118,-18,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",25,1.7383952658853,2.21312387777655,1.42073279140648,2.14472537053182,0.27031836079529,0.625413837466076,0.59152020326954,25,1.7383952658853,2.21312387777655,1.42073279140648,2.14472537053182,0.27031836079529,0.625413837466076,0.59152020326954,25,1.7383952658853,2.21312387777655,1.42073279140648,2.14472537053182,0.27031836079529,0.625413837466076,0.59152020326954,-49,"2013","South Asia","Bangladesh","Lower middle income"
"China","China2012",14,0.649480696778588,0.625769021163823,0.430906405408601,0.264345001804403,0.075147200497732,0.0100205513403883,0.303140553811333,NA,NA,NA,NA,NA,NA,NA,NA,14,0.649480696778588,0.625769021163823,0.430906405408601,0.264345001804403,0.075147200497732,0.0100205513403883,0.303140553811333,-12,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",61,1.99295912019353,1.02075209293999,2.64211246194399,5.6915240337679,-0.371254385534044,0.0860481140660227,1.23392449636886,61,1.99295912019353,1.02075209293999,2.64211246194399,5.6915240337679,-0.371254385534044,0.0860481140660227,1.23392449636886,61,1.99295912019353,1.02075209293999,2.64211246194399,5.6915240337679,-0.371254385534044,0.0860481140660227,1.23392449636886,-120,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",6,0.987508211247422,1.049806282835,0.311867491016396,0.475804670985754,-0.140883369289026,-0.0199651822781206,1.8893725647044,6,0.987508211247422,1.049806282835,0.311867491016396,0.475804670985754,-0.140883369289026,-0.0199651822781206,1.8893725647044,NA,NA,NA,NA,NA,NA,NA,NA,-6,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",125,1.71030502972784,1.41897680253022,1.12530521769132,1.35986913849509,-0.0116030224220397,0.147249897555922,1.14315704128766,125,1.71030502972784,1.41897680253022,1.12530521769132,1.35986913849509,-0.0116030224220397,0.147249897555922,1.14315704128766,125,1.71030502972784,1.41897680253022,1.12530521769132,1.35986913849509,-0.0116030224220397,0.147249897555922,1.14315704128766,-244,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",5,1.59571427872054,1.11969111969112,0.979073649536324,0.545816966641261,0.0372335260669511,0.0343479477685911,0.735256838638061,5,1.59571427872054,1.11969111969112,0.979073649536324,0.545816966641261,0.0372335260669511,0.0343479477685911,0.735256838638061,5,1.59571427872054,1.11969111969112,0.979073649536324,0.545816966641261,0.0372335260669511,0.0343479477685911,0.735256838638061,-10,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Lebanon","Lebanon2013",6,1.00553213949368,0.719446955101039,0.954230728821559,2.17063608217616,0.78679629972673,0.800793232035392,1.04251299400444,6,1.00553213949368,0.719446955101039,0.954230728821559,2.17063608217616,0.78679629972673,0.800793232035392,1.04251299400444,NA,NA,NA,NA,NA,NA,NA,NA,-6,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",5,0.801484481339759,0.436054190545483,0.801898116724903,1.37611422603651,0.753221380838993,0.362341746212597,0.137644127561403,5,0.801484481339759,0.436054190545483,0.801898116724903,1.37611422603651,0.753221380838993,0.362341746212597,0.137644127561403,5,0.801484481339759,0.436054190545483,0.801898116724903,1.37611422603651,0.753221380838993,0.362341746212597,0.137644127561403,-9,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",5,0.879586574114759,0.926903823697275,0.354194026155322,0.199705644160396,0.105957908105504,0.0992710439174647,0.440600231600797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2014","East Asia and Pacific","Myanmar","Lower middle income"
"Nigeria","Nigeria2014",5,0.252497005192839,0.200418674008784,0.826603949618522,0.344785699635731,-0.50876335458406,-0.379860349651386,0.181242418401277,5,0.252497005192839,0.200418674008784,0.826603949618522,0.344785699635731,-0.50876335458406,-0.379860349651386,0.181242418401277,5,0.252497005192839,0.200418674008784,0.826603949618522,0.344785699635731,-0.50876335458406,-0.379860349651386,0.181242418401277,-9,"2014","Sub-Saharan Africa","Nigeria","Lower middle income"
"Pakistan","Pakistan2013",7,0.595351929630996,0.638493160585668,0.449633572966005,0.763918146253386,0.215441227355565,0.185110644339719,0.289428919145088,NA,NA,NA,NA,NA,NA,NA,NA,7,0.595351929630996,0.638493160585668,0.449633572966005,0.763918146253386,0.215441227355565,0.185110644339719,0.289428919145088,-7,"2013","South Asia","Pakistan","Lower middle income"
"Peru","Peru2010",NA,NA,NA,NA,NA,NA,NA,NA,5,1.46524080261223,1.45835599640051,1.15715493002293,2.35669667934582,-0.243453049702489,-0.107652172730865,1.58237658962256,5,1.46524080261223,1.45835599640051,1.15715493002293,2.35669667934582,-0.243453049702489,-0.107652172730865,1.58237658962256,-5,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",7,3.89031332592171,3.70515524714658,2.19430285322033,3.89905768867681,-0.0759776008927145,0.00140597964187913,0.872722507483847,7,3.89031332592171,3.70515524714658,2.19430285322033,3.89905768867681,-0.0759776008927145,0.00140597964187913,0.872722507483847,7,3.89031332592171,3.70515524714658,2.19430285322033,3.89905768867681,-0.0759776008927145,0.00140597964187913,0.872722507483847,-13,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Serbia","Serbia2013",NA,NA,NA,NA,NA,NA,NA,NA,4,1.16296743679611,1.28989613442248,2.11389157261851,0.0579900449636288,0.107518114406616,2.05771679798056,0.69820254750746,4,1.16296743679611,1.28989613442248,2.11389157261851,0.0579900449636288,0.107518114406616,2.05771679798056,0.69820254750746,-3,"2013","Europe and Central Asia","Serbia","Upper middle income"
"Sweden","Sweden2014",NA,NA,NA,NA,NA,NA,NA,NA,6,1.17445153059517,1.35193983908043,0.490328021794441,0.900884985530655,-0.224114033434851,-0.066427822613148,1.55251567804315,NA,NA,NA,NA,NA,NA,NA,NA,0,"2014","Europe and Central Asia","Sweden","High income"
"Uruguay","Uruguay2010",NA,NA,NA,NA,NA,NA,NA,NA,5,1.96853235528287,1.75338848750564,1.11196237134551,0.744880657362724,-0.170030515119241,-0.258039964678381,0.978566217183674,NA,NA,NA,NA,NA,NA,NA,NA,0,"2010","Latin America and Caribbean","Uruguay","High income"
"Vietnam","Vietnam2009",20,3.79923788154568,2.27035603014244,3.64175745014649,5.28011204481793,0.347570013549808,0.228073727912594,0.361977289452184,20,3.79923788154568,2.27035603014244,3.64175745014649,5.28011204481793,0.347570013549808,0.228073727912594,0.361977289452184,20,3.79923788154568,2.27035603014244,3.64175745014649,5.28011204481793,0.347570013549808,0.228073727912594,0.361977289452184,-38,"2009","East Asia and Pacific","Vietnam","Lower middle income"
