"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",13,0.398182699252139,0.379559584848729,0.187344548901199,0.303761326365027,-0.0238656128110738,-0.0806369657361042,1,13,0.398182699252139,0.379559584848729,0.187344548901199,0.303761326365027,-0.0238656128110738,-0.0806369657361042,1,13,0.398182699252139,0.379559584848729,0.187344548901199,0.303761326365027,-0.0238656128110738,-0.0806369657361042,1,-22,"2010","Latin America and Caribbean","Argentina","High income"
"Armenia","Armenia2013",11,0.505273032109459,0.552787937619926,1.44823716635017,0.80518018018018,0.0634050117424234,0.0234482627938378,0.799729157729733,11,0.505273032109459,0.552787937619926,1.44823716635017,0.80518018018018,0.0634050117424234,0.0234482627938378,0.799729157729733,NA,NA,NA,NA,NA,NA,NA,NA,-8,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",51,0.628063774411694,0.348450740540837,0.614324923816174,0.89840178299299,0.10787815484157,0.150792208924919,1.71022060741922,51,0.628063774411694,0.348450740540837,0.614324923816174,0.89840178299299,0.10787815484157,0.150792208924919,1.71022060741922,51,0.628063774411694,0.348450740540837,0.614324923816174,0.89840178299299,0.10787815484157,0.150792208924919,1.71022060741922,-99,"2013","South Asia","Bangladesh","Lower middle income"
"Barbados","Barbados2010",4,0.77466704967415,0.803185391796746,0.272040468026232,0.474854457459494,0.0192143151874612,-0.0218029077043705,1,4,0.77466704967415,0.803185391796746,0.272040468026232,0.474854457459494,0.0192143151874612,-0.0218029077043705,1,NA,NA,NA,NA,NA,NA,NA,NA,-3,"2010","Latin America and Caribbean","Barbados","High income"
"Belarus","Belarus2013",5,1.24507710479846,0.557611057577315,1.5801735841796,3.19357256628877,-0.351744460342649,-0.198354786897003,1.76366851009108,5,1.24507710479846,0.557611057577315,1.5801735841796,3.19357256628877,-0.351744460342649,-0.198354786897003,1.76366851009108,5,1.24507710479846,0.557611057577315,1.5801735841796,3.19357256628877,-0.351744460342649,-0.198354786897003,1.76366851009108,-7,"2013","Europe and Central Asia","Belarus","Upper middle income"
"Belize","Belize2010",7,0.520462966103034,0.531888139301776,0.26473444711773,0.354443752200883,0.0564655596549185,0.0574889034922741,0.8,NA,NA,NA,NA,NA,NA,NA,NA,7,0.520462966103034,0.531888139301776,0.26473444711773,0.354443752200883,0.0564655596549185,0.0574889034922741,0.8,-7,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",12,0.63812954122311,0.365664935727799,0.787850657834,0.720753345856683,0.0212960368655264,-0.0776932297296661,0.860838918830139,12,0.63812954122311,0.365664935727799,0.787850657834,0.720753345856683,0.0212960368655264,-0.0776932297296661,0.860838918830139,12,0.63812954122311,0.365664935727799,0.787850657834,0.720753345856683,0.0212960368655264,-0.0776932297296661,0.860838918830139,-24,"2015","South Asia","Bhutan","Lower middle income"
"Botswana","Botswana2010",9,0.566566825264186,0.485568152034109,0.323038464940868,0.480769620831132,0.141206048822131,0.104686036821865,0.331427523131984,9,0.566566825264186,0.485568152034109,0.323038464940868,0.480769620831132,0.141206048822131,0.104686036821865,0.331427523131984,9,0.566566825264186,0.485568152034109,0.323038464940868,0.480769620831132,0.141206048822131,0.104686036821865,0.331427523131984,-18,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Burundi","Burundi2014",11,1.01236226965104,1.07233827070048,0.659849216911045,1.28548306815577,0.200722746564506,0.209722185801216,0.420221804092873,11,1.01236226965104,1.07233827070048,0.659849216911045,1.28548306815577,0.200722746564506,0.209722185801216,0.420221804092873,11,1.01236226965104,1.07233827070048,0.659849216911045,1.28548306815577,0.200722746564506,0.209722185801216,0.420221804092873,-22,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",6,0.609208766001592,0.696324282747029,0.363126479683425,0.655468458983903,-0.0670566375909583,-0.0112710042848555,0.894089533025897,6,0.609208766001592,0.696324282747029,0.363126479683425,0.655468458983903,-0.0670566375909583,-0.0112710042848555,0.894089533025897,6,0.609208766001592,0.696324282747029,0.363126479683425,0.655468458983903,-0.0670566375909583,-0.0112710042848555,0.894089533025897,-7,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
