"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",2,59.0653930427031,59.0653930427031,83.3461204521362,117.869213914593,-14.287177444193,-14.287177444193,1.32,6,1.69499290932738,1.67801143368334,1.09465195354584,1.54688407711684,-0.485927047356048,-1.04574380364482,1.19127693080204,0,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",1,0.523255813953488,0.523255813953488,NA,0,0,0,1,10,3.4216372925736,2.2718503609918,2.06125018172023,2.79571361871249,0.795089455700648,1.16088062480573,0.641116167496128,0,1,0.588235294117647,0.588235294117647,NA,0,0,0,1,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",1,0.431137724550898,0.431137724550898,NA,0,0,0,1,1,0.522113022113022,0.522113022113022,NA,0,0,0,1,8,1,0.988662131519275,0.988662131519275,NA,0,0,0,1,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",NA,NA,NA,NA,NA,NA,NA,NA,2,1.26459941753356,1.26459941753356,0.0504130492467412,0.0712948179653241,0.00513564366699369,0.00513564366699369,0.874074074074074,2,1,1.63934426229508,1.63934426229508,NA,0,0,0,1,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",9,0.501838469225841,0.522407948891794,0.288532881293,0.281511278083537,-0.339365193810928,-0.321287833222626,0.247538816539487,7,1.03488441833459,0.810541252546801,0.75796158686426,1.57902554961378,0.0170289153304417,-0.00981288885160477,0.968398540191758,5,71,0.88311214491051,0.670381849442347,0.806209208989092,0.761367104058593,-0.199177055036277,-0.0965924739591567,1.9367196500364,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",14,0.273568020655336,0.416402152270012,0.536474067405609,0.366806135768527,0.13566144287352,0.181643950565622,0.861331849808901,13,1.03103679411065,0.833425418783502,0.634402833602376,0.796507397526073,-0.469961322239061,-0.59446292072817,0.545840336398514,6,1,2.5,2.5,NA,0,0,0,1,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",210,1.92792063712873,1.49455284450659,1.53655139636419,1.85701696408901,0.498840133364038,0.353452071331124,0.522173055100786,64,1.83291165906214,1.81295938958875,1.06488059637618,1.37399765572532,-0.0464068095160334,-0.205151278458561,0.515189964646606,15,106,1.28796461143932,1.17197483609415,0.811878722366302,0.972622916894915,-0.088427613888271,-0.113488128543761,0.702169869956477,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",NA,NA,NA,NA,NA,NA,NA,NA,2,2.03308038006568,2.03308038006568,0.147835739328621,0,-0.134148839149657,-0.0950324125281768,4.48742677323794,2,1,2.90909090909091,2.90909090909091,NA,0,0,0,NA,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",1,0.0374581939799331,0.0374581939799331,NA,0,0,0,1,3,1.04737561060431,1.34961337950837,0.618720943643517,1.01851851851852,-0.00708387770818367,-0.0212539168849848,0.859743114244634,2,NA,NA,NA,NA,NA,NA,NA,NA,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Kenya","Kenya2013",2,0.0443414590779624,0.0443414590779624,0.0496970292895716,0.0702822128309651,0.0208008786725214,0.0248559045377804,0.670548497022012,1,0.0738041002277904,0.0738041002277904,NA,0,0,0,1,3,1,0.182926829268293,0.182926829268293,NA,0,0,0,1,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
