"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",9,35447.8668440864,18143.5108044651,37266.8481136767,42877.0386422962,46559.5143063428,41807.8188906695,1.56210169248625,9,35447.8668440864,18143.5108044651,37266.8481136767,42877.0386422962,46559.5143063428,41807.8188906695,1.56210169248625,9,35447.8668440864,18143.5108044651,37266.8481136767,42877.0386422962,46559.5143063428,41807.8188906695,1.56210169248625,-14,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",24,1767.93227427495,1333.97490207592,1654.0377812783,2072.00078024191,-1020.91405412938,-1530.06949381932,0.0389382903232149,24,1767.93227427495,1333.97490207592,1654.0377812783,2072.00078024191,-1020.91405412938,-1530.06949381932,0.0389382903232149,24,1767.93227427495,1333.97490207592,1654.0377812783,2072.00078024191,-1020.91405412938,-1530.06949381932,0.0389382903232149,-43,"2013","South Asia","Bangladesh","Lower middle income"
"China","China2012",16,27011.2102732503,17826.2476818136,23008.5825026688,32280.017921686,-73.6405896613388,3952.04014960537,0.794440815315288,NA,NA,NA,NA,NA,NA,NA,NA,16,27011.2102732503,17826.2476818136,23008.5825026688,32280.017921686,-73.6405896613388,3952.04014960537,0.794440815315288,-15,"2012","East Asia and Pacific","China","Upper middle income"
"Egypt","Egypt2013",57,11572.7823098553,13388.2154017054,10094.3649092098,9842.7558152541,2777.3917429997,3150.79200976024,1.89962747002887,57,11572.7823098553,13388.2154017054,10094.3649092098,9842.7558152541,2777.3917429997,3150.79200976024,1.89962747002887,57,11572.7823098553,13388.2154017054,10094.3649092098,9842.7558152541,2777.3917429997,3150.79200976024,1.89962747002887,-95,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",2,25698.6658908415,25698.6658908415,17708.2244219604,0,1076.56664928715,5892.52026896069,1,2,25698.6658908415,25698.6658908415,17708.2244219604,0,1076.56664928715,5892.52026896069,1,NA,NA,NA,NA,NA,NA,NA,NA,4,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",123,5241.86569467418,3987.5684600893,4611.80692104941,3990.69469060358,387.120436713761,700.321404483402,1,123,5241.86569467418,3987.5684600893,4611.80692104941,3990.69469060358,387.120436713761,700.321404483402,1,123,5241.86569467418,3987.5684600893,4611.80692104941,3990.69469060358,387.120436713761,700.321404483402,1,-194,"2014","South Asia","India","Lower middle income"
"Jamaica","Jamaica2010",5,18900.9668545426,16983.8711191987,13359.3839202904,6959.13069024815,-2785.47509134956,-2927.61291855111,NA,5,18900.9668545426,16983.8711191987,13359.3839202904,6959.13069024815,-2785.47509134956,-2927.61291855111,NA,5,18900.9668545426,16983.8711191987,13359.3839202904,6959.13069024815,-2785.47509134956,-2927.61291855111,NA,-9,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Lebanon","Lebanon2013",6,33664.9973122148,25141.0577220938,23144.1323096002,29226.4386911005,-8615.29298496407,-8885.77038241433,0.163823470486412,6,33664.9973122148,25141.0577220938,23144.1323096002,29226.4386911005,-8615.29298496407,-8885.77038241433,0.163823470486412,NA,NA,NA,NA,NA,NA,NA,NA,-5,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Mexico","Mexico2010",6,24280.848661192,13791.7066681073,32146.3900598726,28865.4209331163,30376.8215845377,14351.4710100691,3.53635351925263,6,24280.848661192,13791.7066681073,32146.3900598726,28865.4209331163,30376.8215845377,14351.4710100691,3.53635351925263,6,24280.848661192,13791.7066681073,32146.3900598726,28865.4209331163,30376.8215845377,14351.4710100691,3.53635351925263,-12,"2010","Latin America and Caribbean","Mexico","Upper middle income"
"Myanmar","Myanmar2014",5,6035.68030052359,5599.11031362604,2450.94753503573,2608.7827986948,-227.612190996843,820.664086545446,0.361213599888838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"2014","East Asia and Pacific","Myanmar","Lower middle income"
