"countryOnly","country","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",3,202473.919673863,23335.250207399,278678.773606348,449406.061273036,-32041.526046316,-48365.9152153688,1.110293815467,3,202473.919673863,23335.250207399,278678.773606348,449406.061273036,-32041.526046316,-48365.9152153688,1.110293815467,3,202473.919673863,23335.250207399,278678.773606348,449406.061273036,-32041.526046316,-48365.9152153688,1.110293815467,7,"2010","Latin America and Caribbean","Argentina","High income"
"Azerbaijan","Azerbaijan2013",8,8211.07559116214,5124.38843740452,8869.12981525322,2116.80621396563,-1576.64469132842,-1116.14624459274,0.98925303194667,8,8211.07559116214,5124.38843740452,8869.12981525322,2116.80621396563,-1576.64469132842,-1116.14624459274,0.98925303194667,NA,NA,NA,NA,NA,NA,NA,NA,3,"2013","Europe and Central Asia","Azerbaijan","Upper middle income"
"Bangladesh","Bangladesh2013",41,2641.65475508868,1789.82288031838,2195.57095138635,2763.75645865451,2040.82185284178,1628.73254719178,0.844273802405207,41,2641.65475508868,1789.82288031838,2195.57095138635,2763.75645865451,2040.82185284178,1628.73254719178,0.844273802405207,41,2641.65475508868,1789.82288031838,2195.57095138635,2763.75645865451,2040.82185284178,1628.73254719178,0.844273802405207,-79,"2013","South Asia","Bangladesh","Lower middle income"
"Bhutan","Bhutan2015",9,14621.7915333503,4949.81514346717,24671.1665346083,14513.7825521141,11665.1622726887,17639.4156290056,3.03827572737023,9,14621.7915333503,4949.81514346717,24671.1665346083,14513.7825521141,11665.1622726887,17639.4156290056,3.03827572737023,9,14621.7915333503,4949.81514346717,24671.1665346083,14513.7825521141,11665.1622726887,17639.4156290056,3.03827572737023,-14,"2015","South Asia","Bhutan","Lower middle income"
"Chile","Chile2010",16,60305.279468978,33284.9677291602,80742.9080682369,73968.5621695968,30337.0323216887,49442.2292810003,5.75519595169025,16,60305.279468978,33284.9677291602,80742.9080682369,73968.5621695968,30337.0323216887,49442.2292810003,5.75519595169025,16,60305.279468978,33284.9677291602,80742.9080682369,73968.5621695968,30337.0323216887,49442.2292810003,5.75519595169025,-19,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",110,20892.3481556715,18055.3985889218,16564.5298436709,17795.9964939545,-5689.26250977887,-7725.03692669857,1.60955309097569,110,20892.3481556715,18055.3985889218,16564.5298436709,17795.9964939545,-5689.26250977887,-7725.03692669857,1.60955309097569,110,20892.3481556715,18055.3985889218,16564.5298436709,17795.9964939545,-5689.26250977887,-7725.03692669857,1.60955309097569,-179,"2012","East Asia and Pacific","China","Upper middle income"
"Costarica","Costarica2010",18,6680.10629373757,1478.04431581673,15082.2589994111,6710.66400743014,34642.9549235791,36799.2491912236,1.11314826986737,18,6680.10629373757,1478.04431581673,15082.2589994111,6710.66400743014,34642.9549235791,36799.2491912236,1.11314826986737,18,6680.10629373757,1478.04431581673,15082.2589994111,6710.66400743014,34642.9549235791,36799.2491912236,1.11314826986737,-24,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",NA,NA,NA,NA,NA,NA,NA,NA,10,38472.708887738,28296.6400648965,24891.2951029621,50993.0772730891,9714.54134912479,15263.0304384244,0.933625359509453,10,38472.708887738,28296.6400648965,24891.2951029621,50993.0772730891,9714.54134912479,15263.0304384244,0.933625359509453,-8,"2013","Europe and Central Asia","Croatia","High income"
"Czech","Czech2013",5,106368.518089261,17024.4760265545,273022.59156133,13776.6200636454,76730.3221710045,91346.6541236905,0.921002664579004,5,106368.518089261,17024.4760265545,273022.59156133,13776.6200636454,76730.3221710045,91346.6541236905,0.921002664579004,5,106368.518089261,17024.4760265545,273022.59156133,13776.6200636454,76730.3221710045,91346.6541236905,0.921002664579004,-4,"2013","Europe and Central Asia","Czech Republic","High income"
"Dominicanrepublic","Dominicanrepublic2010",5,7010.2533422921,3857.87015971111,12650.048885894,808.39569778212,5873.39196864152,12900.6547357302,1.51094442904013,5,7010.2533422921,3857.87015971111,12650.048885894,808.39569778212,5873.39196864152,12900.6547357302,1.51094442904013,5,7010.2533422921,3857.87015971111,12650.048885894,808.39569778212,5873.39196864152,12900.6547357302,1.51094442904013,-4,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",10,18760.0135419309,4646.42619890457,24543.3509288013,31089.5169311904,9493.67487675761,7885.68671187654,1.09184209092616,10,18760.0135419309,4646.42619890457,24543.3509288013,31089.5169311904,9493.67487675761,7885.68671187654,1.09184209092616,10,18760.0135419309,4646.42619890457,24543.3509288013,31089.5169311904,9493.67487675761,7885.68671187654,1.09184209092616,-16,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Egypt","Egypt2013",182,17253.3661639165,7742.68713989906,27356.7173351691,12647.8632093954,17367.0018518496,5926.89214442598,1.97060630739384,182,17253.3661639165,7742.68713989906,27356.7173351691,12647.8632093954,17367.0018518496,5926.89214442598,1.97060630739384,182,17253.3661639165,7742.68713989906,27356.7173351691,12647.8632093954,17367.0018518496,5926.89214442598,1.97060630739384,-301,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",6,10548.1777921335,10156.2906850791,3860.0963097829,2774.90526315789,852.091467490558,2631.44310848049,1.51578289721198,NA,NA,NA,NA,NA,NA,NA,NA,6,10548.1777921335,10156.2906850791,3860.0963097829,2774.90526315789,852.091467490558,2631.44310848049,1.51578289721198,-2,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
"Ethiopia","Ethiopia2011",5,-62.4331972339826,261.683340219599,9735.18091188611,2508.0608740422,-400.905032144764,-526.983816815511,0.225388888888889,5,-62.4331972339826,261.683340219599,9735.18091188611,2508.0608740422,-400.905032144764,-526.983816815511,0.225388888888889,5,-62.4331972339826,261.683340219599,9735.18091188611,2508.0608740422,-400.905032144764,-526.983816815511,0.225388888888889,-1,"2011","Sub-Saharan Africa","Ethiopia","Low income"
"Georgia","Georgia2013",NA,NA,NA,NA,NA,NA,NA,NA,3,1352.70028996981,1235.43641643546,854.128923019044,534.901752324419,17.8800861351154,-506.271812404435,NA,3,1352.70028996981,1235.43641643546,854.128923019044,534.901752324419,17.8800861351154,-506.271812404435,NA,10,"2013","Europe and Central Asia","Georgia","Lower middle income"
"Ghana","Ghana2013",8,9832.8377167315,5246.69143978657,12499.3718255909,9407.54498780732,27670.0386728729,28549.0194010332,0.75,8,9832.8377167315,5246.69143978657,12499.3718255909,9407.54498780732,27670.0386728729,28549.0194010332,0.75,8,9832.8377167315,5246.69143978657,12499.3718255909,9407.54498780732,27670.0386728729,28549.0194010332,0.75,-3,"2013","Sub-Saharan Africa","Ghana","Lower middle income"
"Guatemala","Guatemala2010",12,22526.800379344,12613.946069264,26013.3622176065,11336.5069142118,50457.8064385828,50664.9269623949,8.26253591047103,12,22526.800379344,12613.946069264,26013.3622176065,11336.5069142118,50457.8064385828,50664.9269623949,8.26253591047103,12,22526.800379344,12613.946069264,26013.3622176065,11336.5069142118,50457.8064385828,50664.9269623949,8.26253591047103,-19,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"Honduras","Honduras2010",6,-6131.37930505382,-6512.60413442966,18239.7672578301,0,4529.43562228612,2266.14532620582,1,6,-6131.37930505382,-6512.60413442966,18239.7672578301,0,4529.43562228612,2266.14532620582,1,6,-6131.37930505382,-6512.60413442966,18239.7672578301,0,4529.43562228612,2266.14532620582,1,-5,"2010","Latin America and Caribbean","Honduras","Lower middle income"
"India","India2014",340,6326.64340032455,4368.64600928123,6582.08206551006,5710.72798942316,146.026045223343,2213.27969300667,0.84,340,6326.64340032455,4368.64600928123,6582.08206551006,5710.72798942316,146.026045223343,2213.27969300667,0.84,340,6326.64340032455,4368.64600928123,6582.08206551006,5710.72798942316,146.026045223343,2213.27969300667,0.84,-473,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",118,1115.65808071015,897.05742513952,1359.11544248638,962.439408983268,4226.60460391324,16407.4373006169,0.95998632361887,118,1115.65808071015,897.05742513952,1359.11544248638,962.439408983268,4226.60460391324,16407.4373006169,0.95998632361887,118,1115.65808071015,897.05742513952,1359.11544248638,962.439408983268,4226.60460391324,16407.4373006169,0.95998632361887,-154,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Iraq","Iraq2011",119,15588.4723936124,13777.0249163559,12065.0648163972,9474.30091166852,-2643.30992026795,-3583.12568792513,0.840044841770056,119,15588.4723936124,13777.0249163559,12065.0648163972,9474.30091166852,-2643.30992026795,-3583.12568792513,0.840044841770056,119,15588.4723936124,13777.0249163559,12065.0648163972,9474.30091166852,-2643.30992026795,-3583.12568792513,0.840044841770056,-219,"2011","Middle East and North Africa","Iraq","Upper middle income"
"Jamaica","Jamaica2010",7,17695.6187686875,11229.9260010619,20062.481408471,6342.8588988774,32042.9958243023,32590.9994497994,0.798356747700166,7,17695.6187686875,11229.9260010619,20062.481408471,6342.8588988774,32042.9958243023,32590.9994497994,0.798356747700166,NA,NA,NA,NA,NA,NA,NA,NA,-6,"2010","Latin America and Caribbean","Jamaica","Upper middle income"
"Jordan","Jordan2013",13,51231.9578715841,41697.5029609787,45326.9944319659,56566.2214666944,-3575.00800496771,-12410.2602950251,1.25803677685689,13,51231.9578715841,41697.5029609787,45326.9944319659,56566.2214666944,-3575.00800496771,-12410.2602950251,1.25803677685689,13,51231.9578715841,41697.5029609787,45326.9944319659,56566.2214666944,-3575.00800496771,-12410.2602950251,1.25803677685689,-19,"2013","Middle East and North Africa","Jordan","Upper middle income"
"Kazakhstan","Kazakhstan2013",12,13847.3663781034,9800.0652146789,8347.70291885126,13924.5050856839,1726.05008023632,899.656555225423,1.57267508351813,12,13847.3663781034,9800.0652146789,8347.70291885126,13924.5050856839,1726.05008023632,899.656555225423,1.57267508351813,12,13847.3663781034,9800.0652146789,8347.70291885126,13924.5050856839,1726.05008023632,899.656555225423,1.57267508351813,-6,"2013","Europe and Central Asia","Kazakhstan","Upper middle income"
"Kenya","Kenya2013",6,87430.8685346718,12536.540954939,172088.330146693,14751.3847472665,64323.992818121,47991.4203014146,6.73538358555802,6,87430.8685346718,12536.540954939,172088.330146693,14751.3847472665,64323.992818121,47991.4203014146,6.73538358555802,NA,NA,NA,NA,NA,NA,NA,NA,0,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Kosovo","Kosovo2013",5,49150.6055967854,45423.6115093345,43805.5556927349,65178.9405014978,-5380.29557296618,-7141.20815549764,9.5479650800949,5,49150.6055967854,45423.6115093345,43805.5556927349,65178.9405014978,-5380.29557296618,-7141.20815549764,9.5479650800949,5,49150.6055967854,45423.6115093345,43805.5556927349,65178.9405014978,-5380.29557296618,-7141.20815549764,9.5479650800949,-5,"2013","Europe and Central Asia","Kosovo","Lower middle income"
"Kyrgyzstan","Kyrgyzstan2013",7,6679.99099341393,6665.85772419256,3025.08927272456,4147.46983012147,-1448.42560596152,-1142.88490211211,0.568897438753643,7,6679.99099341393,6665.85772419256,3025.08927272456,4147.46983012147,-1448.42560596152,-1142.88490211211,0.568897438753643,7,6679.99099341393,6665.85772419256,3025.08927272456,4147.46983012147,-1448.42560596152,-1142.88490211211,0.568897438753643,-6,"2013","Europe and Central Asia","Kyrgyz Republic","Lower middle income"
"Laos","Laos2012",9,544.193123986709,3541.79573881302,27286.5528924423,1011.70191335213,8162.21538249885,16983.9465953005,0.887852877987032,9,544.193123986709,3541.79573881302,27286.5528924423,1011.70191335213,8162.21538249885,16983.9465953005,0.887852877987032,NA,NA,NA,NA,NA,NA,NA,NA,-6,"2012","East Asia and Pacific","Lao PDR","Lower middle income"
"Lebanon","Lebanon2013",5,11615.5065487122,9332.39533159938,11439.7850971946,929.856529785151,591.118119286924,-1584.52996444591,1.42476832329,5,11615.5065487122,9332.39533159938,11439.7850971946,929.856529785151,591.118119286924,-1584.52996444591,1.42476832329,5,11615.5065487122,9332.39533159938,11439.7850971946,929.856529785151,591.118119286924,-1584.52996444591,1.42476832329,-3,"2013","Middle East and North Africa","Lebanon","Upper middle income"
"Madagascar","Madagascar2013",2,6696.01031914964,6696.01031914964,5185.42386586815,7333.29675776386,2091.94889079991,3155.0230236891,9.39599356981564,NA,NA,NA,NA,NA,NA,NA,NA,2,6696.01031914964,6696.01031914964,5185.42386586815,7333.29675776386,2091.94889079991,3155.0230236891,9.39599356981564,5,"2013","Sub-Saharan Africa","Madagascar","Low income"
"Mexico","Mexico2010",23,11168.5599087297,3160.40258073335,22119.3183724893,3700.01054503005,8013.08743829144,55118.9642102068,0.997704394152858,23,11168.5599087297,3160.40258073335,22119.3183724893,3700.01054503005,8013.08743829144,55118.9642102068,0.997704394152858,23,11168.5599087297,3160.40258073335,22119.3183724893,3700.01054503005,8013.08743829144,55118.9642102068,0.997704394152858,-41,"2010","Latin America and Caribbean","Mexico","Upper middle income"
