"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","outliersOut","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",5,30291.3803998066,34787.4861125525,14290.9283256323,9611.30993295617,5062.299009282,4831.74874283164,1.10054157776147,5,30291.3803998066,34787.4861125525,14290.9283256323,9611.30993295617,5062.299009282,4831.74874283164,1.10054157776147,-2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",18,8445.35105730568,1521.94763470542,24761.6783113312,3721.84696569482,2431.10418591469,2636.96918694596,1.15475868791903,18,8445.35105730568,1521.94763470542,24761.6783113312,3721.84696569482,2431.10418591469,2636.96918694596,1.15475868791903,-31,18,8445.35105730568,1521.94763470542,24761.6783113312,3721.84696569482,2431.10418591469,2636.96918694596,1.15475868791903,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",49,33426.6568709385,19141.1705739434,35921.9902374831,11924.4438923858,34752.5753180044,9182.12569884727,0.975943001964501,49,33426.6568709385,19141.1705739434,35921.9902374831,11924.4438923858,34752.5753180044,9182.12569884727,0.975943001964501,-40,49,33426.6568709385,19141.1705739434,35921.9902374831,11924.4438923858,34752.5753180044,9182.12569884727,0.975943001964501,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"China","China2012",85,22553.463422752,19911.3569289287,14576.2967235761,22969.0190438246,3490.16140206892,-3444.06850228379,1.16542130818904,85,22553.463422752,19911.3569289287,14576.2967235761,22969.0190438246,3490.16140206892,-3444.06850228379,1.16542130818904,-128,85,22553.463422752,19911.3569289287,14576.2967235761,22969.0190438246,3490.16140206892,-3444.06850228379,1.16542130818904,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",3,13377.982844089,12705.1906095043,5376.56018094085,0,-742.013270551438,-2161.06236724228,0.233659293088471,3,13377.982844089,12705.1906095043,5376.56018094085,0,-742.013270551438,-2161.06236724228,0.233659293088471,2,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",8,15944.0067772174,19252.2540134755,10312.1145230783,16053.3204749152,-738.002854415483,-2847.22765589496,14.9663492679596,8,15944.0067772174,19252.2540134755,10312.1145230783,16053.3204749152,-738.002854415483,-2847.22765589496,14.9663492679596,-4,8,15944.0067772174,19252.2540134755,10312.1145230783,16053.3204749152,-738.002854415483,-2847.22765589496,14.9663492679596,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"India","India2014",399,10796.2121493403,7902.42244948367,9842.39423389944,9499.56035335949,405.739705379368,791.365063150987,1.16666666666667,399,10796.2121493403,7902.42244948367,9842.39423389944,9499.56035335949,405.739705379368,791.365063150987,1.16666666666667,-647,399,10796.2121493403,7902.42244948367,9842.39423389944,9499.56035335949,405.739705379368,791.365063150987,1.16666666666667,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",3,31394.1234859903,29051.925857215,24417.8514776048,34481.9792224193,5150.86079803245,5006.74517665643,1.16952900308506,3,31394.1234859903,29051.925857215,24417.8514776048,34481.9792224193,5150.86079803245,5006.74517665643,1.16952900308506,-3,3,31394.1234859903,29051.925857215,24417.8514776048,34481.9792224193,5150.86079803245,5006.74517665643,1.16952900308506,"2009","East Asia and Pacific","Indonesia","Lower middle income"
"Kenya","Kenya2013",11,12177.0246348784,11981.9619477228,7676.37505393607,10109.8892522946,3537.20904178113,4458.22247549634,1.61884749885831,11,12177.0246348784,11981.9619477228,7676.37505393607,10109.8892522946,3537.20904178113,4458.22247549634,1.61884749885831,-18,11,12177.0246348784,11981.9619477228,7676.37505393607,10109.8892522946,3537.20904178113,4458.22247549634,1.61884749885831,"2013","Sub-Saharan Africa","Kenya","Lower middle income"
"Peru","Peru2010",3,17678.9425872228,12766.1830588769,12895.9475753598,24196.2914486373,-2069.88156563549,-2085.16789676683,1.19437607900465,3,17678.9425872228,12766.1830588769,12895.9475753598,24196.2914486373,-2069.88156563549,-2085.16789676683,1.19437607900465,1,NA,NA,NA,NA,NA,NA,NA,NA,"2010","Latin America and Caribbean","Peru","Upper middle income"
"Philippines","Philippines2009",6,10414.2181656626,6785.59434939848,25205.49090126,33174.1483289465,5954.45310623797,3409.09542322743,1.14169891251876,6,10414.2181656626,6785.59434939848,25205.49090126,33174.1483289465,5954.45310623797,3409.09542322743,1.14169891251876,-6,6,10414.2181656626,6785.59434939848,25205.49090126,33174.1483289465,5954.45310623797,3409.09542322743,1.14169891251876,"2009","East Asia and Pacific","Philippines","Lower middle income"
"Russia","Russia2012",NA,NA,NA,NA,NA,NA,NA,NA,5,8598.53473756369,7436.48825838,6822.0872748946,13651.2612961307,-2780.71362408166,-2076.24895849571,0.998552264710912,4,5,8598.53473756369,7436.48825838,6822.0872748946,13651.2612961307,-2780.71362408166,-2076.24895849571,0.998552264710912,"2012","Europe and Central Asia","Russian Federation","High income"
