"countryOnly","country","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","yearOnly","region","countryDes","incomeLevel"
"Albania","Albania2013",6,12483.575703491,12513.6800668584,9466.13814624331,19867.6851644957,1735.36749324922,1634.69389427527,1.46369412684028,6,12483.575703491,12513.6800668584,9466.13814624331,19867.6851644957,1735.36749324922,1634.69389427527,1.46369412684028,6,12483.575703491,12513.6800668584,9466.13814624331,19867.6851644957,1735.36749324922,1634.69389427527,1.46369412684028,-5,"2013","Europe and Central Asia","Albania","Upper middle income"
"Angola","Angola2010",NA,NA,NA,NA,NA,NA,NA,NA,6,4014386.02089746,11834.7870058713,10796127.8981972,103270.170956512,-2597099.20039873,-3038578.09327334,0.128701443111652,6,4014386.02089746,11834.7870058713,10796127.8981972,103270.170956512,-2597099.20039873,-3038578.09327334,0.128701443111652,-6,"2010","Sub-Saharan Africa","Angola","Upper middle income"
"Antiguaandbarbuda","Antiguaandbarbuda2010",NA,NA,NA,NA,NA,NA,NA,NA,8,19171.3579222085,13475.0870295093,11247.5285585773,11567.9012345679,1546.5249823646,1707.15916415381,1.05042017173543,8,19171.3579222085,13475.0870295093,11247.5285585773,11567.9012345679,1546.5249823646,1707.15916415381,1.05042017173543,-8,"2010","Latin America and Caribbean","Antigua and Barbuda","High income"
"Armenia","Armenia2013",5,16560.2598656457,13737.6372216873,12730.2713589688,25534.2609420388,4984.57799048827,4977.98619670659,1.03847298631152,5,16560.2598656457,13737.6372216873,12730.2713589688,25534.2609420388,4984.57799048827,4977.98619670659,1.03847298631152,NA,NA,NA,NA,NA,NA,NA,NA,-3,"2013","Europe and Central Asia","Armenia","Lower middle income"
"Bangladesh","Bangladesh2013",81,2854.52344916861,1871.93885281896,2497.85932109141,3034.90551637466,1193.18601085534,1358.75337468706,0.898404502244591,81,2854.52344916861,1871.93885281896,2497.85932109141,3034.90551637466,1193.18601085534,1358.75337468706,0.898404502244591,81,2854.52344916861,1871.93885281896,2497.85932109141,3034.90551637466,1193.18601085534,1358.75337468706,0.898404502244591,-155,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",NA,NA,NA,NA,NA,NA,NA,NA,12,18414.7933534737,18113.8579591025,6192.78696511681,10296.6666666667,-407.462686222516,-730.508510022829,0.64994532344527,12,18414.7933534737,18113.8579591025,6192.78696511681,10296.6666666667,-407.462686222516,-730.508510022829,0.64994532344527,-12,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",7,9877.87779847979,9616.7932737437,8514.06848886122,2698.25598490663,-2220.49220974201,-2109.09005442233,0.744759952375291,7,9877.87779847979,9616.7932737437,8514.06848886122,2698.25598490663,-2220.49220974201,-2109.09005442233,0.744759952375291,7,9877.87779847979,9616.7932737437,8514.06848886122,2698.25598490663,-2220.49220974201,-2109.09005442233,0.744759952375291,-11,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",5,17385.5492808598,12585.0691358936,10366.2127872902,6844.50359479423,2180.98198146848,2296.8680125759,0.979140007787375,5,17385.5492808598,12585.0691358936,10366.2127872902,6844.50359479423,2180.98198146848,2296.8680125759,0.979140007787375,NA,NA,NA,NA,NA,NA,NA,NA,-2,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Botswana","Botswana2010",6,13849.9209104506,11088.47088987,12324.722378862,19613.2294171512,5166.38247281677,7907.11822047304,3.54148806199282,6,13849.9209104506,11088.47088987,12324.722378862,19613.2294171512,5166.38247281677,7907.11822047304,3.54148806199282,NA,NA,NA,NA,NA,NA,NA,NA,-4,"2010","Sub-Saharan Africa","Botswana","Upper middle income"
"Brazil","Brazil2009",142,17293.8420751141,12408.5283097504,18037.0190639533,19875.8319215121,12605.2997370224,19201.6197879382,1.38563045330397,142,17293.8420751141,12408.5283097504,18037.0190639533,19875.8319215121,12605.2997370224,19201.6197879382,1.38563045330397,142,17293.8420751141,12408.5283097504,18037.0190639533,19875.8319215121,12605.2997370224,19201.6197879382,1.38563045330397,-253,"2009","Latin America and Caribbean","Brazil","Upper middle income"
