"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",70,2.32713280760081,2.26137239086447,1.6144476062923,2.47412317633811,0.23679222861192,-0.364917644919327,1,0,138,2.20150992794399,1.80114765259981,1.30788466987649,1.50446560133124,0.228860015442275,0.30044766746749,1.88888888888889,209,3.44109505568686,3.24079391566766,1.46070553794362,1.89659550974495,-0.19589778388152,-0.649218954902007,0.52398229241759,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",8,1.2604243881139,1.1318450061005,0.429207023373122,0.828392770374625,0.0877104780808104,0.142983781295198,0.196,0,NA,NA,NA,NA,NA,NA,NA,NA,8,1.54644266234867,1.39272598705523,0.728170785796696,0.812760472222923,-0.0930320833610028,-0.0958509757794517,1.7,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",523,2.58223089858557,2.44174678149204,1.25127033215404,1.80505350698258,0.665170124435102,0.547466884829267,1.15,0,274,2.5362935593222,2.53342577842587,1.3679098512868,2.05575661917445,0.77466958336134,0.556233869800592,1,271,3.17448311561257,3.11418027377747,1.30675759326596,1.62162188362683,0.356703080391439,0.0854819797633367,5.76227438427974,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",7,2.16673454284441,2.22025526764292,0.30980532964541,0.412284679961821,-0.0650150107562455,-0.0778443425827309,3.20953895880695,0,15,2.086080576701,2.07195476728438,0.445209568299327,0.441508579132859,-0.0465781615520197,-0.0173704830522345,0.284970922967187,3,2.67752163365883,2.4683571580852,0.48478288092449,0.899337774711938,-0.152061189254354,-0.152061189254354,0.277777777777778,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",14,2.55632604689316,2.84871666024908,0.689581384910412,0.961595249518112,0.04326346373334,0.0790622686403889,0.894273095422618,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",10,2.8856782230459,3.17264199995897,0.809379283565042,1.15555398096448,0.350830996211055,0.425597028781592,1.29287997272859,0,3,3.72694547080646,3.68623200593604,0.877362708729696,1.14739794527295,-0.206123348562467,-0.199921946150348,0.390569027719187,6,2.68972064556139,2.7134744149214,0.636841528749924,0.887080264867462,0.345748958125969,0.25585257922958,3.85304253330148,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",554,2.09648100204507,2.04622204374604,1.12333316851525,1.19366792834476,0.189899211965568,0.129329510552368,0.927906275251962,10,279,2.19137516097426,1.96129273622887,1.34819929792338,1.22418274796652,0.387470365961991,1.26809146082195,0.963150026202487,190,2.37115442204641,2.19665942359635,1.84931449627714,1.83004732545784,0.212815900448511,0.332181816461512,1.33333333333333,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burundi","Burundi2014",7,3.58366470320225,3.49134468335044,0.444057353449699,0.55841185606522,-0.0684246638230932,-0.053900893356527,0.562814545729282,0,6,3.90137544923125,3.78268258945267,0.492356532932293,0.413288722574542,0.0724315718829277,0.0643844159336607,0.917042702436447,2,3.26220324043218,3.26220324043218,1.02632061661948,1.45143653536639,-0.403474423622278,-0.384203788773455,0.614623445273616,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",4,2.45456519125274,2.61734021542085,0.605913404558247,0.605264139925968,0.180486045359459,0.237745686251816,2.1195590253813,1,6,3.26121724937415,3.20112455664016,0.957504307943632,1.65951462672508,0.41699291419143,0.360222536924906,0.320888721990784,7,2.1564213848509,2.19697632203125,1.08154800421023,1.78061788771932,0.373864934705929,-0.11114512470474,1.61929817726153,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",128,3.06423486191895,2.40775773285328,2.09595362934053,2.3042248209899,0.770214565062876,0.343962686246582,0.813795122913405,0,180,4.47282825817339,4.23165445504592,2.56841731283571,4.61775013085231,0.896555645420614,0.600241476160592,0.810603117696639,250,4.40399560120547,3.50171115153871,2.49363751265881,4.21286760345413,-0.598788390977019,-0.498804030247431,1.42155622006055,"2010","Latin America and Caribbean","Chile","High income"
