"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",70,1.9805284047929,2.0204211160926,0.837736967748752,1.03316064915492,0.393036383596587,0.376629953931251,0.95575430378523,1,135,1.80056907987461,1.75026764308537,0.816228853627059,1.17969031106753,0.208078125573879,0.214687500521394,0.715202984407305,207,1.93354826118606,1.82498246506273,0.597334691063719,0.730639062918655,0.178304897674693,0.355877954459256,1.00719933754287,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",8,1.99737149382654,1.88335673531854,0.300194261410468,0.438862950358716,0.132540830869242,0.163719024181459,1.96,0,NA,NA,NA,NA,NA,NA,NA,NA,8,2.16791530617848,2.12182190388623,0.509798877956517,0.575125194399263,-0.0453138115214752,-0.0477433303869647,0.566666666666667,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",505,1.99164278841266,2.098222711304,1.14493965063963,1.63941483317378,0.506021196454997,0.541394093009297,1.32969275277167,0,266,1.97506622101446,2.16552636686495,1.27895955610115,1.89398911216478,0.65700904002951,0.347842046805119,1.60645598279374,260,2.48784008034154,2.60762010781132,1.20529722762083,1.63988025700452,0.270359000667511,0.0751340299579766,1.05090175498748,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",7,2.38850852721907,2.41851895089029,0.151041239291862,0.242686060712745,0.0862547394037532,0.0822245133399233,3.00476947940348,0,15,2.29300564043499,2.25092159285598,0.250647621829197,0.24463232697027,0.0369426161203017,0.0366954163932276,0.751703385501241,3,2.74850694465969,2.74207459559888,0.0367256996583238,0.0726015338560657,0.00202990965833472,0.00202990965833472,5,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Bhutan","Bhutan2015",14,2.21256510165686,2.23009652312905,0.527793878647772,0.853163709184624,0.00401545113693255,-0.00286670783384632,1.40881864946544,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015","South Asia","Bhutan","Lower middle income"
"Bih","Bih2013",9,2.28794722544799,2.44705721589904,0.661094338648993,0.834695240225523,0.282804929698625,0.317255723278259,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2.09997727279095,2.09129445001169,0.346685098870911,0.769602622578118,0.066494075907206,0.0522363523603727,NA,"2013","Europe and Central Asia","Bosnia and Herzegovina","Upper middle income"
"Brazil","Brazil2009",544,2.17317167708001,2.20802468933235,1.04079667406936,0.9034802090601,0.0858205339026795,-0.0164809335647978,1.19961641490417,20,271,2.07900296155047,2.2031743097456,0.918306043236584,1.03179475901316,0.356478987283392,0.885968112749157,0.895088091114084,187,2.13297933510565,2.1435017672113,1.28868224947607,1.48315809302404,0.645777170565822,0.701014003587576,1.33333333333333,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burundi","Burundi2014",7,2.78316351918487,2.72877361568805,0.552911037254513,1.06140791446879,-0.144461838647225,-0.146030911651758,0.562814545729282,0,6,2.34352749751221,2.12875187525918,0.576086258778537,0.573569343951391,0.254322228902935,0.245949121072029,5.96077756583691,2,2.24121420382195,2.24121420382195,0.150650345580512,0.213051761896153,-0.0592247299404394,-0.05639605461957,0.614623445273616,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",4,4.90755822263844,4.89717042145463,1.94894229048229,2.57799000413926,0.406567711436509,0.779149618354273,3.91755428697779,0,5,4.34717323590047,4.5200059857762,0.821514163781551,0.995595321184606,-0.572379664204194,-0.49013903949653,0.186682991081061,6,3.21220090044755,3.11241510816481,0.987289596730825,1.03704441283191,0.354456307012679,0.0112102902067811,2.54205246138121,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",127,2.48411106697629,2.49257585503035,0.775923394880803,1.21399761735732,0.11458685338063,0.171977313609837,1.0934772594872,2,179,2.22513390948608,2.08519296880559,0.866300358922529,1.13825215434668,0.781296401344263,0.511800796993284,1.09891096767842,247,2.38325936409474,2.06324806270948,0.959374434032809,1.51766508060014,0.355668166062418,0.358124058846415,1.47939869284363,"2010","Latin America and Caribbean","Chile","High income"
