"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",32,2.25779942350757,2.22503286523711,0.592958035606164,0.848323006599355,0.355853950360901,0.307719861518403,0.721335583136344,0,35,2.34034400111241,2.21794564538983,0.487745027618143,0.895752607359372,0.203229681979685,0.446660860297803,2.55491437845854,35,2.68979327460522,2.7691360702014,0.622841935944964,0.886327338063568,0.0751838765345158,-0.0325203496377587,0.830113206388138,"2010","Latin America and Caribbean","Argentina","High income"
"Bahamas","Bahamas2010",8,1.99737149382654,1.88335673531854,0.300194261410468,0.438862950358716,0.132540830869242,0.163719024181459,1.96,0,NA,NA,NA,NA,NA,NA,NA,NA,8,2.16791530617848,2.12182190388623,0.509798877956517,0.575125194399263,-0.0453138115214752,-0.0477433303869647,0.566666666666667,"2010","Latin America and Caribbean","Bahamas, The","High income"
"Bangladesh","Bangladesh2013",111,2.67457796395231,2.47201791443052,0.561265960105317,0.664017250754199,0.0535279981764025,0.0243777242240893,0.971328208031674,9,15,2.26058274383292,2.15827958334492,0.26379803201355,0.190923736493867,0.378343471680039,0.304928141081012,0.4,10,3.6192231057798,3.85999781543919,1.04972751654228,1.89940534600727,-0.918065380699858,-0.667491445396299,0.134324691273072,"2013","South Asia","Bangladesh","Lower middle income"
"Belize","Belize2010",7,2.38850852721907,2.41851895089029,0.151041239291862,0.242686060712745,0.0862547394037532,0.0822245133399233,3.00476947940348,0,15,2.29300564043499,2.25092159285598,0.250647621829197,0.24463232697027,0.0369426161203017,0.0366954163932276,0.751703385501241,3,2.74850694465969,2.74207459559888,0.0367256996583238,0.0726015338560657,0.00202990965833472,0.00202990965833472,5,"2010","Latin America and Caribbean","Belize","Upper middle income"
"Brazil","Brazil2009",75,2.32330183481217,2.28032999333029,1.00061174464794,0.954875295249696,0.147414244646826,0.0447377350390833,1.10507791641108,31,9,2.20681126110262,2.20709866325076,0.0277925545065432,0,-0.00898951993469575,-0.0235917544341439,0.975978518785902,15,3.32996375510754,3.1422657554212,0.869200178542931,1.02768529035497,-0.16170889759348,0.138760816612304,1.23516805445892,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Burundi","Burundi2014",7,2.78316351918487,2.72877361568805,0.552911037254513,1.06140791446879,-0.144461838647225,-0.146030911651758,0.562814545729282,0,6,2.34352749751221,2.12875187525918,0.576086258778537,0.573569343951391,0.254322228902935,0.245949121072029,5.96077756583691,2,2.24121420382195,2.24121420382195,0.150650345580512,0.213051761896153,-0.0592247299404394,-0.05639605461957,0.614623445273616,"2014","Sub-Saharan Africa","Burundi","Low income"
"Cameroon","Cameroon2009",4,4.90755822263844,4.89717042145463,1.94894229048229,2.57799000413926,0.406567711436509,0.779149618354273,3.91755428697779,0,5,4.34717323590047,4.5200059857762,0.821514163781551,0.995595321184606,-0.572379664204194,-0.49013903949653,0.186682991081061,6,3.21220090044755,3.11241510816481,0.987289596730825,1.03704441283191,0.354456307012679,0.0112102902067811,2.54205246138121,"2009","Sub-Saharan Africa","Cameroon","Lower middle income"
"Chile","Chile2010",54,2.79218339669902,2.86945931039376,0.444033277593565,0.615242200933679,-0.0283066891754168,0.0730824056790699,0.702065501949166,1,41,2.83119032086763,2.82428265677175,0.567754049812215,0.697119229583059,0.228725259728901,0.289594013500686,1.04998904386738,37,3.08275230466677,2.9902905089714,0.550721547154296,0.676116126491547,0.0450568718716104,-0.00172802804582066,1.49272579220949,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",93,2.59963765888568,2.541558879921,0.626978697150338,0.612120408462774,0.139316250523132,0.0588130338593275,1.85396557404243,1,7,3.22656338987852,3.38640721938807,0.868903087457689,1.69450201172596,0.013053900542691,0.305850722404849,0.663606796295902,5,4.23149246220739,4.75362500954682,1.17884724097668,1.38743708867071,-1.21886340975024,-0.858975735168651,0.0384204739938438,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",36,2.82896184183193,2.9423150508165,0.354439944566473,0.55429665562092,0.0525179277766291,0.0798913601857886,4.92013415432245,7,36,2.62589309385754,2.64888789294062,0.203554625294818,0.256265270777394,0.0796689932937973,0.118487902021335,1.62782753598901,32,2.47319331251597,2.95553537565905,1.4238615404689,0.916047249963352,1.24763506806191,0.678870624535914,11.1398143851478,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Costarica","Costarica2010",12,2.57900086483648,2.55558964548022,0.191192861970259,0.234546497676639,-0.0130122243171867,0.0158538192005569,0.432432432432432,4,31,2.50544901682718,2.50816985376889,0.459779598068854,0.430551612958261,0.58372433077619,0.567898839362069,2.01932866599316,23,2.66212116117628,2.59612870461276,0.343431249250678,0.461374267072657,0.185652906809574,0.184502585690011,4.03001575231637,"2010","Latin America and Caribbean","Costa Rica","Upper middle income"
"Croatia","Croatia2013",5,2.25216065473098,2.28701142849339,0.318858446775571,0.32456800126225,0.0019479542077326,0.00234933346093919,NA,1,7,2.10955013823743,2.12554683108123,0.521534191460392,0.609484768225228,0.159934747648537,0.14778638977732,1.45249485142381,5,2.8534808179869,2.83790122043082,0.194755550077396,0.203562502795741,0.158948457156057,0.14629955708221,5.28897094440535,"2013","Europe and Central Asia","Croatia","High income"
"Dominicanrepublic","Dominicanrepublic2010",9,2.68615440209497,2.5739530124421,0.542297048162881,0.868551150823222,-0.0759439259782436,-0.0746271485798384,2.07916755189682,3,NA,NA,NA,NA,NA,NA,NA,NA,5,2.69289203820886,2.5749274858223,0.563129931017393,0.517934068427557,-0.263810684033109,-0.28274023236396,0.330708584409403,"2010","Latin America and Caribbean","Dominican Republic","Upper middle income"
"Drc","Drc2013",11,3.07870543911056,3.08439231771089,0.789717857964136,1.32948735065579,0.656016846552777,0.679565731913266,1.4,0,3,2.04454692045144,2.05041204804397,0.0954327468706535,0.177332390072113,0.0260545389930199,0.0245714791833656,1,3,3.02600441971401,2.81964173934273,0.395396545171701,0.70191181186134,-0.120102232155601,-0.116702460809229,0.32596779810119,"2013","Sub-Saharan Africa","Congo, Dem. Rep.","Low income"
"Ecuador","Ecuador2010",NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,13,2.89158437120199,2.77081198603208,0.552307776445502,0.535412162922984,0.190210409154183,0.198879225236347,11.1173015836186,"2010","Latin America and Caribbean","Ecuador","Upper middle income"
"Egypt","Egypt2013",95,2.44344244249233,2.34660985543877,0.579287381916354,0.823002300936782,0.163569352095661,0.244321451084512,1.68908061682831,2,53,2.4795125065579,2.54324799409208,0.922904137756319,0.906731145910788,0.36876314253422,0.256342905527134,3.09770880627246,20,2.6426447365371,2.61522132346047,0.374474215210001,0.536574732272051,0.180021050658036,0.055605503813958,9.55819602797275,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Elsalvador","Elsalvador2010",6,1.91990401385747,1.91500779787939,0.335102827615206,0.525041785742475,0.298525933037968,0.275862633788231,0.970704664355763,0,7,2.5684471061908,2.59289893638578,0.377893456977391,0.554719780976438,0.0499343292363009,0.00569704614079881,1.5773477957838,13,2.43623444580144,2.76216870756688,0.577386660815647,1.11890532514259,0.269153160013327,0.135258923828254,3.04204200657838,"2010","Latin America and Caribbean","El Salvador","Lower middle income"
