"countryOnly","country","N_NA","mean_NA","median_NA","sd_NA","iqr_NA","OPcov_NA","OPcovNoWeights_NA","indAlloc_NA","outliersOut","N_Importer","mean_Importer","median_Importer","sd_Importer","iqr_Importer","OPcov_Importer","OPcovNoWeights_Importer","indAlloc_Importer","N_NonImporter","mean_NonImporter","median_NonImporter","sd_NonImporter","iqr_NonImporter","OPcov_NonImporter","OPcovNoWeights_NonImporter","indAlloc_NonImporter","yearOnly","region","countryDes","incomeLevel"
"Argentina","Argentina2010",5,1.33284020209065,1.18205494406791,0.297164402335196,0.187619426191942,0.0130115032557102,0.0104918578441832,1.85837570225293,2,21,1.51168597617564,1.55570031371592,0.441565186894668,0.517170084525487,-0.0307963066113682,-0.0272820040540515,0.940386268865324,10,1.39535654953475,1.36425919995716,0.293329306880442,0.439312250454822,0.0310210606451701,0.0306957206906326,1.07489756329887,"2010","Latin America and Caribbean","Argentina","High income"
"Bangladesh","Bangladesh2013",76,1.03593647514574,0.945446176526577,0.408801239719708,0.521998376270284,0.18758349818007,-0.0391527745441779,1.1,11,24,0.917022497300028,0.901835361080285,0.124589014566978,0.113295669379305,0.0200575297676824,-0.00698414516448132,1.79633831392846,36,0.916429326035864,0.82510052119253,0.28850550045456,0.314403770362619,-0.0880521553246033,-0.104929391608113,0.630107844807836,"2013","South Asia","Bangladesh","Lower middle income"
"Brazil","Brazil2009",66,1.22410250614211,1.16678532255193,0.546749490616328,0.653974200260457,-0.273538848230865,-0.339886669696467,0.372216643612253,3,18,1.19915779841772,1.27841519187385,0.268584544399364,0.35868084164937,-0.0179549057421168,-0.003489085322672,1.20058700542112,35,1.66344278944745,1.38135753757791,0.833182934438985,0.888523730978095,-0.0776296063112539,-0.205061104452713,0.242771891481447,"2009","Latin America and Caribbean","Brazil","Upper middle income"
"Chile","Chile2010",3,1.59827530042782,1.64350995217823,0.697032375015486,0.717288703593137,0.197730392819345,0.273656966169296,3.02101721521756,1,32,1.59397287009466,1.47103621953176,0.485450414069439,0.590396547685415,-0.0453880618778762,-0.094240523346988,1.75,16,1.54521293888759,1.54331426473537,0.284077757895423,0.341682318897867,0.119534231300555,0.155263759151229,0.718496855302312,"2010","Latin America and Caribbean","Chile","High income"
"China","China2012",113,1.24074143735623,1.25508571436273,0.34123996723889,0.380294161617996,-0.00260258318238457,0.0590873539535907,0.467662209396265,6,8,1.72406868013605,1.6804193686673,0.800841642131997,1.02126177329555,0.132396325289781,0.401079029349976,0.86596492906538,NA,NA,NA,NA,NA,NA,NA,NA,"2012","East Asia and Pacific","China","Upper middle income"
"Colombia","Colombia2010",12,0.943233675538643,0.923266908166341,0.216849391060306,0.186805901269394,0.0346589209210304,0.0519395792788535,1.4351771046247,1,19,1.07634753247279,1.12634834087926,0.295681813235825,0.375761000287074,-0.0183489811294736,0.0411474078103322,0.460680971313731,13,1.01076505315862,0.819422091849428,0.416333193614068,0.395546863630944,0.0605085475562789,0.0360901827143209,0.607878703832884,"2010","Latin America and Caribbean","Colombia","Upper middle income"
"Egypt","Egypt2013",61,1.4535750820608,1.65009842554657,0.767779827693901,1.05003154879791,-0.274386616940847,-0.323402668963782,2.36106744283443,28,7,1.26687781675216,1.26989476699287,0.0505205031941027,0,-0.051574665050849,-0.0668663061720331,0.882552492466594,63,1.08436769512829,1.11063710871271,0.346303358834762,0.39283124216497,0.0362241058842248,-0.198976897801614,1.07161202795047,"2013","Middle East and North Africa","Egypt, Arab Rep.","Lower middle income"
"Guatemala","Guatemala2010",7,1.27303866601178,1.06414160016009,0.723991322863278,1.29465843201213,-0.19554933334999,-0.199004952887469,0.656393730273453,0,17,0.985561733159595,0.914840447046328,0.339772390453724,0.346466957310742,-0.0778254968958802,-0.079117264993805,2.25,12,1.14642649230416,1.150278115497,0.339099367831184,0.58810256019877,0.0800550457206112,0.0999929434677961,2.29027561683646,"2010","Latin America and Caribbean","Guatemala","Lower middle income"
"India","India2014",56,1.40084026308356,1.24231384574091,0.507783002501469,0.649313945593551,-0.107590499583172,-0.316932203849239,1.26344809281291,1,15,1.57457791619004,1.50105624437321,0.711858810560995,0.958104961962196,-0.38937465490794,-0.232240566912765,1.55271867772774,167,1.26389569805405,1.17967467057761,0.471648673648276,0.679924282386126,-0.0471698408543975,0.00283488067193519,1.68650262057536,"2014","South Asia","India","Lower middle income"
"Indonesia","Indonesia2009",74,0.926460732641072,0.880882409248663,0.357703698276602,0.322722618386919,0.136167549989137,0.32387811148034,1.02507826301156,4,12,0.425483605769165,0.506498723449932,0.522243969292316,0.563525150988525,0.556130697829603,0.164224379104017,4.70775255399773,11,2.04891554394049,2.21984290082533,1.21718128102039,1.2525434027343,-0.142844789278655,0.0972776213557401,1.01360614277851,"2009","East Asia and Pacific","Indonesia","Lower middle income"
